file	bytes	codex_wrote	team_reads_via	read_this_file	mirror_fresh	cited_in_a_ka1B_letter
pf_build_v4_effective_status.py	65016	08-30 01:34	full copy	pf_build_v4_effective_status.py	ok	tool script
pf_build_v4_manifest.py	91165	08-30 02:03	full copy	pf_build_v4_manifest.py	ok	tool script
pf_build_v5_effective_status.py	71086	08-30 03:37	full copy	pf_build_v5_effective_status.py	ok	tool script
pf_build_v5_invalid_parameter_closure.py	103855	08-30 02:58	full copy	pf_build_v5_invalid_parameter_closure.py	ok	tool script
pf_build_v5_manifest.py	102453	08-30 04:15	full copy	pf_build_v5_manifest.py	ok	tool script
pf_capture_delta_20260830.py	41935	08-29 20:30	full copy	pf_capture_delta_20260830.py	ok	tool script
pf_extract_capture_branch_shapes_20260830.py	40610	08-29 20:27	full copy	pf_extract_capture_branch_shapes_20260830.py	ok	tool script
pf_extract_data_evidence.py	14216	08-22 14:49	full copy	pf_extract_data_evidence.py	ok	tool script
pf_extract_dump_rtti.py	32164	08-22 14:40	full copy	pf_extract_dump_rtti.py	ok	tool script
pf_extract_dump_vtable_candidates.py	34672	08-29 20:21	full copy	pf_extract_dump_vtable_candidates.py	ok	tool script
pf_extract_protocol.py	773240	08-22 13:17	full copy	pf_extract_protocol.py	ok	tool script
pf_inventory_inputs.py	10567	08-22 13:26	full copy	pf_inventory_inputs.py	ok	tool script
pf_rederive_actor_relation_interaction_graph.py	89606	09-01 12:38	full copy	pf_rederive_actor_relation_interaction_graph.py	ok	tool script
pf_rederive_attr_capture_validation.py	55831	08-30 18:45	full copy	pf_rederive_attr_capture_validation.py	ok	tool script
pf_rederive_attr_semantics.py	1530379	09-01 16:44	full copy	pf_rederive_attr_semantics.py	ok	tool script
pf_rederive_combat_lethal_tail_delta.py	88086	09-01 14:00	full copy	pf_rederive_combat_lethal_tail_delta.py	ok	tool script
pf_rederive_gm_plugin_gate.py	113012	09-01 07:16	full copy	pf_rederive_gm_plugin_gate.py	ok	tool script
pf_rederive_ground_drop_lifetime.py	171909	09-01 07:59	full copy	pf_rederive_ground_drop_lifetime.py	ok	tool script
pf_rederive_ground_drop_pickup_closure.py	124485	09-01 15:36	full copy	pf_rederive_ground_drop_pickup_closure.py	ok	tool script
pf_rederive_monster_color_gate.py	207140	09-01 08:00	full copy	pf_rederive_monster_color_gate.py	ok	tool script
pf_rederive_monster_color_mechanism_join.py	67594	09-01 09:45	full copy	pf_rederive_monster_color_mechanism_join.py	ok	tool script
pf_rederive_monster_color_wire_control.py	71641	09-01 09:35	full copy	pf_rederive_monster_color_wire_control.py	ok	tool script
pf_rederive_monster_role_data_controls.py	78358	09-01 11:37	full copy	pf_rederive_monster_role_data_controls.py	ok	tool script
pf_rederive_quest_mark_event_census.py	75639	09-01 10:31	full copy	pf_rederive_quest_mark_event_census.py	ok	tool script
pf_rederive_quest_mark_lifecycle.py	56022	09-01 10:44	full copy	pf_rederive_quest_mark_lifecycle.py	ok	tool script
pf_rederive_quest_mark_resource_resolver.py	74855	09-01 10:43	full copy	pf_rederive_quest_mark_resource_resolver.py	ok	tool script
pf_validate_capture_fields.py	47884	08-22 14:26	full copy	pf_validate_capture_fields.py	ok	tool script
pf_validate_v2_effective_capture.py	96399	08-29 22:08	full copy	pf_validate_v2_effective_capture.py	ok	tool script
pf_validate_v3_effective_capture.py	29378	08-29 23:38	full copy	pf_validate_v3_effective_capture.py	ok	tool script
pf_validate_v4_effective_capture.py	55563	08-30 01:17	full copy	pf_validate_v4_effective_capture.py	ok	tool script
pf_validate_v5_effective_capture.py	48617	08-30 04:36	full copy	pf_validate_v5_effective_capture.py	ok	tool script
