file_in_external	bytes	codex_wrote_at	how_you_read_it	read_this_instead
pf_rederive_combat_lethal_tail_delta.py	88086	2026-09-01 14:00	full copy	pf_rederive_combat_lethal_tail_delta.py
pf_rederive_gm_plugin_gate.py	113012	2026-09-01 07:16	full copy	pf_rederive_gm_plugin_gate.py
pf_rederive_ground_drop_lifetime.py	171909	2026-09-01 07:59	full copy	pf_rederive_ground_drop_lifetime.py
pf_rederive_ground_drop_pickup_closure.py	124485	2026-09-01 15:36	full copy	pf_rederive_ground_drop_pickup_closure.py
pf_rederive_monster_color_gate.py	207140	2026-09-01 08:00	full copy	pf_rederive_monster_color_gate.py
pf_rederive_monster_color_mechanism_join.py	67594	2026-09-01 09:45	full copy	pf_rederive_monster_color_mechanism_join.py
pf_rederive_monster_color_wire_control.py	71641	2026-09-01 09:35	full copy	pf_rederive_monster_color_wire_control.py
pf_rederive_monster_role_data_controls.py	78358	2026-09-01 11:37	full copy	pf_rederive_monster_role_data_controls.py
pf_rederive_quest_mark_event_census.py	75639	2026-09-01 10:31	full copy	pf_rederive_quest_mark_event_census.py
pf_rederive_quest_mark_lifecycle.py	56022	2026-09-01 10:44	full copy	pf_rederive_quest_mark_lifecycle.py
pf_rederive_quest_mark_resource_resolver.py	74855	2026-09-01 10:43	full copy	pf_rederive_quest_mark_resource_resolver.py
pf_validate_capture_fields.py	47884	2026-08-22 14:26	full copy	pf_validate_capture_fields.py
pf_validate_v2_effective_capture.py	96399	2026-08-29 22:08	full copy	pf_validate_v2_effective_capture.py
pf_validate_v3_effective_capture.py	29378	2026-08-29 23:38	full copy	pf_validate_v3_effective_capture.py
pf_validate_v4_effective_capture.py	55563	2026-08-30 01:17	full copy	pf_validate_v4_effective_capture.py
pf_validate_v5_effective_capture.py	48617	2026-08-30 04:36	full copy	pf_validate_v5_effective_capture.py
