message	priority	matched_groups	matched_keywords	matched_keyword	registry_identity_status	registry_identity_missing	serializer_status	serializer_blockers	structural_status	capture_status	blocker	source
LSCN_LoginVitalReq	1	combat/damage/hp/vital | login/logout/select/session	vital | login	vital | login	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
LSCN_LoginVitalRes	1	combat/damage/hp/vital | login/logout/select/session	vital | login	vital | login	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	IMAGE
LSCN_SelectServerReq	1	login/logout/select/session	select	select	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
LSCN_SelectServerRes	1	login/logout/select/session	select	select	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
LSCN_ReloginVerifyVital	1	combat/damage/hp/vital | login/logout/select/session	vital | login	vital | login	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
VitalData	1	combat/damage/hp/vital	vital	vital	OPEN	vtable | serializer	OPEN	registry_serializer_unresolved:vtable_hits=2	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:vtable_hits=2	IMAGE
VitalProtocol	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | call_clobber@0x005F3F34:ecx | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | exact_import_thunk_call_wire_effect_unproved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | pe_security_cookie_failure_path_wire_effect_unproved | primitive_stream_provenance_unresolved expected=entry+0x4 observed=NONE	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | call_clobber@0x005F3F34:ecx | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | exact_import_thunk_call_wire_effect_unproved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | pe_security_cookie_failure_path_wire_effect_unproved | primitive_stream_provenance_unresolved expected=entry+0x4 observed=NONE	IMAGE
BasicModule_Client	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Module	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
TriggerModule_Client	3	remaining	N/A	N/A	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | exact_direct_import_call_wire_effect_unproved | exact_import_thunk_call_wire_effect_unproved | indirect_call_not_proven_serializer_slot | pe_security_cookie_failure_path_wire_effect_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | exact_direct_import_call_wire_effect_unproved | exact_import_thunk_call_wire_effect_unproved | indirect_call_not_proven_serializer_slot | pe_security_cookie_failure_path_wire_effect_unproved	IMAGE
TriggerVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
TriggerResult	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
TriggerCastSkillVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
TriggerSyncVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	IMAGE
TriggerMessageVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
QuestAttr	2	quest	quest	quest	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
QuestMiscAttr	2	quest	quest	quest	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
DailyQuestAttr	2	quest	quest	quest	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
QuestModule	2	quest	quest	quest	KNOWN	N/A	OPEN	direct_call_not_proven_serializer | ecx_plus_50_tail_target_and_alias_unproved | indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	direct_call_not_proven_serializer | ecx_plus_50_tail_target_and_alias_unproved | indirect_call_not_proven_serializer_slot	IMAGE
QuestNPCModule	1	actor/npc/monster	npc	npc	KNOWN	N/A	OPEN	indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	indirect_call_not_proven_serializer_slot	IMAGE
QuestFailResult	2	quest	quest	quest	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
ChooseNPC	1	actor/npc/monster	npc	npc	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
ChooseNPCByTableID	1	actor/npc/monster	npc	npc	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
NPCConversation	1	actor/npc/monster	npc	npc	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	IMAGE
QuestOperateVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
UpdateQuestFlag	2	quest	quest	quest	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
UpdateQuestMiscDataVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved	IMAGE
UpdateDailyQuestVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
QuestShareResult	2	quest	quest	quest	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
QuestFlagRangeChange	2	quest	quest	quest	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
CArenaVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | subcall_stream_provenance_unresolved target=0x00623220 proof=stream_argument_origin_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | subcall_stream_provenance_unresolved target=0x00623220 proof=stream_argument_origin_unproved	IMAGE
CArenaGameDataVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | locked_mutable_dword_slot_nested_target_and_alias_unproved | locked_mutable_pointer_slot_nested_target_and_alias_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | locked_mutable_dword_slot_nested_target_and_alias_unproved | locked_mutable_pointer_slot_nested_target_and_alias_unproved | mutable_pointer_slot_traversal_alias_unproved	IMAGE
CArenaResultVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	IMAGE
PartyAttr	1	party	party	party	OPEN	getter | vtable | serializer	OPEN	registry_serializer_unresolved:getter_hits=0	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	IMAGE
PartyModule_Client	1	party	party	party	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
PartyUpdateVital	1	combat/damage/hp/vital | party	vital | party	vital | party	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	IMAGE
PartyInviteVital	1	combat/damage/hp/vital | party	vital | party	vital | party	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
PartyCmdVital	1	combat/damage/hp/vital | party	vital | party	vital | party	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
PartyPickTypeSetting	1	party	party	party	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
ArenaModule_Client	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
CSearchPartyVital	1	combat/damage/hp/vital | party	hp | vital | party	hp | vital | party	KNOWN	N/A	OPEN	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | subcall_stream_provenance_unresolved target=0x006342C0 proof=stream_argument_origin_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | subcall_stream_provenance_unresolved target=0x006342C0 proof=stream_argument_origin_unproved	IMAGE
ActorCommunityDataSet	1	actor/npc/monster	actor	actor	OPEN	getter | vtable | serializer	OPEN	registry_serializer_unresolved:getter_hits=0	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	IMAGE
ActorMailData	1	actor/npc/monster	actor	actor	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
ActorRelationshipData	1	actor/npc/monster	actor	actor	OPEN	getter | vtable | serializer	OPEN	registry_serializer_unresolved:getter_hits=0	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	IMAGE
FriendshipDataSet	3	remaining	N/A	N/A	OPEN	getter | vtable | serializer	OPEN	registry_serializer_unresolved:getter_hits=0	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	IMAGE
LetterInABottleDataSet	3	remaining	N/A	N/A	OPEN	getter | vtable | serializer	OPEN	registry_serializer_unresolved:getter_hits=0	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	IMAGE
ActorCommunityProperty	1	actor/npc/monster	actor	actor	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
PenpalLetterDataSet	3	remaining	N/A	N/A	OPEN	getter | vtable | serializer	OPEN	registry_serializer_unresolved:getter_hits=0	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	IMAGE
CommunityModule_Client	3	remaining	N/A	N/A	KNOWN	N/A	OPEN	direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | nested_call_composition_targets_and_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | nested_call_composition_targets_and_alias_unproved	IMAGE
Community_CommunityCommandNotAllowVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_InitalizeActorCommunityVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	vital | actor	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	IMAGE
Community_CommunityPropertyChangedVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_AddFriendVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	IMAGE
Community_RequestBeFriendVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_RemoveFriendVital	1	combat/damage/hp/vital | move/position/teleport	vital | move	vital | move	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_AddBlackListVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	IMAGE
Community_RemoveBlackListVital	1	combat/damage/hp/vital | move/position/teleport	vital | move	vital | move	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_SendMailVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_ReceiveNewMailVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved	IMAGE
Community_GetMailContentVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_DeleteMailVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_ChangeActorCommentVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	vital | actor	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_SetReceiveActiveChangeVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_RequestSoulMateMatchVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	IMAGE
Community_RequestorConfirmSoulMateMatchVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_TargetConfirmSoulMateMatchVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_ThrowLetterInABottleVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_OpenLetterInABottleVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_ReplyLetterInABottleVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_GetActorVowLockListVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	vital | actor	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	IMAGE
Community_UpdateActorVowLockVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	vital | actor	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	IMAGE
Community_ChangeActorPenNameVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	vital | actor	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_ChangeActorPersonalDataVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	vital | actor	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_UseBlankPenpalLetterVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_WriteBlankPenpalLetterVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_ThrowPenpalLetterVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_OpenPenpalLetterVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Community_ReplyPenpalLetterVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot	IMAGE
VowLockData	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
CBuffAttr	2	skill/buff	buff	buff	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
CGCBuffModule	2	skill/buff	buff	buff	KNOWN	N/A	OPEN	ecx_plus_50_tail_target_and_alias_unproved | indirect_call_not_proven_serializer_slot	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	ecx_plus_50_tail_target_and_alias_unproved | indirect_call_not_proven_serializer_slot	IMAGE
CBuffVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	OPEN	direct_call_not_proven_serializer | locked_mutable_pointer_slot_nested_target_and_alias_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	direct_call_not_proven_serializer | locked_mutable_pointer_slot_nested_target_and_alias_unproved	IMAGE
CBuffConditionState	2	skill/buff	buff	buff	KNOWN	N/A	OPEN	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	IMAGE
CPVPStateVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
ChannelModule_Client	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_ForbidTalkNotificationVtial	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_LocalTalkMessageVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_LocalPerformanceVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_PartyMessageVital	1	combat/damage/hp/vital | party	vital | party	vital | party	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_WhisperVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_GuildMessageVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_ActorBoardcastMessageVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	vital | actor	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_GMGlobalMessageVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
Channel_JoinCustomChannelVital	1	combat/damage/hp/vital	vital	vital	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
