n_ID	n_HPMAX	n_RECOVER_HP	n_STAMINAMAX	n_RECOVER_STAMINA	n_SPEED_RUN	n_STRENGH	n_CONSITUTION	n_AGILITY	n_PERCEPTION	n_INTELLECT	n_DAMMIN_PHYSICS	n_DAMMIN_MAGIC	n_DAMPLUS_PHYSICS	n_DAMPLUS_MAGIC	n_AC_PHYSICS	n_AC_MAGIC	n_ABSORB_PHYSICS	n_ABSORB_MAGIC	n_PENETRATE_PHYSICS	n_PENETRATE_MAGIC	f_ANTI_STUN	f_STUN	f_ANTI_CURSE	f_CURSE	f_HITRATE	f_DODGE	f_POWERHIT	f_ANTI_POWERHIT	f_BYPASS	f_OVERHIT	f_MULTIPLY_POWERDAM	f_ABSORB_POWERDAM	f_ABSORB_SHIELD	f_BLOCKRATE	f_MUL_DAMAGE
124	57043	2852	100	5	600	864	864	864	864	864	4321	4321	3025	3025	3918	3918	998	998	3918	3918	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2424.0	100.0	100.0
125	57957	2897	100	5	600	878	878	878	878	878	4390	4390	3073	3073	4071	4071	1014	1014	4071	4071	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2462.0	100.0	100.0
126	58879	2943	100	5	600	892	892	892	892	892	4460	4460	3122	3122	4229	4229	1030	1030	4229	4229	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2502.0	100.0	100.0
127	59809	2990	100	5	600	906	906	906	906	906	4531	4531	3171	3171	4392	4392	1046	1046	4392	4392	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2541.0	100.0	100.0
128	60746	3037	100	5	600	920	920	920	920	920	4601	4601	3221	3221	4561	4561	1062	1062	4561	4561	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2581.0	100.0	100.0
129	61690	3084	100	5	600	934	934	934	934	934	4673	4673	3271	3271	4735	4735	1079	1079	4735	4735	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2621.0	100.0	100.0
130	62641	3132	100	5	600	949	949	949	949	949	4745	4745	3321	3321	4915	4915	1095	1095	4915	4915	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2661.0	100.0	100.0
131	63599	3179	100	5	600	963	963	963	963	963	4818	4818	3372	3372	5101	5101	1112	1112	5101	5101	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2702.0	100.0	100.0
132	64565	3228	100	5	600	978	978	978	978	978	4891	4891	3423	3423	5293	5293	1129	1129	5293	5293	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2743.0	100.0	100.0
133	65539	3276	100	5	600	993	993	993	993	993	4965	4965	3475	3475	5490	5490	1146	1146	5490	5490	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2785.0	100.0	100.0
134	66519	3325	100	5	600	1007	1007	1007	1007	1007	5039	5039	3527	3527	5695	5695	1163	1163	5695	5695	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2826.0	100.0	100.0
135	67507	3375	100	5	600	1022	1022	1022	1022	1022	5114	5114	3579	3579	5905	5905	1181	1181	5905	5905	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2868.0	100.0	100.0
136	68502	3425	100	5	600	1037	1037	1037	1037	1037	5189	5189	3632	3632	6123	6123	1198	1198	6123	6123	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2910.0	100.0	100.0
137	69505	3475	100	5	600	1053	1053	1053	1053	1053	5265	5265	3685	3685	6347	6347	1216	1216	6347	6347	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2953.0	100.0	100.0
138	70515	3525	100	5	600	1068	1068	1068	1068	1068	5342	5342	3739	3739	6578	6578	1233	1233	6578	6578	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2996.0	100.0	100.0
139	71532	3576	100	5	600	1083	1083	1083	1083	1083	5419	5419	3793	3793	6816	6816	1251	1251	6816	6816	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3039.0	100.0	100.0
140	72556	3627	100	5	600	1099	1099	1099	1099	1099	5496	5496	3847	3847	7061	7061	1269	1269	7061	7061	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3083.0	100.0	100.0
141	73588	3679	100	5	600	1114	1114	1114	1114	1114	5574	5574	3902	3902	7314	7314	1287	1287	7314	7314	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3127.0	100.0	100.0
142	74627	3731	100	5	600	1130	1130	1130	1130	1130	5653	5653	3957	3957	7574	7574	1305	1305	7574	7574	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3171.0	100.0	100.0
143	75674	3783	100	5	600	1146	1146	1146	1146	1146	5732	5732	4013	4013	7842	7842	1324	1324	7842	7842	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3215.0	100.0	100.0
144	76728	3836	100	5	600	1162	1162	1162	1162	1162	5812	5812	4068	4068	8118	8118	1342	1342	8118	8118	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3260.0	100.0	100.0
145	77789	3889	100	5	600	1178	1178	1178	1178	1178	5893	5893	4125	4125	8402	8402	1361	1361	8402	8402	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3305.0	100.0	100.0
146	78857	3942	100	5	600	1194	1194	1194	1194	1194	5974	5974	4181	4181	8695	8695	1379	1379	8695	8695	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3351.0	100.0	100.0
147	79933	3996	100	5	600	1211	1211	1211	1211	1211	6055	6055	4238	4238	8995	8995	1398	1398	8995	8995	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3396.0	100.0	100.0
148	81016	4050	100	5	600	1227	1227	1227	1227	1227	6137	6137	4296	4296	9305	9305	1417	1417	9305	9305	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3442.0	100.0	100.0
149	82106	4105	100	5	600	1244	1244	1244	1244	1244	6220	6220	4354	4354	9623	9623	1436	1436	9623	9623	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3489.0	100.0	100.0
150	83204	4160	100	5	600	1260	1260	1260	1260	1260	6303	6303	4412	4412	9950	9950	1455	1455	9950	9950	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3535.0	100.0	100.0
151	84309	4215	100	5	600	1277	1277	1277	1277	1277	6387	6387	4470	4470	10286	10286	1475	1475	10286	10286	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3582.0	100.0	100.0
152	85421	4271	100	5	600	1294	1294	1294	1294	1294	6471	6471	4529	4529	10632	10632	1494	1494	10632	10632	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3630.0	100.0	100.0
153	86541	4327	100	5	600	1311	1311	1311	1311	1311	6556	6556	4589	4589	10987	10987	1514	1514	10987	10987	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3677.0	100.0	100.0
154	87668	4383	100	5	600	1328	1328	1328	1328	1328	6641	6641	4649	4649	11351	11351	1534	1534	11351	11351	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3725.0	100.0	100.0
155	88802	4440	100	5	600	1345	1345	1345	1345	1345	6727	6727	4709	4709	11726	11726	1553	1553	11726	11726	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3773.0	100.0	100.0
156	89944	4497	100	5	600	1362	1362	1362	1362	1362	6813	6813	4769	4769	12110	12110	1573	1573	12110	12110	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3822.0	100.0	100.0
157	91093	4554	100	5	600	1380	1380	1380	1380	1380	6900	6900	4830	4830	12505	12505	1593	1593	12505	12505	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3870.0	100.0	100.0
158	92249	4612	100	5	600	1397	1397	1397	1397	1397	6988	6988	4892	4892	12910	12910	1614	1614	12910	12910	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3920.0	100.0	100.0
159	93412	4670	100	5	600	1415	1415	1415	1415	1415	7076	7076	4953	4953	13326	13326	1634	1634	13326	13326	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	3969.0	100.0	100.0
160	94583	4729	100	5	600	1433	1433	1433	1433	1433	7165	7165	5015	5015	13752	13752	1654	1654	13752	13752	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4019.0	100.0	100.0
161	95761	4788	100	5	600	1450	1450	1450	1450	1450	7254	7254	5078	5078	14190	14190	1675	1675	14190	14190	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4069.0	100.0	100.0
162	96947	4847	100	5	600	1468	1468	1468	1468	1468	7344	7344	5141	5141	14638	14638	1696	1696	14638	14638	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4120.0	100.0	100.0
163	98140	4907	100	5	600	1486	1486	1486	1486	1486	7434	7434	5204	5204	15097	15097	1717	1717	15097	15097	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4170.0	100.0	100.0
164	99340	4967	100	5	600	1505	1505	1505	1505	1505	7525	7525	5268	5268	15568	15568	1738	1738	15568	15568	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4221.0	100.0	100.0
165	100547	5027	100	5	600	1523	1523	1523	1523	1523	7617	7617	5332	5332	16051	16051	1759	1759	16051	16051	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4273.0	100.0	100.0
166	101762	5088	100	5	600	1541	1541	1541	1541	1541	7709	7709	5396	5396	16545	16545	1780	1780	16545	16545	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4324.0	100.0	100.0
167	102984	5149	100	5	600	1560	1560	1560	1560	1560	7801	7801	5461	5461	17052	17052	1802	1802	17052	17052	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4376.0	100.0	100.0
168	104213	5210	100	5	600	1578	1578	1578	1578	1578	7894	7894	5526	5526	17570	17570	1823	1823	17570	17570	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4428.0	100.0	100.0
169	105450	5272	100	5	600	1597	1597	1597	1597	1597	7988	7988	5592	5592	18100	18100	1845	1845	18100	18100	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4481.0	100.0	100.0
170	106694	5334	100	5	600	1616	1616	1616	1616	1616	8082	8082	5658	5658	18643	18643	1867	1867	18643	18643	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4534.0	100.0	100.0
171	107946	5397	100	5	600	1635	1635	1635	1635	1635	8177	8177	5724	5724	19201	19201	1888	1888	19201	19201	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4587.0	100.0	100.0
172	109204	5460	100	5	600	1654	1654	1654	1654	1654	8273	8273	5791	5791	19773	19773	1911	1911	19773	19773	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4641.0	100.0	100.0
173	110470	5523	100	5	600	1673	1673	1673	1673	1673	8368	8368	5858	5858	20360	20360	1933	1933	20360	20360	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4694.0	100.0	100.0
174	111743	5587	100	5	600	1693	1693	1693	1693	1693	8465	8465	5925	5925	20963	20963	1955	1955	20963	20963	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4748.0	100.0	100.0
175	113024	5651	100	5	600	1712	1712	1712	1712	1712	8562	8562	5993	5993	21581	21581	1977	1977	21581	21581	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4803.0	100.0	100.0
176	114312	5715	100	5	600	1732	1732	1732	1732	1732	8660	8660	6062	6062	22215	22215	2000	2000	22215	22215	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4858.0	100.0	100.0
177	115607	5780	100	5	600	1751	1751	1751	1751	1751	8758	8758	6130	6130	22866	22866	2022	2022	22866	22866	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4913.0	100.0	100.0
178	116910	5845	100	5	600	1771	1771	1771	1771	1771	8856	8856	6199	6199	23534	23534	2045	2045	23534	23534	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	4968.0	100.0	100.0
179	118220	5911	100	5	600	1791	1791	1791	1791	1791	8956	8956	6269	6269	24219	24219	2068	2068	24219	24219	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5024.0	100.0	100.0
180	119537	5976	100	5	600	1811	1811	1811	1811	1811	9055	9055	6339	6339	24921	24921	2091	2091	24921	24921	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5080.0	100.0	100.0
181	120861	6043	100	5	600	1831	1831	1831	1831	1831	9156	9156	6409	6409	25641	25641	2114	2114	25641	25641	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5136.0	100.0	100.0
182	122193	6109	100	5	600	1851	1851	1851	1851	1851	9257	9257	6479	6479	26380	26380	2138	2138	26380	26380	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5192.0	100.0	100.0
183	123533	6176	100	5	600	1871	1871	1871	1871	1871	9358	9358	6550	6550	27137	27137	2161	2161	27137	27137	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5249.0	100.0	100.0
184	124879	6243	100	5	600	1892	1892	1892	1892	1892	9460	9460	6622	6622	27913	27913	2185	2185	27913	27913	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5307.0	100.0	100.0
185	126233	6311	100	5	600	1912	1912	1912	1912	1912	9563	9563	6694	6694	28708	28708	2209	2209	28708	28708	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5364.0	100.0	100.0
186	127594	6379	100	5	600	1933	1933	1933	1933	1933	9666	9666	6766	6766	29523	29523	2232	2232	29523	29523	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5422.0	100.0	100.0
187	128962	6448	100	5	600	1953	1953	1953	1953	1953	9769	9769	6838	6838	30359	30359	2256	2256	30359	30359	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5480.0	100.0	100.0
188	130338	6516	100	5	600	1974	1974	1974	1974	1974	9874	9874	6911	6911	31215	31215	2280	2280	31215	31215	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5539.0	100.0	100.0
189	131721	6586	100	5	600	1995	1995	1995	1995	1995	9978	9978	6985	6985	32092	32092	2305	2305	32092	32092	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5597.0	100.0	100.0
190	133112	6655	100	5	600	2016	2016	2016	2016	2016	10084	10084	7058	7058	32991	32991	2329	2329	32991	32991	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5656.0	100.0	100.0
191	134509	6725	100	5	600	2038	2038	2038	2038	2038	10190	10190	7133	7133	33911	33911	2353	2353	33911	33911	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5716.0	100.0	100.0
192	135914	6795	100	5	600	2059	2059	2059	2059	2059	10296	10296	7207	7207	34854	34854	2378	2378	34854	34854	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5775.0	100.0	100.0
193	137327	6866	100	5	600	2080	2080	2080	2080	2080	10403	10403	7282	7282	35819	35819	2403	2403	35819	35819	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5836.0	100.0	100.0
194	138746	6937	100	5	600	2102	2102	2102	2102	2102	10511	10511	7357	7357	36807	36807	2427	2427	36807	36807	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5896.0	100.0	100.0
195	140173	7008	100	5	600	2123	2123	2123	2123	2123	10619	10619	7433	7433	37820	37820	2452	2452	37820	37820	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	5957.0	100.0	100.0
196	141608	7080	100	5	600	2145	2145	2145	2145	2145	10727	10727	7509	7509	38856	38856	2477	2477	38856	38856	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6017.0	100.0	100.0
197	143049	7152	100	5	600	2167	2167	2167	2167	2167	10837	10837	7585	7585	39916	39916	2503	2503	39916	39916	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6079.0	100.0	100.0
198	144498	7224	100	5	600	2189	2189	2189	2189	2189	10946	10946	7662	7662	41002	41002	2528	2528	41002	41002	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6140.0	100.0	100.0
199	145954	7297	100	5	600	2211	2211	2211	2211	2211	11057	11057	7740	7740	42113	42113	2554	2554	42113	42113	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6203.0	100.0	100.0
200	147418	7370	100	5	600	2233	2233	2233	2233	2233	11168	11168	7817	7817	43250	43250	2579	2579	43250	43250	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6265.0	100.0	100.0
201	148889	7444	100	5	600	2255	2255	2255	2255	2255	11279	11279	7895	7895	44414	44414	2605	2605	44414	44414	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6327.0	100.0	100.0
202	150367	7518	100	5	600	2278	2278	2278	2278	2278	11391	11391	7974	7974	45604	45604	2631	2631	45604	45604	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6390.0	100.0	100.0
203	151853	7592	100	5	600	2300	2300	2300	2300	2300	11504	11504	8052	8052	46821	46821	2657	2657	46821	46821	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6453.0	100.0	100.0
204	153345	7667	100	5	600	2323	2323	2323	2323	2323	11617	11617	8131	8131	48067	48067	2683	2683	48067	48067	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6516.0	100.0	100.0
205	154845	7742	100	5	600	2346	2346	2346	2346	2346	11730	11730	8211	8211	49340	49340	2709	2709	49340	49340	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6580.0	100.0	100.0
206	156353	7817	100	5	600	2368	2368	2368	2368	2368	11844	11844	8291	8291	50643	50643	2736	2736	50643	50643	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6644.0	100.0	100.0
207	157868	7893	100	5	600	2391	2391	2391	2391	2391	11959	11959	8371	8371	51975	51975	2762	2762	51975	51975	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6708.0	100.0	100.0
208	159390	7969	100	5	600	2415	2415	2415	2415	2415	12075	12075	8452	8452	53337	53337	2789	2789	53337	53337	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6773.0	100.0	100.0
209	160919	8045	100	5	600	2438	2438	2438	2438	2438	12190	12190	8533	8533	54729	54729	2815	2815	54729	54729	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6838.0	100.0	100.0
210	162456	8122	100	5	600	2461	2461	2461	2461	2461	12307	12307	8615	8615	56151	56151	2842	2842	56151	56151	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6904.0	100.0	100.0
211	164000	8200	100	5	600	2484	2484	2484	2484	2484	12424	12424	8697	8697	57606	57606	2870	2870	57606	57606	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	6969.0	100.0	100.0
212	165551	8277	100	5	600	2508	2508	2508	2508	2508	12541	12541	8779	8779	59092	59092	2897	2897	59092	59092	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7035.0	100.0	100.0
213	167110	8355	100	5	600	2531	2531	2531	2531	2531	12659	12659	8861	8861	60610	60610	2924	2924	60610	60610	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7101.0	100.0	100.0
214	168676	8433	100	5	600	2555	2555	2555	2555	2555	12778	12778	8944	8944	62162	62162	2951	2951	62162	62162	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7168.0	100.0	100.0
215	170250	8512	100	5	600	2579	2579	2579	2579	2579	12897	12897	9028	9028	63747	63747	2979	2979	63747	63747	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7235.0	100.0	100.0
216	171830	8591	100	5	600	2603	2603	2603	2603	2603	13017	13017	9112	9112	65366	65366	3006	3006	65366	65366	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7302.0	100.0	100.0
217	173418	8670	100	5	600	2627	2627	2627	2627	2627	13137	13137	9196	9196	67020	67020	3034	3034	67020	67020	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7369.0	100.0	100.0
218	175013	8750	100	5	600	2651	2651	2651	2651	2651	13258	13258	9281	9281	68709	68709	3062	3062	68709	68709	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7437.0	100.0	100.0
219	176616	8830	100	5	600	2676	2676	2676	2676	2676	13380	13380	9366	9366	70433	70433	3090	3090	70433	70433	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7506.0	100.0	100.0
220	178226	8911	100	5	600	2700	2700	2700	2700	2700	13502	13502	9451	9451	72194	72194	3118	3118	72194	72194	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7574.0	100.0	100.0
221	179843	8992	100	5	600	2724	2724	2724	2724	2724	13624	13624	9537	9537	73992	73992	3147	3147	73992	73992	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7643.0	100.0	100.0
222	181468	9073	100	5	600	2749	2749	2749	2749	2749	13747	13747	9623	9623	75827	75827	3175	3175	75827	75827	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7712.0	100.0	100.0
223	183100	9155	100	5	600	2774	2774	2774	2774	2774	13871	13871	9709	9709	77699	77699	3203	3203	77699	77699	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7781.0	100.0	100.0
224	184739	9236	100	5	600	2799	2799	2799	2799	2799	13995	13995	9796	9796	79611	79611	3232	3232	79611	79611	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7851.0	100.0	100.0
225	186385	9319	100	5	600	2824	2824	2824	2824	2824	14120	14120	9884	9884	81561	81561	3261	3261	81561	81561	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7921.0	100.0	100.0
226	188039	9401	100	5	600	2849	2849	2849	2849	2849	14245	14245	9971	9971	83551	83551	3290	3290	83551	83551	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	7991.0	100.0	100.0
227	189700	9485	100	5	600	2874	2874	2874	2874	2874	14371	14371	10059	10059	85581	85581	3319	3319	85581	85581	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8061.0	100.0	100.0
228	191369	9568	100	5	600	2899	2899	2899	2899	2899	14497	14497	10148	10148	87652	87652	3348	3348	87652	87652	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8132.0	100.0	100.0
229	193045	9652	100	5	600	2924	2924	2924	2924	2924	14624	14624	10237	10237	89765	89765	3378	3378	89765	89765	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8204.0	100.0	100.0
230	194728	9736	100	5	600	2950	2950	2950	2950	2950	14752	14752	10326	10326	91919	91919	3407	3407	91919	91919	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8275.0	100.0	100.0
231	196418	9820	100	5	600	2976	2976	2976	2976	2976	14880	14880	10416	10416	94116	94116	3437	3437	94116	94116	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8347.0	100.0	100.0
232	198116	9905	100	5	600	3001	3001	3001	3001	3001	15008	15008	10506	10506	96356	96356	3466	3466	96356	96356	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8419.0	100.0	100.0
233	199821	9991	100	5	600	3027	3027	3027	3027	3027	15137	15137	10596	10596	98639	98639	3496	3496	98639	98639	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8491.0	100.0	100.0
234	201533	10076	100	5	600	3053	3053	3053	3053	3053	15267	15267	10687	10687	100967	100967	3526	3526	100967	100967	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8564.0	100.0	100.0
235	203253	10162	100	5	600	3079	3079	3079	3079	3079	15397	15397	10778	10778	103340	103340	3556	3556	103340	103340	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8637.0	100.0	100.0
236	204980	10249	100	5	600	3105	3105	3105	3105	3105	15528	15528	10870	10870	105758	105758	3587	3587	105758	105758	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8711.0	100.0	100.0
