n_ID	s_GUILDSKILL_TYPE_NAME	s_GUILDSKILL_NAME	s_GUILDSKILL_EXPLAIN
9196	ค่าว่องไวตัวละคร	+14	ค่าสเตตัสว่องไวของตัวละคร +14
9197	ค่าว่องไวตัวละคร	+16	ค่าสเตตัสว่องไวของตัวละคร +16
9198	ค่าว่องไวตัวละคร	+18	ค่าสเตตัสว่องไวของตัวละคร +18
9199	ค่าปัญญาตัวละคร	+2	ค่าสเตตัสปัญญาของตัวละคร +2
9200	ค่าปัญญาตัวละคร	+4	ค่าสเตตัสปัญญาของตัวละคร +4
9201	ค่าปัญญาตัวละคร	+6	ค่าสเตตัสปัญญาของตัวละคร +6
9202	ค่าปัญญาตัวละคร	+8	ค่าสเตตัสปัญญาของตัวละคร +8
9203	ค่าปัญญาตัวละคร	+10	ค่าสเตตัสปัญญาของตัวละคร +10
9204	ค่าปัญญาตัวละคร	+12	ค่าสเตตัสปัญญาของตัวละคร +12
9205	ค่าปัญญาตัวละคร	+14	ค่าสเตตัสปัญญาของตัวละคร +14
9206	ค่าปัญญาตัวละคร	+16	ค่าสเตตัสปัญญาของตัวละคร +16
9207	ค่าปัญญาตัวละคร	+18	ค่าสเตตัสปัญญาของตัวละคร +18
9208	ค่ารู้สึกตัวละคร	+2	ค่าสเตตัสรู้สึกของตัวละคร +2
9209	ค่ารู้สึกตัวละคร	+4	ค่าสเตตัสรู้สึกของตัวละคร +4
9210	ค่ารู้สึกตัวละคร	+6	ค่าสเตตัสรู้สึกของตัวละคร +6
9211	ค่ารู้สึกตัวละคร	+8	ค่าสเตตัสรู้สึกของตัวละคร +8
9212	ค่ารู้สึกตัวละคร	+10	ค่าสเตตัสรู้สึกของตัวละคร +10
9213	ค่ารู้สึกตัวละคร	+12	ค่าสเตตัสรู้สึกของตัวละคร +12
9214	ค่ารู้สึกตัวละคร	+14	ค่าสเตตัสรู้สึกของตัวละคร +14
9215	ค่ารู้สึกตัวละคร	+16	ค่าสเตตัสรู้สึกของตัวละคร +16
9216	ค่ารู้สึกตัวละคร	+18	ค่าสเตตัสรู้สึกของตัวละคร +18
