n_ID	s_SKILL_TITLE	s_DESCRIPTION	s_TIP	s_CACULATE
2009	Military Breechloader[Right]		\nยิงปืนจากกราบเรือขวาได้ 5 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 125 แต้ม\n\nเหมาะกับ: Main Warship	
2010	Expedition Breechloader[Left]		\nยิงปืนจากกราบเรือซ้ายได้ 7 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship	
2011	Expedition Cluster Equipment		\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship	
2012	Expedition Breechloader[Right]		\nยิงปืนจากกราบเรือขวาได้ 7 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship	
2013	Flame Radiation 		\nพ่นไฟไปด้านหน้า ทำให้เกิดความเสียหายต่อเนื่อง 30 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2014	Warship Collide		\nพุ่งเข้าใส่ ทำให้เรือของศัตรูที่อยู่ในเส้นทางได้รับความเสียหาย 200 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2015	Armor Warship		\nเพิ่มพลังป้องกันให้เรือตนเอง ลดความสียหายที่ได้รับ 50%\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2016	Cross Mine		\nยิงระเบิดไปด้านหลัง เมื่อระเบิดจะเกิดความเสียหายเป็นเครื่องหมายบวก แต่ละทางทำความเสียหาย 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2017	Fishnet[Front]		\nยิงตาข่ายไปด้านหน้า ศัตรูที่โดนตาข่ายจะลดความเร็วในการเคลื่อนที่ลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2018	Fishnet[Back]		\nยิงตาข่ายไปด้านหลัง ศัตรูที่โดนตาข่ายจะลดความเร็วในการเคลื่อนที่ลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2019	Accelerate		\nเพิ่มความเร็วเรือ $ADD_SPEED_RUN\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	ADD_SPEED_RUN(1)
2020	Harpoon Chain		\nยิง Harpoon Chain ไปทางซ้ายและขวาเรือ เมื่อโจมตีแม่นยำเรือศัตรูจะถูกลากเข้ามาใกล้เรือตนเอง และทำให้เกิดความเสียหาย 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2021	Mortar[Left]		\nยิง Mortar ไปทางซ้าย ทำให้เกิดความเสียหายเป็นวงกว้าง 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2022	Incendiary Bomb[Left]		\nยิงปืนไฟไปทางซ้าย ทำให้ทะเลเป็นเพลิง ทำความเสียหายต่อเนื่อง 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2023	Machine Gun[Left]		\nยิงโจมตีทางซ้ายต่อเนื่อง แต่ละนัดทำความเสียหาย 100 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2024	Strength Gun[Left]		\nยิงระเบิดไปทางซ้าย ทำให้เรือที่อยู่ในเส้นทางเกิดความเสียหาย 500 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2025	Iron Ball[Left]		\nยิง Iron Ball ไปทางซ้าย ทำให้เกิดความเสียหาย 150 แต้ม และทำให้เกิดคลื่นลูกใหญ่ ทำให้เรือของศัตรูที่อยู่ในบริเวณความเร็วในการเคลื่อนที่ลดลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2026	Aerosol Bomb[Left]		\nยิง Aerosol Bomb ไปทางซ้าย ทำให้เรือของฝ่ายศัตรูและฝ่ายตนเองที่โดนลดความเร็วลง 50%, เพิ่มหลบหลีก 50%\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2027	Mortar[Right]		\nยิง Mortar ไปทางขวา ทำให้เกิดความเสียหายเป็นวงกว้าง 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2028	Incendiary Bomb[Right]		\nยิงปืนไฟไปทางขวา ทำให้ทะเลเป็นเพลิง ทำความเสียหายต่อเนื่อง50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2029	Machine Gun[Right]		\nยิงโจมตีทางขวาต่อเนื่อง แต่ละนัดทำความเสียหาย 100 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2030	Strength Gun[Right]		\nยิงระเบิดไปทางขวา ทำให้เรือที่อยู่ในเส้นทางเกิดความเสียหาย 500 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2031	Iron Ball[Right]		\nยิง Iron Ball ไปทางขวา ทำให้เกิดความเสียหาย 150 แต้ม และทำให้เกิดคลื่นลูกใหญ่ ทำให้เรือของศัตรูที่อยู่ในบริเวณความเร็วในการเคลื่อนที่ลดลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2032	Aerosol Bomb[Right]		\nยิง Aerosol Bomb ไปทางขวา ทำให้เรือของฝ่ายศัตรูและฝ่ายตนเองที่โดนลดความเร็วลง 50%, เพิ่มหลบหลีก 50%\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
