n_ID	s_ICON	n_RANGE	s_ANIMATION	s_ANIMATION2	n_CLASS	s_PHASING	s_ROTATE	n_EMOTE	n_THENDO	s_HITRATE	s_BUFF_HITRATE	s_HIT_KEYFRAME	s_HITBACK	s_FXS_CASTING	s_CAST_POSTPROCESS	s_HIT_POSTPROCESS	s_EMIT_KEYFRAME	n_AMOUNT_TARGET	n_DAMAGE_AREA	n_MOB_CD	s_CONDITION	f_VAR_TPD	f_VAR_TMD	f_VAR_TPP	f_VAR_TMP	f_DAMAGE_PHYSICS	f_DAMAGE_MAGIC	f_PERCENT_HP	n_PROFIT
2951		100	_F_ATTACK_026;24	_F_ATTACK_026;24	0	0;0;0;0		0	0	GO(0)	GO(0)			PS_O_LIFT;0				1	275	0	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2952		350	_F_JUMP_001;12\n_F_JUMP_003;24	_F_JUMP_001;12\n_F_JUMP_003;24	0	ARCEDGE;-0.4;0;0;25		0	2953	GO(0)	GO(0)	none;2952;22\nnone;0;26		PS_O_LEAP;0				1	500	0	1;4;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2953		3500	_F_JUMP_002;25	_F_JUMP_002;25	0	60;0;1000;6		0	0	GO(0)	GO(0)	none;2953;0		PS_O_TEAMJUMP;0				0	0	0	13;26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2954		3500	_F_JUMP_002;25	_F_JUMP_002;25	0	195;0;640;6	0;0	0	0	GO(0)	GO(0)			PS_O_TEAMJUMP;0			299;1	1	275	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2955		1750	_F_ATTACK_034;56	_F_EMOTION_000;55	0	0;0;0;0		0	0	GO(0)				PS_O_JUMP_HELP;0			2955;45\n2954;46	0	0	0	1;4;5;28;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2956		1750	_F_FALLING_001;26\n_F_FALLING_001;40	_F_FALLING_001;26\n_F_FALLING_001;40	0	ARCEDGE;-0.4;0;0;40		0	0	GO(0)	GO(0)						2956;0	1	0	0	1;4;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2957		2000	_C_ATTACK_002;30	_C_ATTACK_002;30	0			0	0	GO(0)				PS_O_EMPOWER;0			2957;9	0	1	0	1;4;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2958		1750	_F_ATTACK_024;30	_F_ATTACK_024;30	0	0;0;0;0		0	0	GO(0)	GO(0)			PS_O_TEAMPULL;0				1	1750	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2959		1750	_F_GLIDE_000;40	_F_GLIDE_000;40	0	ARC;40		0	0	GO(0)	GO(0)	none;2959;1		PS_H_TEAMPULL;0				1	1750	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2960		300	_F_EMOTION_004;85	_F_EMOTION_004;85	0	0;0;0;85		0	0	GO(0)	GO(0)			PS_O_TEAMSHOUT_MP_1;0			2960;83\n2962;84	0	10	0	2;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2961		300	_C_ATTACK_003;32	_C_ATTACK_003;32	0	0;0;0;0		0	0	GO(0)	GO(0)						2961;15\n2963;15\n2962;16	1	300	0	2;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2962		300	_F_EMPOWER_000;46	_F_EMPOWER_000;46	0	0;0;0;46		0	0	GO(0)	GO(0)			PS_O_TEAMSHOUT_MP_2;0			2962;2	1	300	0	1;4;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2965		300	_F_EMOTION_004;85	_F_EMOTION_004;85	0	0;0;0;85		0	0	GO(0)	GO(0)			PS_O_TEAMSHOUT_HP_1;0			2965;83\n2964;84	0	10	0	13;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2966		800	_C_ATTACK_003;32	_C_ATTACK_003;32	0	0;0;0;0		0	0	GO(0)	GO(0)			PS_O_TEAMSHOUT_HP_2;0			2966;57\n2964;58	0	0	0	5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2967		300	_F_EMPOWER_000;46	_F_EMPOWER_000;46	1	0;0;0;0	0;15\n180;45	0	0	GO(0)	GO(0)			PS_O_TEAMSHOUT_HP_2;0			2967;2	1	300	0	13;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2968		300	_F_EMOTION_004;85	_F_EMOTION_004;85	1	0;0;0;85		0	0	GO(0)	GO(0)			PS_O_TEAMSHOUT_ATK_1;0			2968;83\n2967;84	0	300	0	2;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2969		800	_F_EMOTION_006;110	_F_EMOTION_006;110	0	0;0;0;0		0	0	GO(0)	GO(0)			PS_H_TEAMSHOUT_ATK_2;50			2970;0\n2969;85	0	300	0	27;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2970		300	_C_ATTACK_003;25	_F_EMPOWER_000;46	1	0;0;0;46		0	0	GO(0)	GO(0)			PS_O_TEAMSHOUT_HP_2;0			2970;2	1	300	0	1;4;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2971		1700	_F_EMPOWER_000;46\n_F_RESCURE_000;86\n_F_RESCURE_000;126\n_F_RESCURE_000;166\n_F_RESCURE_000;206	_F_EMPOWER_000;46\n_F_RESCURE_000;86\n_F_RESCURE_000;126\n_F_RESCURE_000;166\n_F_RESCURE_000;206	0	0;0;0;0		0	2973	GO(0)				PS_O_TEAM_BLAST_1;0			2971;26\n2980;28	1	10	0	1;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2972		750	_F_RESCURE_000;40\n_F_RESCURE_000;80\n_F_RESCURE_000;90	_F_RESCURE_000;40\n_F_RESCURE_000;80\n_F_RESCURE_000;90	0	0;0;0;0		0	0	GO(0)	GO(0)	none;2972;43		PS_O_TEAM_BLAST_1;0				1	800	0	1;4;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2973		1700	_F_ATTACK_002;30	_F_ATTACK_002;30	0	0;0;0;0		0	0	GO(0)				PS_O_TEAM_BLAST_2;0			2973;19	0	100	0	1;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2974		1700	_F_ATTACK_002;30	_F_ATTACK_002;30	0	0;0;0;0		0	0	GO(0)				PS_O_TEAM_BLAST_2;0			2974;19	0	100	0	1;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2975		2000	_F_ATTACK_002;30\n_F_RESCURE_000;70\n_F_RESCURE_000;110\n_F_RESCURE_000;150	_F_ATTACK_002;30\n_F_RESCURE_000;70\n_F_RESCURE_000;110\n_F_RESCURE_000;150	0	0;0;0;0		0	2977	GO(0)	GO(0)	none;0;76					2975;14	0	0	0	1;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2976		750	_F_RESCUE_000;40\n_F_RESCUE_000;80\n_F_RESCUE_000;90	_F_RESCUE_000;40\n_F_RESCUE_000;80\n_F_RESCUE_000;90	0	0;0;0;0		0	0	GO(0)	GO(0)	none;2976;15						1	750	0	1;4;5;7;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2977		2000	_F_ATTACK_024;27	_F_ATTACK_024;27	0	0;0;0;0		0	0	GO(0)	STUN(100)	none;2983;14		PS_O_TEAMPULL;0			2979;14	1	2000	0	1;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2978		900	_F_JUMP_001;16\n_F_JUMP_003;30\n_F_JUMP_004;38\n_F_ATTACK_003;71	_F_JUMP_001;16\n_F_JUMP_003;30\n_F_JUMP_004;38\n_F_ATTACK_003;71	0	ARCEDGE;-1;0;0;30		0	0	GO(0)	GO(0)						2976;54\n2977;54	0	2500	0	1;4;5;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2979		700	_F_JUMP_001;16\n_F_JUMP_003;30\n_F_JUMP_004;38\n_F_ATTACK_003;71	_F_JUMP_001;16\n_F_JUMP_003;30\n_F_JUMP_004;38\n_F_ATTACK_003;71	0	ARCEDGE;-1;0;0;30		0	0	GO(0)	GO(0)						2976;54\n2978;54	1	2500	0	1;4;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2980		3500	_F_JUMP_001;46\n_F_JUMP_003;60\n_F_JUMP_004;68	_F_JUMP_001;46\n_F_JUMP_003;60\n_F_JUMP_004;68	0	ARCEDGE;-1;0;0;60		0	0	GO(0)	GO(0)	S_H_PHYSICS2;302;60						1	2500	0	0;1;5	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0
2981		2000	_F_JUMP_001;16\n_F_JUMP_003;30\n_F_JUMP_004;38\n_F_ATTACK_003;71	_F_JUMP_001;16\n_F_JUMP_003;30\n_F_JUMP_004;38\n_F_ATTACK_003;71	0	ARCEDGE;-1;0;0;30		0	0	GO(0)	GO(0)	S_H_PHYSICS2;302;65						1	2000	0	1;5	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0
2982		900	_F_ATTACK_003;32	_F_ATTACK_003;32	0	0;0;0;30		0	0	GO(0)	GO(0)	S_H_PHYSICS2;302;24						1	900	0	1;5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0
2983		2200	_F_FALLING_000;36\n_F_DIE_003;66\n_F_DIE_001;68\n_F_DIE_001;87\n_F_DIE_002;111	_F_FALLING_000;36\n_F_FALLING_000;54	0	ARCEDGE;-1;0;0;36		0	0	GO(0)	GO(0)			PS_H_TEAMPULL;0				1	2200	0	1;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3000		150	_F_ATTACK_000;27	_F_ATTACK_000;27	64	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_BITE;0;14						1	150	0	1;5;8	0.6000000238418579	0.0	0.6000000238418579	0.0	0.0	0.0	0.0	0
3001		800	_F_SENTRY_000;15\n_F_ATTACK_003;85	_F_SENTRY_000;15\n_F_ATTACK_003;85	0	0;0;0;26\nARCEDGE;0;0;0;48		0	0	HIT(95)				S_O_STAMP;24\nS_A_STAMP;75			4985;0\n3100;76	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3002		100	_F_SENTRY_000;15\n_F_ATTACK_002;60	_F_SENTRY_000;15\n_F_ATTACK_002;60	64	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_BITE;0;27\nS_H_PHYSICS_BITE;0;49						1	100	0	1;5	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0
3003		150	_F_SENTRY_000;15\n_F_ATTACK_001;59	_F_SENTRY_000;15\n_F_ATTACK_001;59	64	0;0;0;24\n50;0;0;33\n0;0;0;39\n-50;0;0;45		0	0	HIT(95)		S_H_PHYSICS_BITE;0;33					4981;0\n3000;40	1	150	0	1;5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3004		150	_F_SENTRY_000;15\n_F_ATTACK_001;59	_F_SENTRY_000;15\n_F_ATTACK_001;59	64	0;0;0;24\n50;0;0;33\n0;0;0;39\n-50;0;0;45		0	0	HIT(95)		S_H_PHYSICS_BITE;0;33					4981;0\n3001;40	1	150	0	1;5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3005		150	_F_SENTRY_000;15\n_F_ATTACK_001;59	_F_SENTRY_000;15\n_F_ATTACK_001;59	64	0;0;0;24\n50;0;0;33\n0;0;0;39\n-50;0;0;45		0	0	HIT(95)		S_H_PHYSICS_BITE;0;33					4981;0\n3002;40	1	150	0	1;5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3006		150	_F_SENTRY_000;15\n_F_ATTACK_001;59	_F_SENTRY_000;15\n_F_ATTACK_001;59	64	0;0;0;24\n50;0;0;33\n0;0;0;39\n-50;0;0;45		0	0	HIT(95)		S_H_PHYSICS_BITE;0;33					4981;0\n3003;40	1	150	0	1;5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3007		500	_F_SENTRY_000;28	_F_SENTRY_000;28	0	0;0;0;0		0	0									1	220	0	1;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3008		500	_F_DIE_003;73\n_F_DIE_002;90	_F_DIE_003;73\n_F_DIE_002;90	0	0;0;0;0		0	0									1	220	0	1;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000
3009		800	_F_SENTRY_000;15\n_F_ATTACK_003;85	_F_SENTRY_000;15\n_F_ATTACK_003;85	0	0;0;0;26\nARCEDGE;0;0;0;48		0	0	HIT(95)				S_O_STAMP_BLUE;24\nS_A_STAMP_BLUE;75			4985;0\n3100;76	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3010		1900	_F_FLEX_001;107	_F_FLEX_001;107	0	0;0;0;0		0	0	HIT(100)							4983;0	1	0	0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3011		1500	_F_JUMP_001;20\n_F_JUMP_004;26\n_F_SENTRY_000;41\n	_F_JUMP_001;20\n_F_JUMP_004;26\n_F_SENTRY_000;41\n	0	0;0;0;5\n1400;0;0;26		0	0	HIT(100)				S_O_STAMP_BLUE;5\nS_A_STAMP_BLUE;64			4981;0\n1011;1	1	0	0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3012		100	_F_ATTACK_002;45\n_F_SENTRY_000;60	_F_ATTACK_002;45\n_F_SENTRY_000;60	64	0;0;0;0		0	0	HIT(100)		S_H_PHYSICS_BITE;0;5\nnone;0;14\nS_H_PHYSICS_BITE;0;23\nnone;0;35					1009;5\n4986;0	1	150	0	1;5;21	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0
3013		500	_F_JUMP_001;20\n_F_JUMP_004;26\n_F_SENTRY_000;41	_F_JUMP_001;20\n_F_JUMP_004;26\n_F_SENTRY_000;41	0	0;0;0;2\n400;0;0;26		0	0	HIT(95)				S_O_STAMP_BLUE;0\nS_A_STAMP_BLUE;25			4985;0\n1010;2\n1010;13	1	0	0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3014		100	_F_ATTACK_000;27	_F_ATTACK_000;27	64	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_BITE;0;14					1009;14	1	150	0	1;5;8	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3020		150	_F_SENTRY_000;15\n_F_ATTACK_000;45	_F_SENTRY_000;15\n_F_ATTACK_000;45	128	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_SWORD;0;32						1	200	0	1;5;8	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3022		1300	_F_SENTRY_000;15\n_F_DASH_000;42	_F_SENTRY_000;15\n_F_DASH_000;42	0	0;0;0;0		0	0								4980;0\n3004;30	1	0	3012	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3024		200	_F_SENTRY_000;15\n_F_DASH_000;42	_F_SENTRY_000;15\n_F_DASH_000;42	32	0;0;0;15\n80;0;0;28		0	0	HIT(95)	STUN(20)	S_H_PHYSICS_HAMMER;0;30	-400;50;4	S_O_SHIELD_SMASH;15			4981;0	1	250	3004	1;5;8	1.5	0.0	1.5	0.0	0.0	0.0	0.0	0
3025		200	_F_SENTRY_000;15\n_F_DASH_000;42	_F_SENTRY_000;15\n_F_DASH_000;42	32	0;0;0;15\n80;0;0;28		0	0	HIT(95)	STUN(20)	S_H_PHYSICS_HAMMER;304;30	-400;50;4	S_O_SHIELD_SMASH;15			4981;0	1	250	3004	1;5;8	1.5	0.0	1.5	0.0	0.0	0.0	0.0	0
3026		200	_F_SENTRY_000;15\n_F_ATTACK_001;49	_F_SENTRY_000;15\n_F_ATTACK_001;49	128	0;0;0;0		0	0	HIT(95)	STUN(15)	S_H_PHYSICS_SWORD;0;36	-400;50;4				4981;0	3	250	3008	2;5;8	1.2000000476837158	0.0	1.2000000476837158	0.0	0.0	0.0	0.0	0
3027		200	_F_SENTRY_000;15\n_F_ATTACK_001;45	_F_SENTRY_000;15\n_F_ATTACK_001;45	128	0;0;0;0		0	0	HIT(95)	STUN(25)	S_H_PHYSICS_SWORD;304;36		S_O_POWER_SLASH;15			4981;0	3	250	3008	2;5;8	1.5	0.0	1.5	0.0	0.0	0.0	0.0	0
3028		200	_F_SENTRY_000;15\n_F_ATTACK_001;45	_F_SENTRY_000;15\n_F_ATTACK_001;45	128	0;0;0;0		0	0	HIT(95)	STUN(25)	S_H_PHYSICS_SWORD;304;36		S_O_POWER_SLASH;15			4981;0	3	250	3010	2;5;8	1.7999999523162842	0.0	1.7999999523162842	0.0	0.0	0.0	0.0	0
3029		500	_F_FLEX_001;155	_F_FLEX_001;155	4096	0;0;0;0		0	0	GO(0)	GO(0)	none;3003;150					4990;0	1	100	3030	1;4;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3030		500	_F_FLEX_000;110	_F_FLEX_000;110	4096	0;0;0;0		0	0	GO(0)	GO(0)	none;3006;105					4990;0	1	100	3060	1;4;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3031		500	_F_TALK_000;70	_F_TALK_000;70	0	0;0;0;0		0	0								4990;0\n3006;65	1	0	3045	1;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3040		150	_F_SENTRY_000;15\n_F_ATTACK_000;75	_F_SENTRY_000;15\n_F_ATTACK_000;75	128	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_CLAW;0;28						1	200	0	1;5;8	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3041		1000	_F_SENTRY_000;15\n_F_ATTACK_002;94	_F_SENTRY_000;15\n_F_ATTACK_002;94	0	0;0;0;0		0	0					S_O_LION_HOWLING;15			4986;0\n3246;38	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3042		500	_F_ATTACK_003;89	_F_ATTACK_003;89	0	0;0;0;26\n500;0;30;36		0	0					S_O_DASH_LION;0			4981;0\n3241;26	1	0	0	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3043		0			0			0	0									0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3044		500	_F_ATTACK_003;89	_F_ATTACK_003;89	0	0;0;0;26\n500;0;30;36		0	0					S_O_DASH_LION;0			4981;0\n3245;26	1	0	0	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3045		120	_F_SENTRY_000;15\n_F_ATTACK_001;85	_F_SENTRY_000;15\n_F_ATTACK_001;85	64	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_BITE;0;30					4985;0	1	170	0	1;5;8	1.399999976158142	0.0	1.399999976158142	0.0	0.0	0.0	0.0	0
3046		500	_F_FLEX_000;160	_F_FLEX_000;160	0	0;0;0;0		0	0	GO(0)	GO(0)	none;3003;150					4984;0	1	100	0	1;4;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3047		500	_F_ATTACK_002;60	_F_ATTACK_002;60	0	0;0;0;0		0	0					S_O_LION_HOWLING;0			4984;0\n3249;23	1	0	0	1;4;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3048		150	_F_SENTRY_000;15\n_F_ATTACK_000;75	_F_SENTRY_000;15\n_F_ATTACK_000;75	1152	0;0;0;0		0	0	HIT(95)		S_H_FLAME;0;28						1	200	0	1;5;8	0.30000001192092896	0.800000011920929	0.30000001192092896	0.800000011920929	0.0	0.0	0.0	0
3049		500	_F_FLEX_000;160	_F_FLEX_000;160	0	0;0;0;0		0	0	GO(0)	GO(0)	none;3008;150					4984;0	1	100	0	1;4;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3050		2500	_F_ATTACK_002;60	_F_ATTACK_002;60	0	0;0;0;0		0	0					S_O_LION_HOWLING;0			4980;0\n3246;23	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3060		150	_F_SENTRY_000;15\n_F_ATTACK_000;75	_F_SENTRY_000;15\n_F_ATTACK_000;75	32	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_PUNCH;0;32						1	200	0	1;5;8	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3061		1200	_F_SENTRY_000;15\n_F_ATTACK_001;75	_F_SENTRY_000;15\n_F_ATTACK_001;75	0	0;0;0;0		0	0								4980;0\n3250;34	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3062		700	_F_ATTACK_003;120	_F_ATTACK_003;120	0	0;0;0;35\n800;0;0;60		0	0					S_O_DASH_JUMP;0			4981;0\n3251;35\n3252;60	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3063		700	_F_ATTACK_003;120	_F_ATTACK_003;120	0	0;0;0;35\n800;0;0;60		0	0					S_O_DASH_JUMP_ICE;0			4981;0\n3251;35\n3253;60	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3064		700	_F_ATTACK_003;120	_F_ATTACK_003;120	0	0;0;0;35\n800;0;0;60		0	0					S_O_DASH_JUMP_FIRE;0			4981;0\n3251;35\n3254;60	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3065		700	_F_ATTACK_003;120	_F_ATTACK_003;120	0	0;0;0;35\n800;0;0;60		0	0					S_O_DASH_JUMP_POISON;0			4981;0\n3251;35\n3255;60	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3066		150	_F_ATTACK_002;90	_F_ATTACK_002;90	4096	0;0;0;0		0	0	GO(0)	GO(0)	none;3003;80					4984;0	1	100	0	1;4;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3067		1200	_F_SENTRY_000;15\n_F_ATTACK_001;75	_F_SENTRY_000;15\n_F_ATTACK_001;75	0	0;0;0;0		0	0								4980;0\n3493;34	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3068		1200	_F_SENTRY_000;15\n_F_ATTACK_001;75	_F_SENTRY_000;15\n_F_ATTACK_001;75	0	0;0;0;0		0	0								4980;0\n3470;34	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3069		200	_F_SENTRY_000;15\n_F_ATTACK_001;75	_F_SENTRY_000;15\n_F_ATTACK_001;75	32	0;0;0;0		0	0	HIT(95)	STUN(55)	S_H_PHYSICS_PUNCH;0;34	-200;50;5				4980;0	1	220	0	1;5;8	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3080		100	_F_SENTRY_000;15\n_F_ATTACK_000;64	_F_SENTRY_000;15\n_F_ATTACK_000;64	32	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_PUNCH;0;30						1	150	0	1;5;8	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3081		800	_F_SENTRY_000;15\n_F_ATTACK_001;105	_F_SENTRY_000;15\n_F_ATTACK_001;105	0	0;0;0;0		0	0								3214;35	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3082		800	_F_SENTRY_000;15\n_F_ATTACK_001;105	_F_SENTRY_000;15\n_F_ATTACK_001;105	0	0;0;0;0		0	0								3217;35	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3083		800	_F_SENTRY_000;15\n_F_ATTACK_001;105	_F_SENTRY_000;15\n_F_ATTACK_001;105	0	0;0;0;0		0	0								3220;35	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3084		800	_F_SENTRY_000;15\n_F_ATTACK_001;105	_F_SENTRY_000;15\n_F_ATTACK_001;105	0	0;0;0;0		0	0								3223;35	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3085		800	_F_SENTRY_000;15\n_F_ATTACK_001;105	_F_SENTRY_000;15\n_F_ATTACK_001;105	0	0;0;0;0		0	0								3226;35	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3086		1200	_F_ATTACK_002;94	_F_ATTACK_002;94	0	0;0;0;0		0	0								4981;0\n3229;50	1	0	3006	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3087		1200	_F_ATTACK_002;94	_F_ATTACK_002;94	0	0;0;0;0		0	0								4981;0\n3231;50	1	0	3006	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3088		1200	_F_ATTACK_002;94	_F_ATTACK_002;94	0	0;0;0;0		0	0								4981;0\n3233;50	1	0	3006	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3089		1200	_F_ATTACK_002;94	_F_ATTACK_002;94	0	0;0;0;0		0	0								4981;0\n3235;50	1	0	3006	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3090		1200	_F_ATTACK_002;94	_F_ATTACK_002;94	0	0;0;0;0		0	0								4981;0\n3237;50	1	0	3015	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3091		1200	_F_ATTACK_002;94	_F_ATTACK_002;94	0	0;0;0;0		0	0								4981;0\n3239;50	1	0	3015	2;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3100		130	_F_SENTRY_000;15\n_F_ATTACK_000;75	_F_SENTRY_000;15\n_F_ATTACK_000;75	32	0;0;0;0		0	0	HIT(95)		S_H_PHYSICS_PUNCH;0;39						1	180	0	1;5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
3101		800	_F_SENTRY_000;15\n_F_ATTACK_003;85	_F_SENTRY_000;15\n_F_ATTACK_003;85	0	0;0;0;28\nARCEDGE;0;0;0;42		0	0					S_O_STAMP;25\nS_A_STAMP;72			4980;0\n3100;73	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3102		1200	_F_SENTRY_000;15\n_F_ATTACK_002;75	_F_SENTRY_000;15\n_F_ATTACK_002;75	0	0;0;0;0		0	0					S_O_FIREBOLT_GOAT;15			4980;0\n3101;47	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3103		200	_F_SENTRY_000;15\n_F_ATTACK_001;75	_F_SENTRY_000;15\n_F_ATTACK_001;75	32	0;0;0;0		0	0	HIT(95)	STUN(25)	S_H_PHYSICS_HAMMER;304;37	-200;200;5	S_O_BACKKICK;0			4982;0	1	250	0	1;5;8	1.5	0.0	1.5	0.0	0.0	0.0	0.0	0
3104		1200	_F_SENTRY_000;15\n_F_ATTACK_002;75	_F_SENTRY_000;15\n_F_ATTACK_002;75	0	0;0;0;0		0	0					S_O_THUNDERBOLT_GOAT;15			4980;0\n3102;47	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3105		1200	_F_SENTRY_000;15\n_F_ATTACK_002;75	_F_SENTRY_000;15\n_F_ATTACK_002;75	0	0;0;0;0		0	0					S_O_GHOSTFIRE_GOAT;15			4980;0\n3103;47	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3106		1500	_F_SENTRY_000;15\n_F_ATTACK_002;75	_F_SENTRY_000;15\n_F_ATTACK_002;75	0	0;0;0;0		0	0					S_O_FIREBOLT_GOAT;15			4983;0\n3115;47	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3107		0			0			0	0									0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3108		800	_F_SENTRY_000;15\n_F_ATTACK_003;85	_F_SENTRY_000;15\n_F_ATTACK_003;85	0	0;0;0;28\nARCEDGE;-0.5;0;0;42		0	0					S_O_STAMP_BLUE;25\nS_A_STAMP_BLUE;72			4980;0\n3100;73	1	0	0	2;5;8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
