n_ID	n_TYPE	s_STATISTIC	s_CONDITIONS	s_FREQUENCY	s_TIP	n_POINTS	n_LEVEL	n_REWARD_ITEM	n_ITEMQUANTITY	f_REWARD_EXP	f_REWARD_SP	f_REWARD_MONEY	n_REWARD_TOKEN	n_REWARD_GREATTITLE	n_BROADCASTING	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
4206	1617	WINE_MAKE(2405043,25)\nWINE_MAKE(2405044,26)\nWINE_MAKE(2405045,27)	GO\nGO\nGO	2\n2\n2	8416\n8417\n8418	0	61	0	0	4.5	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4207	1617	WINE_MAKE(2405055,28)\nWINE_MAKE(2405056,29)\nWINE_MAKE(2405057,30)	GO\nGO\nGO	3\n3\n3	8419\n8420\n8421	0	61	0	0	12.0	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4208	1617	WINE_MAKE(2405058,31)\nWINE_MAKE(2405059,32)\nWINE_MAKE(2405060,33)	GO\nGO\nGO	3\n3\n3	8422\n8423\n8424	0	61	0	0	12.0	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4209	1617	WINE_MAKE(2405061,34)\nWINE_MAKE(2405062,35)\nWINE_MAKE(2405063,36)	GO\nGO\nGO	3\n3\n3	8425\n8426\n8427	0	61	0	0	12.0	0.0	0.0	0	4209	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4301	1617	GETITEM_VENDOR(2401020)	GO	500	4301	5	61	0	0	10.0	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4302	1617	GETITEM_VENDOR(2208997)	GO	10	4302	5	61	0	0	10.0	200.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4303	1617	GETITEM_VENDOR(2400807)	GO	50	4303	5	61	0	0	0.0	800.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4304	1617	GETITEM_VENDOR(2600018)	GO	100	4304	5	61	0	0	50.0	400.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4305	1617	GETITEM_VENDOR(2208998)	GO	50	4305	5	61	0	0	100.0	1000.0	0.0	0	4305	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
5001	1618	REVIVE_HELP	GO	10	5001	5	30	2605001	2	0.0	0.0	0.0	100	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
5002	1618	REVIVE_HELP	TARGET_PCLEVEL(1,60)	10	5002	5	30	2605001	3	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
5003	1618	REVIVE_HELP	SELF_HP(-1,5)	5	5003	10	30	2605001	3	0.0	0.0	0.0	200	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
5004	1618	REVIVE_BEHELP(50,50)	GO	10	5004	5	50	2605001	5	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
5005	1618	SOULMATE_ADD	GO	3	5005	10	40	2605001	4	0.0	0.0	0.0	200	5005	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
6151	1619	GETITEM_ANYWAY(2400849)	GO	80	6151	10	1	0	0	0.0	0.0	0.0	0	6151	0	1.11.0000	1.40.0000	1.40.0000	1.00.0000
6152	1619	GETITEM_ANYWAY(2605540)	GO	10	6152	10	1	0	0	0.0	0.0	0.0	0	6152	0	1.11.0000	1.40.0000	1.40.0000	1.00.0000
