n_ID	n_MOBEXP	n_SP	n_HPMAX	n_RECOVER_HP	n_STAMINAMAX	n_RECOVER_STAMINA	n_SPEED_RUN	n_STRENGH	n_CONSITUTION	n_AGILITY	n_PERCEPTION	n_INTELLECT	n_DAMMIN_PHYSICS	n_DAMMIN_MAGIC	n_DAMPLUS_PHYSICS	n_DAMPLUS_MAGIC	n_AC_PHYSICS	n_AC_MAGIC	n_ABSORB_PHYSICS	n_ABSORB_MAGIC	n_PENETRATE_PHYSICS	n_PENETRATE_MAGIC	f_ANTI_STUN	f_STUN	f_ANTI_CURSE	f_CURSE	f_HITRATE	f_DODGE	f_POWERHIT	f_ANTI_POWERHIT	f_BYPASS	f_OVERHIT	f_MULTIPLY_POWERDAM	f_ABSORB_POWERDAM	f_ABSORB_SHIELD	f_BLOCKRATE	f_MUL_DAMAGE
118	2660	1330	319568	1890	100	5	600	776	776	776	776	776	7276	7276	1091	1091	9309	9309	0	0	0	0	5.0	5.0	5.0	5.0	19.5	19.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
119	2750	1375	327472	1937	100	5	600	790	790	790	790	790	7400	7400	1110	1110	9681	9681	0	0	0	0	5.0	5.0	5.0	5.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
120	2843	1421	335459	1984	100	5	600	804	804	804	804	804	7524	7524	1128	1128	10068	10068	0	0	0	0	5.0	5.0	5.0	5.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
121	2939	1468	343629	2033	100	5	600	818	818	818	818	818	8098	8098	1214	1214	10469	10469	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
122	3038	1516	351982	2082	100	5	600	832	832	832	832	832	8231	8231	1234	1234	10883	10883	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
123	3140	1565	360373	2132	100	5	600	846	846	846	846	846	8365	8365	1254	1254	11312	11312	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
124	3245	1615	368998	2183	100	5	600	860	860	860	860	860	8500	8500	1275	1275	11755	11755	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
125	3353	1666	377664	2234	100	5	600	874	874	874	874	874	8637	8637	1295	1295	12214	12214	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
126	3464	1718	386517	2287	100	5	600	889	889	889	889	889	8774	8774	1316	1316	12687	12687	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
127	3578	1771	395512	2340	100	5	600	904	904	904	904	904	8913	8913	1336	1336	13177	13177	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
128	3695	1825	404595	2394	100	5	600	919	919	919	919	919	9052	9052	1357	1357	13683	13683	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
129	3815	1880	413873	2448	100	5	600	934	934	934	934	934	9193	9193	1378	1378	14205	14205	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
130	3938	1936	423241	2504	100	5	600	949	949	949	949	949	9334	9334	1400	1400	14745	14745	0	0	0	0	5.5	5.5	5.5	5.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
131	4064	1993	432809	2561	100	5	600	965	965	965	965	965	9477	9477	1421	1421	15302	15302	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
132	4194	2051	442466	2618	100	5	600	981	981	981	981	981	9621	9621	1443	1443	15878	15878	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
133	4328	2110	452323	2676	100	5	600	997	997	997	997	997	9766	9766	1464	1464	16471	16471	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
134	4466	2170	462274	2735	100	5	600	1013	1013	1013	1013	1013	9913	9913	1486	1486	17084	17084	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
135	4608	2231	472378	2795	100	5	600	1029	1029	1029	1029	1029	10060	10060	1509	1509	17716	17716	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
136	4754	2293	482626	2855	100	5	600	1046	1046	1046	1046	1046	10208	10208	1531	1531	18368	18368	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
137	4904	2356	493026	2917	100	5	600	1063	1063	1063	1063	1063	10358	10358	1553	1553	19040	19040	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
138	5058	2420	503636	2980	100	5	600	1080	1080	1080	1080	1080	10508	10508	1576	1576	19733	19733	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
139	5216	2485	514341	3043	100	5	600	1097	1097	1097	1097	1097	10659	10659	1598	1598	20447	20447	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
140	5378	2551	525145	3107	100	5	600	1114	1114	1114	1114	1114	10812	10812	1621	1621	21183	21183	0	0	0	0	6.0	6.0	6.0	6.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
141	5545	2618	536159	3172	100	5	600	1131	1131	1131	1131	1131	10966	10966	1644	1644	21941	21941	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
142	5717	2686	547329	3238	100	5	600	1148	1148	1148	1148	1148	11121	11121	1668	1668	22722	22722	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
143	5894	2755	558658	3305	100	5	600	1165	1165	1165	1165	1165	11277	11277	1691	1691	23526	23526	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
144	6076	2825	568245	3362	100	5	600	1182	1182	1182	1182	1182	11434	11434	1715	1715	24354	24354	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
145	6263	2896	576179	3409	100	5	600	1199	1199	1199	1199	1199	11592	11592	1738	1738	25207	25207	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
146	6455	2968	584061	3455	100	5	600	1217	1217	1217	1217	1217	11752	11752	1762	1762	26084	26084	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
147	6652	3041	591996	3502	100	5	600	1235	1235	1235	1235	1235	11912	11912	1786	1786	26986	26986	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
148	6855	3115	600047	3550	100	5	600	1253	1253	1253	1253	1253	12073	12073	1810	1810	27914	27914	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
149	7064	3190	608159	3598	100	5	600	1271	1271	1271	1271	1271	12236	12236	1835	1835	28868	28868	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
150	7279	3266	616267	3646	100	5	600	1289	1289	1289	1289	1289	12399	12399	1859	1859	29850	29850	0	0	0	0	6.5	6.5	6.5	6.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
151	7500	3343	624435	3694	100	5	600	1308	1308	1308	1308	1308	12564	12564	1884	1884	30858	30858	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
152	7727	3421	632660	3743	100	5	600	1327	1327	1327	1327	1327	12729	12729	1909	1909	31895	31895	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
153	7960	3500	641000	3792	100	5	600	1346	1346	1346	1346	1346	12897	12897	1934	1934	32960	32960	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
154	8200	3580	649338	3842	100	5	600	1365	1365	1365	1365	1365	13064	13064	1959	1959	34054	34054	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
155	8447	3661	657735	3891	100	5	600	1384	1384	1384	1384	1384	13233	13233	1984	1984	35178	35178	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
156	8701	3743	666133	3941	100	5	600	1404	1404	1404	1404	1404	13404	13404	2010	2010	36331	36331	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
157	8962	3826	674645	3991	100	5	600	1424	1424	1424	1424	1424	13575	13575	2036	2036	37516	37516	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
158	9230	3910	683273	4043	100	5	600	1444	1444	1444	1444	1444	13748	13748	2062	2062	38731	38731	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
159	9506	3995	691843	4093	100	5	600	1464	1464	1464	1464	1464	13921	13921	2088	2088	39978	39978	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
160	9790	4081	700528	4145	100	5	600	1484	1484	1484	1484	1484	14095	14095	2114	2114	41257	41257	0	0	0	0	7.0	7.0	7.0	7.0	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
161	10082	4168	709268	4196	100	5	600	1501	1501	1501	1501	1501	14271	14271	2140	2140	42569	42569	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
162	10382	4256	718068	4248	100	5	600	1518	1518	1518	1518	1518	14447	14447	2167	2167	43914	43914	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
163	10690	4345	726869	4301	100	5	600	1535	1535	1535	1535	1535	14625	14625	2193	2193	45292	45292	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
164	11007	4435	735781	4353	100	5	600	1552	1552	1552	1552	1552	14805	14805	2220	2220	46705	46705	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
165	11333	4526	744755	4406	100	5	600	1569	1569	1569	1569	1569	14984	14984	2247	2247	48153	48153	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
166	11668	4618	753727	4459	100	5	600	1586	1586	1586	1586	1586	15165	15165	2274	2274	49636	49636	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
167	12012	4711	762756	4513	100	5	600	1603	1603	1603	1603	1603	15347	15347	2302	2302	51155	51155	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
168	12366	4805	771846	4567	100	5	600	1620	1620	1620	1620	1620	15530	15530	2329	2329	52710	52710	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
169	12730	4900	781047	4621	100	5	600	1637	1637	1637	1637	1637	15714	15714	2357	2357	54301	54301	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
170	13104	4996	790250	4676	100	5	600	1654	1654	1654	1654	1654	15901	15901	2385	2385	55930	55930	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
171	13488	5093	799509	4730	100	5	600	1672	1672	1672	1672	1672	16087	16087	2413	2413	57602	57602	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
172	13883	5191	808884	4786	100	5	600	1690	1690	1690	1690	1690	16274	16274	2441	2441	59319	59319	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
173	14289	5290	818200	4841	100	5	600	1708	1708	1708	1708	1708	16463	16463	2469	2469	61080	61080	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
174	14706	5390	827634	4897	100	5	600	1726	1726	1726	1726	1726	16653	16653	2497	2497	62888	62888	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
175	15135	5491	837125	4953	100	5	600	1744	1744	1744	1744	1744	16844	16844	2526	2526	64743	64743	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
176	15576	5593	846730	5010	100	5	600	1762	1762	1762	1762	1762	17035	17035	2555	2555	66646	66646	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
177	16029	5696	856278	5066	100	5	600	1780	1780	1780	1780	1780	17229	17229	2584	2584	68599	68599	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
178	16495	5800	865883	5123	100	5	600	1798	1798	1798	1798	1798	17424	17424	2613	2613	70602	70602	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
179	16974	5905	875659	5181	100	5	600	1816	1816	1816	1816	1816	17618	17618	2642	2642	72656	72656	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
180	17466	6011	885378	5238	100	5	600	1834	1834	1834	1834	1834	17814	17814	2672	2672	74763	74763	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
181	17972	6118	895213	5297	100	5	600	1852	1852	1852	1852	1852	18012	18012	2701	2701	76924	76924	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
182	18492	6226	905049	5355	100	5	600	1870	1870	1870	1870	1870	18210	18210	2731	2731	79139	79139	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
183	19027	6335	914943	5413	100	5	600	1888	1888	1888	1888	1888	18410	18410	2761	2761	81410	81410	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
184	19577	6445	924950	5473	100	5	600	1906	1906	1906	1906	1906	18611	18611	2791	2791	83738	83738	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
185	20142	6556	935013	5532	100	5	600	1924	1924	1924	1924	1924	18812	18812	2821	2821	86124	86124	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
186	20723	6668	945079	5592	100	5	600	1943	1943	1943	1943	1943	19015	19015	2852	2852	88570	88570	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
187	21320	6781	955145	5651	100	5	600	1962	1962	1962	1962	1962	19219	19219	2882	2882	91076	91076	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
188	21934	6895	965382	5712	100	5	600	1981	1981	1981	1981	1981	19424	19424	2913	2913	93645	93645	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
189	22565	7010	975620	5772	100	5	600	2000	2000	2000	2000	2000	19630	19630	2944	2944	96276	96276	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
190	23214	7126	985916	5833	100	5	600	2019	2019	2019	2019	2019	19837	19837	2975	2975	98972	98972	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
191	23881	7243	996325	5895	100	5	600	2038	2038	2038	2038	2038	20046	20046	3006	3006	101733	101733	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
192	24567	7361	1006678	5956	100	5	600	2057	2057	2057	2057	2057	20256	20256	3038	3038	104561	104561	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
193	25272	7480	1017144	6018	100	5	600	2076	2076	2076	2076	2076	20466	20466	3069	3069	107457	107457	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
194	25997	7600	1027672	6080	100	5	600	2095	2095	2095	2095	2095	20677	20677	3101	3101	110422	110422	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
195	26742	7721	1038252	6143	100	5	600	2114	2114	2114	2114	2114	20890	20890	3133	3133	113459	113459	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
196	27508	7843	1048834	6206	100	5	600	2133	2133	2133	2133	2133	21104	21104	3165	3165	116567	116567	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
197	28295	7966	1059535	6269	100	5	600	2152	2152	2152	2152	2152	21319	21319	3197	3197	119749	119749	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
198	29104	8090	1070232	6332	100	5	600	2171	2171	2171	2171	2171	21535	21535	3230	3230	123006	123006	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
199	29936	8215	1081100	6397	100	5	600	2190	2190	2190	2190	2190	21752	21752	3262	3262	126340	126340	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
200	30791	8341	1091915	6461	100	5	600	2209	2209	2209	2209	2209	21970	21970	3295	3295	129751	129751	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
201	31670	8468	1102784	6525	100	5	600	2229	2229	2229	2229	2229	22189	22189	3328	3328	133241	133241	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
202	32574	8596	1113768	6590	100	5	600	2249	2249	2249	2249	2249	22410	22410	3361	3361	136811	136811	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
203	33503	8725	1124757	6655	100	5	600	2269	2269	2269	2269	2269	22631	22631	3394	3394	140464	140464	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
204	34458	8855	1135799	6720	100	5	600	2289	2289	2289	2289	2289	22853	22853	3427	3427	144200	144200	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
205	35440	8986	1146899	6786	100	5	600	2309	2309	2309	2309	2309	23076	23076	3461	3461	148021	148021	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
206	36449	9118	1158056	6852	100	5	600	2329	2329	2329	2329	2329	23301	23301	3495	3495	151929	151929	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
207	37486	9251	1169272	6918	100	5	600	2349	2349	2349	2349	2349	23527	23527	3529	3529	155925	155925	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
208	38552	9385	1180602	6985	100	5	600	2369	2369	2369	2369	2369	23754	23754	3563	3563	160010	160010	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
209	39648	9520	1191875	7052	100	5	600	2389	2389	2389	2389	2389	23982	23982	3597	3597	164186	164186	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
210	40775	9656	1203320	7120	100	5	600	2409	2409	2409	2409	2409	24210	24210	3631	3631	168454	168454	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
211	41934	9793	1214766	7187	100	5	600	2429	2429	2429	2429	2429	24442	24442	3666	3666	172817	172817	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
212	43125	9931	1226210	7255	100	5	600	2449	2449	2449	2449	2449	24672	24672	3700	3700	177276	177276	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
213	44349	10070	1237714	7323	100	5	600	2469	2469	2469	2469	2469	24904	24904	3735	3735	181831	181831	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
214	45607	10210	1249333	7392	100	5	600	2489	2489	2489	2489	2489	25138	25138	3770	3770	186486	186486	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
215	46900	10351	1261006	7461	100	5	600	2509	2509	2509	2509	2509	25372	25372	3805	3805	191241	191241	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
216	48229	10493	1272740	7531	100	5	600	2530	2530	2530	2530	2530	25608	25608	3841	3841	196099	196099	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
217	49595	10636	1284471	7600	100	5	600	2551	2551	2551	2551	2551	25845	25845	3876	3876	201060	201060	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
218	50999	10780	1296321	7670	100	5	600	2572	2572	2572	2572	2572	26082	26082	3912	3912	206126	206126	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
219	52442	10925	1308226	7740	100	5	600	2593	2593	2593	2593	2593	26321	26321	3948	3948	211300	211300	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
220	53925	11071	1320133	7811	100	5	600	2614	2614	2614	2614	2614	26560	26560	3984	3984	216582	216582	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
221	55449	11218	1332095	7882	100	5	600	2635	2635	2635	2635	2635	26802	26802	4020	4020	221975	221975	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
222	57016	11366	1344115	7953	100	5	600	2656	2656	2656	2656	2656	27045	27045	4056	4056	227480	227480	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
223	58627	11515	1356195	8024	100	5	600	2677	2677	2677	2677	2677	27288	27288	4093	4093	233098	233098	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
224	60283	11665	1368329	8096	100	5	600	2698	2698	2698	2698	2698	27532	27532	4129	4129	238832	238832	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
225	61985	11816	1380580	8169	100	5	600	2719	2719	2719	2719	2719	27777	27777	4166	4166	244684	244684	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
226	63735	11968	1392774	8241	100	5	600	2740	2740	2740	2740	2740	28024	28024	4203	4203	250654	250654	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
227	65534	12121	1405082	8314	100	5	600	2761	2761	2761	2761	2761	28271	28271	4240	4240	256744	256744	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
228	67383	12275	1417445	8387	100	5	600	2782	2782	2782	2782	2782	28520	28520	4278	4278	262957	262957	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
229	69284	12430	1429871	8460	100	5	600	2803	2803	2803	2803	2803	28771	28771	4315	4315	269294	269294	0	0	0	0	7.5	7.5	7.5	7.5	20.0	20.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
