n_ID	s_SKILL_TITLE	s_DESCRIPTION	s_TIP	s_DETAIL	s_CACULATE
3528	Whip Madness	โจมตีหมู่ด้วยแซ่\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป	โจมตีหมู่ด้วยแซ่\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป		
3529	Master Impact	พุ่งชนเป้าหมายอย่างแรง ทำให้เป้าหมายล้มลง\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป	พุ่งชนเป้าหมายอย่างแรง ทำให้เป้าหมายล้มลง\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป		
3540	Throwing Boomerang	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]		
3541	Throwing Boomerang	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]		
3542	Throwing Boomerang	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]		
3543	Throwing Boomerang	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]	โจมตีเป้าหมายที่อยู่ในเส้นทางด้วยการปาลูกดอก\n[โจมตีกายภาพ]		
3544	Wild boar crash	ใช้หมูป่าชนเป้าหมายให้กระเด็น\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป	ใช้หมูป่าชนเป้าหมายให้กระเด็น\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป		
3545	Battle Support	เพิ่มพลังโจมตีให้ฝ่ายตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป	เพิ่มพลังโจมตีให้ฝ่ายตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป		
3546	Perseverance Boost	เพิ่มป้องกันให้ฝ่ายตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป	เพิ่มป้องกันให้ฝ่ายตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป		
3547	Vitality Boost	รักษาฝ่ายตนเอง\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป	รักษาฝ่ายตนเอง\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป		
3560	Straight Cutter				
3561	Chop				
3562	Beetle Juice				
3563	Rampage				
3564	Lightning Strike				
3565	Pyroblast				
3566	Pyroblast				
3580	Swing left	ใช้ฝ่ามือตะปบเป้าหมายระยะใกล้\n[โจมตีกายภาพ]	ใช้ฝ่ามือตะปบเป้าหมายระยะใกล้\n[โจมตีกายภาพ]		
3581	Electromagnetic Cannon	โจมตีทางไกลด้วยลูกปืนพลังงาน\n[โจมตีเวทย์]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป	โจมตีทางไกลด้วยลูกปืนพลังงาน\n[โจมตีเวทย์]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป		
3582	Pounding Fists	ใช้สองมือโจมตีหนักลงบนพื้นทำให้เป้าหมายเกิดความเสียหายหมู่\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป	ใช้สองมือโจมตีหนักลงบนพื้นทำให้เป้าหมายเกิดความเสียหายหมู่\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป		
3583	Plasma thump 	ใช้สายฟ้าโจมตีหนักลงบนพื้นทำให้เป้าหมายเกิดความเสียหายหมู่\n[โจมตีเวทย์]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป	ใช้สายฟ้าโจมตีหนักลงบนพื้นทำให้เป้าหมายเกิดความเสียหายหมู่\n[โจมตีเวทย์]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป		
3584	Luke' S Radiation				
3585	Luke' S Radiation				
3586	Luke' S Radiation				
3587	Hold Up				
3588	Swing left				
3589	Shaped hammering				
3590	Aerial Gun				
3591	Primary shape				
3592	Gather Ability Field				
3593	Second Shape				
3594	Super Electromagnetic				
3595	Laser sensors				
3600	Hippocampus Attack				
3601	Hippocampus Attack				
3602	Hippocampus Attack				
3603	Aqua Whip				
3604	Water Bomb				
3605	Water Bomb				
3606	Water Bomb				
3607	Heavy Rain				
3608	Aqua Circle				
3609	Inmune Aqua Circle				
3610	Inmune Aqua Circle				
3611	Inmune Aqua Circle				
3620	Right Swing				
3621	Left Swing				
3622	Moving Cutter				
3623	Moving Cutter				
3624	Moving Cutter				
3625	Water Jet				
3626	Bubble Blew				
3627	Bubble Blew				
3628	Bubble Blew				
3629	Track Bubble				
3630	Track Bubble				
3631	Bubble Bomb				
3640	Arm thrusts				
3641	Arms sting				
3642	Machine Gun Strafe				
3643	Rampage				
3644	Bombardier				
3645	Mutiple Stab				
3646	Bomb shell Spider Release				
3647	Bomb shell Spider Release				
3648	Bomb shell Spider Release				
3661	Blew				
3681	Miserable				
3682	Stampede				
3683	Lava bomb				
3684	Searing Puncture				
3685	Hallow				
3686	Cyclotron double tooth				
3700	Slash				
3701	Multiple Strike				
3702	Sunset Strike				
3703	Multiple Strike				
3704	Judgment hammering				
3705	Judgment hammering				
3706	Onrush				
3707	Onrush				
3708	Onrush				
3709	Day of Judgment				
3710	Sunset Fist				
3711	Wraith of Goddess				
3712	Sunset Strike				
3720	Swipe				
3721	Swipe				
3722	Blow				
3723	Backhand Assault				
3724	Jump Blow				
3740	Slash				
3741	Slash				
3742	Heavy Cutter				
3743	Circle Rip				
3744	Flying Heavy Cutter				
3760	Dual Combo				
3761	Dual Combo				
3762	Circle Attack				
3763	Tripple Combo				
3780	Dubble Cutter				
3781	Dubble Cutter				
3782	Circle Rip				
3783	Tripple Combo				
3785	Circle Slash				
3786	Aerial Ripper				
3787	Flying Kick				
3788	Flying Assassinate				
3789	Skip Step				
3790	Track of Blood				
3800	Shooting				
3801	Shooting				
3802	Strong Shooting				
3803	Evade shooting				
3820	Strile				
3821	Heavy Ripper				
3822	Storm Cyclotron				
3823	Frenzy Attack				
3824	Leap Assassinate				
3825	Deadly End				
3826	Flying Kick Strike				
3827	Lightnig Strike				
3828	Bloodlust Sword				
3840	Blitz				
3841	Destruction Wave				
3842	Battle call				
3843	Tear attack				
3844	Bane				
3845	Light Hammer				
3846	Shield				
3847	Crushed Earth				
3851	Piercing Shot				
3852	Plasma Bomb				
3853	Smoke Grenade				
3854	Frag Grenades				
3855	Suppressive Fire				
3856	Fire Extinguisher				
3857	Evade shooting				
3858	Massacre Fire				
3861	Beam Therapy				
3862	Prayer Cure				
3863	Javelin Sun				
3864	Fireball Combo				
3880	Multiple Frostbolt				
3881	Ice Core				
3882	Icy Hell				
3883	Crystal Frost				
3884	Snow Field				
3885	Ice Impact				
3900	Hippocampus Attack				
3901	Blood Whip				
3902	Blood Bomb				
3903	Heavy Rain				
3904	Aqua Circle				
3905	Inmune Aqua Circle				
3906	Inmune Aqua Circle				
3907	Inmune Aqua Circle				
3908	Summon				
3909	Heavy Shower				
3910	Water Ring				
3911	Resist Water Ring				
3920	Puncture				
3921	Eren Cut				
3922	Eren Cut				
3923	Hellraiser Flame				
3924	Soul Eater Flame				
3925					
3926	Dark Impact				
3927	Triple Strike				
3928	Triple Strike				
3929	Atomic Hacking				
5101	Hammer of Judgment				
5102	Summon Poseidon servant				
5103	Hammer of Judgment - Tester		ใช้อาวุธของทหารเรือโจมตีพวกนักโทษเลย!		
5128	Launch		ยิงปืนใหญ่!		
5130	Jump!		ใช้กระโดดเตียงสปริง!		
5155	Hammer of Judgment - Dusk				
5156	Hammer of Judgment - Dawn				
5157	Hammer of Judgment - Rising Sun				
5158	Hammer of Judgment - Hot Sun				
7000	Haste		พุ่งชนด้วยความเร็วในระยะ 19.5 เมตร		
7001	Bounce		กระโดดไปข้างหน้า 7.5 เมตร สามารถใช้กระโดดข้ามพื้นที่ที่มีภูมิประเทศที่ไม่ดี		
7002	Haste		พุ่งชนด้วยความเร็ว ในระยะ 15 เมตร		
7003	Haste		พุ่งชนด้วยความเร็ว ในระยะ 17 เมตร		
7004	Dash		พุ่งชนด้วยความเร็ว ในระยะ 80 เมตร		
7005	Leap		กระโดดไปด้านหน้า เหมาะกับการใช้ในภูมิประเทศที่มีแม่น้ำ		
7006	Drill Attack		โจมตีเป้าหมายให้ล้มลงด้วยสว่านที่อยู่ด้านหลัง		
7007	Throwing Drill		ปาสว่านใส่ศัตรู		
7008	Rampage		พุ่งชนศัตรูที่อยู่ในเส้นทางด้วยความเร็ว		
7009	Shotgun Shot		ใช้ปืนโจมตีศัตรูระยะใกล้		
7010	Shooting Raids		ยิงกวาดล้างศัตรูที่อยู่ด้านหน้า		
7011	Great Cannon		เล็งปืนใหญ่ไปยังเป้าหมาย และโจมตีศัตรูให้กระเด็น		
7012	Bomb bursts		ยิงลูกปืน 4 ลูกด้วยความเร็วและสูง เมื่อโจมตีโดนเป้าหมายจะทำให้เกืดความเสียหายหมู่เล็กน้อย		
7013	Sniper Gun		ยิงปืนใหญ่อย่างแรงด้วยความเร็วสูง โจมตีทะลุเป้าหมายที่อยู่ในเส้นทางให้กระเด็น		
7014	Projectile Burst		โจมตีศัตรูที่อยู่ในเส้นทางด้วยลูกปืนทะลุเกราะด้วยความเร็ว		
7015	Flame Radiation 		พ่นไฟ ทำให้ศัตรูที่อยู่ในเส้นทางติดไฟ		
7016	Great Cannon		เล็งปืนใหญ่ไปยังเป้าหมาย และโจมตีศัตรูให้กระเด็น		
7017	bounce		กระโดดไปด้านหน้า เหมาะกับการใช้ในภูมิประเทศที่มีแม่น้ำ		
7018	Arms Sting		ใช้แขนสับลงบนพื้นอย่างหนัก ทำให้ศัตรูล้มลง		
7019	Multiple Sting		โจมตีลงบนพื้นหลายครั้งอย่างรวดเร็ว		
7020	Machine Gun Strafe		ใช้ปืนยิงไปยังเป้าหมายด้านหน้า		
7021	Seige Cannon		ยิงปืนใหญ่ โจมตีศัตรูในบริเวณให้กระเด็น		
7022	Accelerate		เร่งเครื่องเพิ่มความเร็ว		
7023	Rock Strafe		ยิงระเบิดไปใส่ศัตรูที่อยู่บริเวณด้านหน้า มีโอกาสโจมตีให้ล้มลง		
7024	Stun Grenade		ยิงระเบิดอานุภาพสูง มีอากาสโจมตีศัตรูด้านหน้าให้ล้มลง		
7025	Whips and Spurs		กระตุ้นสัตว์ขี่ให้วิ่งเร็วขึ้น		
7101	Insane Mouse Shovel		พลั่วที่มีความแข็งแกร่ง!\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากการโจมตีกายภาพ และโจมตีหนัก 100%		
7102	Hit Wall		ข้าชอบทำลายกำแพงที่สุดเลยหล่ะ\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากการโจมตีกายภาพ และโจมตีหนัก 125%		
7103	Sky Flying Squirrel		บุกเลย!ใครที่ไม่ใส่หมวกนิรภัยระวังหัวไว้ด้วยนะ!\nทำให้เป้าหมายเดี่ยวในระยะ 12 เมตรเกิดความเสียหายจากการโจมตีกายภาพ และโจมตีหนัก 185% และมีโอกาสล้มลง		
7104	Bomb Escape		การไล่ล่าจะต้องใช้เทคนิดที่ดีและได้ผล\nลูกระเบิดจะทำให้เป้าหมายในระยะ 7 เมตร เกิดความเสียหายจากโจมตีกายภาพ, โจมตีเวทย์ และโจมตีหนัก 160% สูงสุด 5 คน มีโอกาสโจมตีให้กระเด็น และล้มลง		
7105	Unlock Explosives		เป็นลูกระเบิดที่สามารถเปิดตู้นิรภัยได้ แต่ไม่ประกันความปลอดภัยของของด้านในนะ!\nโจมตีเป้าหมายในระยะ 17 เมตรด้วยระเบิด ลูกระเบิดจะทำให้เป้าหมายในระยะ 3 เมตร เกิดความเสียหายจากโจมตีกายภาพ, โจมตีเวทย์ และโจมตีหนัก 160% สูงสุด 5 คน มีโอกาสโจมตีให้กระเด็น		
7111	Ice Missiles		โจมตีด้วยความหนาวเหน็บ ทำให้ความเร็วลดลง\nโจมตีเป้าหมายในระยะ 17 ทำให้เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 100% และมีโอกาสลดความเร็วเป้าหมาย		
7112	Strong Ice Missiles		อานุภาพและความเร็วของมัน มากยิ่งกว่าระเบิดอื่นๆ\nโจมตีเป้าหมายในระยะ 17 ทำให้เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 120% และมีโอกาสลดความเร็วเป้าหมาย		
7113	Aqua Bomb		อานุภาพสูงพอๆกับระเบิกทั้งหมดของศัตรู\nโจมตีเป้าหมายในระยะ 17 ทำให้เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 180% และมีโอกาสทำให้เป้าหมายล้มลง		
7114	Deepwater Cage		ทำให้ศัตรูถูกขังไว้ในคุกใต้ทะเล\nโจมตีเป้าหมายในระยะ 17 ทำให้เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 200% และมีโอกาสขังเป้าหมาย 7 วินาที		
7115	Vitality Rain		รักษาเพื่อนเป็นเวลาต่อเนื่อง\nฟื้นฟูพลังโจมตีเวทย์ 275% ให้กับเพื่อนที่อยู่ในบริเวณ 7.5 เมตร สูงสุด 12 คน		
7121	Ladies Shooting		รู้จักใช้ปืนอย่างถูกต้องเป็นพื้นฐานของเด็กหญิง\nยิ่งใส่เป้าหมายที่อยู่ในระยะ 17 เมตร ทำให้เกิดความเสียหายจากโจมตีกายภาพ, โจมตีเวทย์ และโจมตีหนัก 50%		
7122	Cool Shot		ใช้มือซ้ายยิงปืนมักจะแรงกว่า\nยิ่งใส่เป้าหมายที่อยู่ในระยะ 17 เมตร ทำให้เกิดความเสียหายจากโจมตีกายภาพ, โจมตีเวทย์ และโจมตีหนัก 50%		
7123	Queen Favor		พวกไพร่ทั้งหลาย มาลิ้มรสกับความเมตตาขององค์หญิงกันเถอะ!\nบินไปเตะเป้าหมายในระยะ 5 เมตร ทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 120% มีโอกาสทำให้เป้าหมายล้มลง และโจมตีไปยังจุดสำคัญในระยะใกล้ทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 175%		
7124	Wild Shot		ตัวฉันเป็นคนที่รักการยิงปืน การโจมตีศัตรูเป็นหมู่เนี่ย มันความชื่นชอบของฉันเลยล่ะ\nยิงกราดใส่เป้าหมายในระยะ 17 เมตร ในรัศมี 5 เมตร สามารถโจมตีได้สูงสุด 5 คน ทำให้เกิดความเสียหายจากโจมตีกายภาพ, โจมตีเวทย์ และโจมตีหนัก 100%		
7125	Peacefull		ผ่อนคลายหน่อยเป็นไง?\nดึงดูดผู้เล่น 1 คน ในระยะ 15 เมตร เป็นเวลา 7 วินาที ศัตรูที่ถูกดึงดูดจะไม่สามารถเคลื่อนที่และโจมตีได้		
7130	Megaton Punch		การโมตีครั้งนี้โดนไม่กี่คนหรอก\nโจมตีเป้าหมายเดี่ยวในระยะใกล้ทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 100%		
7131	Swing slam		จะต้องกำจัดขยะรอบตัวซักหน่อยล่ะ\nโจมตีศัตรูสูงสุด 5 คนในระยะใกล้ ทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 100% และปาระเบิดใส่เป้าหมายด้านหน้าแต่ละลูกสร้างความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150%		
7132	Self-medication		พวกทาส กลัวจนตัวสั่นเลยสินะ!\nใช้พลังรักษาตนเอง		
7133	Flying Hammer		ข้าจะจบความรำเค็ญของเจ้าเอง\nโจมตีศัตรู ทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150% และทำให้ศัตรูล้มลง		
7134	Solar Track		ข้าเริ่มรำคาญละนะ ตายซะให้หมด!\nโจมตีศัตรูด้วยลูกไฟฟ้า ทำให้เป้าหมายช็อต ทำให้เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 200%		
7135	Flying Hammer		ข้าจะจบความรำเค็ญของเจ้าเอง\nโจมตีศัตรูทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150% และมีโอกาสทำให้เป้าหมายล้มลง		
7136	Plasma Extinction		ข้าเริ่มรำคาญละนะ ตายซะให้หมด!\nทำให้เป้าหมายสูงสุด 8 คน ที่อยู่ในระยะ 7.5 เมตร เกิดความเสียหายจาะโจมตีเวทย์ และโจมตีหนัก 400% และมีโอกาสทำให้เป้าหมายล้มลง		
7140	Explosion Drill		โจมตีแม่นยำ\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 100%		
7141	Plasma Cannon		โจมตีระยะไกล\nทำให้เป้าหมายเดี่ยวในระยะ 15 เมตร เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 115%		
7142	Earthquakes Strike		โจมตีหนัก\nทำให้เป้าหมายสูงสุด 3 คนในระยะ 2.5 เมตร เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 120% และมีโอกาสทำให้เป้าหมายล้มลง		
7143	Energy Storms		ปล่อยพลังงานสายฟ้าโจมตีเป็นวงกว้าง\nทำให้เป้าหมายสูงสุด 5 คนในระยะ 5 เมตร เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 140%		
7144	Power Lifting		โจมตีให้กระเด็นไปกลางอากาศ\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 200%		
7150	Fighting Butt		เตรียมต่อสู้!\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจาะโจมตีกายภาพ และโจมตีหนัก 100%		
7151	Queue Shooting		เล็ง เหนี่ยวไก!\nทำให้เป้าหมายเดี่ยวที่อยู่ในระยะ 12 เมตรเกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150%		
7152	End of Assassinate		กำจัดศัตรู อย่าให้เหลือ!\nโจมตีให้ศัตรูล้มลง เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 200%		
7153	Bayonet Charge		พุ่งโจมตี!\nพุ่งโจมตีไปด้านหน้า 15 เมตร ทำให้ศัตรูทั้งหมดเกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150%		
7154	Tactical Grenades		เป้าหมายอยู่ด้านหน้า ยิงเลย!\nยิงใส่เป้าหมายในระยะ 10 เมตร อย่างแม่นยำ เมื่อระเบิดจะทำให้เป้าหมายสูงสุด 6 คนในรัศมี 3 เมตร เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 140% โจมตีเวทย์ และโจมตีหนัก 60%		
7160	Cleaver		เนื้อสดๆนี่มันน่ากินนะ!\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 100%		
7161	Broken Bone Strike		กระดูดนี่ช่างน่าเอาไปทำซุปเสียจริง\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150%		
7162	Flame Breath		ลองเนื้อที่ปิ้งแล้วก็ไม่เลวนินา\nทำให้เป้าหมายในระยะ 20 เมตรเกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 72% โจมตีเวทย์ และโจมตีหนัก 48%		
7163	Chaos Knief		เนื้อสดๆเลือดสดๆนี่มันช่างเข้ากันได้ดีเหลือเกิน\nโจมตีเป้าหมายเดี่ยวต่อเนื่อง ทำให้เกิดความเสียหายจากโจมตีกายภาพ, โจมตีเวทย์ และโจมตีหนัก 200%		
7164	Hell Knife		ใครหน้าไหนก็หนีจากน้ำมือข้าไปไม่ได้หรอก!\nกระโดนในระยะ 6 เมตร เมื่อลงสู่พื้นจะทำให้เป้าหมายสูงสุด 3 คนเกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 200%		
7170	Flame Sphere		ทั้งสว่างและร้อน!\nทำให้เป้าหมายในระยะ 12 เมตร เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 150%		
7171	Fireball Combo		ลูกไฟสว่างไสว ช่างน่าจับตามองเสียจริง!\nยิงลูกไฟ 5 ลูกใส่เป้าหมายในระยะ 15 เมตร แต่ละลูกทำความเสียหายจากเวทย์ และโจมตีหนัก 66%		
7172	Warm Cure		ไฟอุ่นๆ สามารถลดอาหารบาดเจ็บได้นะ\nเพิ่มโจมตีเวทย์ 150%		
7173	Meteor Rain		เวทย์มนต์ทำให้ข้ามองเห็นฝนดาวตกได้ตลอดเวลาเลยล่ะ!\nทำให้หินอุกาบาตล่วงลงพื้นที่เป้าหมาย หินอุกาบาตแต่ละลูกระเบิดทำให้เป้าหมายสูงสุด 6 คนในรัศมี 3.5 เมตร เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 150%		
7174	Solar Flares		ไฟจากฟ้านับไม่ถ้วน จงเผาไหม้!\nโจมตีต่อเนื่อง 7 ครั้ง ในแต่ละครั้งจะทำให้เป้าหมายในรัศมี 5.5 เมตร สูงสุด 5 คนเกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 100%		
7180	Blood Needle		ลูกดอกหนาๆแบบนี้ไม่ใช่เล่นเลยนะ\nทำให้เป้าหมายในระยะ 12 เมตร เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 100%		
7181	Fatal Maneuver		Tunaพยายามช่วยคนที่ล้มลง หวังว่าคราวหน้าจะได้ไม่ต้องมีคนช่วยอีก\nทำให้เป้าหมายที่ล้มอยู่ในระยะใกล้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 300%		
7182	Stimulant		ลองFormulaของTunaหน่อยไหมล่ะ\nฟื้นฟูพลังเวทย์ โจมตีกายภาพ 100% ให้เพื่อน 1 คน 100%		
7183	Weakness Needles		ลูกดอกเนี่ยพิษเยอะเหมือนกันนะ\nทำให้ความเร็วเคลื่อนที่, พลังโจมตี, อัตราแม่นยำ และหลบหลีกของเป้าหมายลดลง		
7184	Grenadier Virus		ระเบิดพิษนี่Tunaเคยลองกับหลายคนมาแล้ว\nระเบิดพิษทำให้เป้าหมายจำนวนสูงสุด 6 คนเกิดความเสียหายจากโจมตีกายภาพ โจมตีเวทย์ และโจมตีหนัก 60% และติดพิษต่อเนื่อง		
7190	Boat Chop		การหลบเจ้านี่ไม่ใช่เรื่องง่ายเลยนะ\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 100%		
7191	Aerial Chop		ยิง 1 ครั้ง ออก 3 ดอก!\nสังหาร 3 เป้าหมายในเวลาเดียวกัน ทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150%		
7192	Fireball		ลูกไฟที่เสกได้ตลอดเวลาเนี่ย เป็นพรสวรรค์เลยนะ!\nทำให้เป้าหมายในระยะ 12 เมตร เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 150%		
7193	Pursuit Hunting		ข้าชอบไล่ล่าทาสที่หลบหนี\nกระโดดพุ่งระยะ 9 เมตร ทำให้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 225% และมีโอกาสทำให้เป้าหมายล้มลง		
7194	Dragon Flame		ไฟมังกรของแท้\nพ่นไฟแผดเผาทำให้เป้าหมายบาดเจ็บสูงสุด 6 คน 3 ครั้ง ทำให้เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 50% และติดไฟ		
7200	Giant Hammer Blow		เขี้ยวที่แหลมคม อานุภาพอันสูงส่ง\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหาย100%ความเสียหายจากโจมตีกายภาพ และโจมตีหนัก		
7201	Boomerang		ลูกดอกข้านำทางได้นะ\nทำให้เป้าหมายในระยะ 10 เมตร เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150%		
7202	Fangs Thrusting		บุก!ทำลายทุกอย่างที่ขวางหน้า!\nพุ่งโจมตีในระยะ 12 เมตร ทำให้ศัตรทั้งหมดเกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 150%		
7203	Warriors Mark		ฮ่า!ข้าคนนี้คือหนึ่งในเป่าM Guล่ะ!\nเพิ่มโจมตีกายภาพและโจมตีเวทย์ให้เพื่อน 1 คนในเวลาที่จำกัด		
7204	Soul Energy Cannon		สัตว์ขี่คือร่างกายส่วนหนึ่ง\nลำแสงของสัตว์ขี่M Gu ทำให้เป้าหมายสูงสุด 8 คนในระยะ 16 เมตรเกิดความเสียหายจากโจมตีกายภาพ, โจมตีเวทย์ และโจมตีหนัก 100%		
7210	Giant Hammer Blow		เขี้ยวที่แหลมคม อานุภาพอันสูงส่ง\nทำให้เป้าหมายเดี่ยวในระยะใกล้เกิดความเสียหายจากโจมตีกายภาพ และโจมตีหนัก 100%		
7211	Lightning Ball		สายฟ้า จงกำจัดศัตรูข้าให้หมด!\nทำให้เป้าหมายในระยะ 10 เมตร เกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 150%		
7212	Energy Ceremony		พลังทั้งหลาย จงกลับมาอยู่ที่พวกข้า!\nฟื้นฟุค่ากำลัง 10 แต้ม ให้เพื่อน 1 คน		
7213	Asylum Mark		พลังทั้งหลาย จงปกป้องพวกของข้า!\nเพิ่มป้องกันกายภาพและป้องกันเวทย์ให้เพื่อน 1 คนในเวลาจำกัด		
7214	Cracking Storm		สายฟ้าและพายุ จงกำจัดศัตรูข้า!\nทำให้เป้าหมายสูงสุด 8 คน ในรัศมี 5.5 เมตรเกิดความเสียหายจากโจมตีเวทย์ และโจมตีหนัก 100% 5 ครั้ง		
7215	Strike		พุ่งชนทำให้เป้าหมายเกิดความเสียหายทางกายภาพ 100%		
7216	Strong Impact		พุ่งชนทำให้เป้าหมายเกิดความเสียหายทางกายภาพ 230%		
7217	Fireball		ปล่อยลูกไฟ ทำให้เป้าหมาย 3 คนที่อยู่ในบริเวณเกิดความเสียหายจากเวท 150%		
7218	Cureball		ฟื้นฟูพลังชีวิตให้เพื่อน 1 คนในทีมให้เท่ากับพลังโจมตีเวท 300%		
7219	Blew		ทำให้เป้าหมายที่อยู่ในบริเวณเกิดความเสียหายจากเวท 500%		
7220	Duck Bomb		กระโดดไปหาเป้าหมายโจมตีด้วยความแรงทำให้ล้มลง เกิดความเสียหายจากกายภาพ 250%		
7221	Snow Bomb		ยิงลูกบอลน้ำแข็งใส่ศัตรู \nทำให้ศัตรูเป้าหมายที่อยู่ในระยะ 17 เมตร เกิดความเสียหายจากโจมตีกายภาพและโจมตีเวทย์ 105%		
7222	Combo Snow Bomb		ยิงลูกบอลน้ำแข็งต่อเนื่อง 3 ลูก โจมตีเป้าหมายเดี่ยว \nทำให้ศัตรูเป้าหมายที่อยู่ในระยะ 17 เมตร เกิดความเสียหายจากโจมตีกายภาพและโจมตีเวทย์ ต่อเนื่อง 3 ครั้ง		
7223	Ice Critical		โจมตีด้วยความเชื่องช้า\n ทำให้ศัตรูเป้าหมายที่อยู่ในระยะ 17 เมตร เกิดความเสียหายจากโจมตีกายภาพและโจมตีเวทย์ 185% และลดพลังป้องกันเวทย์ของศัตรู		
