n_ID	s_TIP_SUBJECT	s_TIP_WORDS
426		ในการเดินเรือกลางทะเล ค่าขวัญจะตัดสินว่าจะให้เจอกับเหตุการณ์อะไร ค่าขวัญจะฟื้นฟู 1 แต้มทุก 2 นาที
427		สามารถเปิดภาพแนะนำเพื่อช่วยเหลือการอธิบาย
428	ตั้งค่ากลุ่มคีย์ลัด	สามารถคลิกเปลี่ยนอย่างรวดเร็จได้ในพื้นที่สงบสุข ในการต่อสู้ไม่สามารถเปลี่ยนได้
429		Ctrl+คลิกซ้าย สามารถแสดงอาวุธและรูปลักษณ์อาวุธได้ทันที\nShift+คลิกขวา สามารถใส่อาวุธรองได้ทันที\nลากไอเทมลงหัวข้อกระเป๋าสามารถเปลี่ยนพื้นที่วางได้ทันที\nShfit+คลิกซ้าย สามารถลากไอเทมให้ไปแสดงในแชนแนลได้ทันที
430	จัดเรียงใหม่	จัดเรียงของในกระเป๋าอัตโนมัติ (กระเป๋าเควสไม่สามารถดำเนินการได้)
431	ข้อมูลส่วนตัว	สามารถตั้งค่าให้ผู้รับมองเห็นหัวข้อได้
432	เปลี่ยนเนื้อหา	เมื่อคลิกสามารถเปลี่ยนตัวอย่างปัจจุบันได้
433	ปัจจุบันไม่สามารถเปลี่ยนได้!	ในการต่อสู้หรือไม่มีอาวุธไม่สามาระเปลี่ยนได้
434	ท่านคือโจรสลัด	ปัจจุบันท่านอยู่ค่ายทหารเรือ หากอยู่ในพื้นที่ไม่ใช่พื้นที่สงคราม คลิกขวาที่รูปค่ายสามารถเปิดหน้าต่างคำสั่งเปลี่ยนค่ายได้
435	ท่านคือทหารเรือ	ปัจจุบันท่านอยู่ในค่ายทหารเรือ หากอยู่ในพื้นที่ไม่ใช่พื้นที่สงคราม คลิกขวาที่รูปค่ายสามารถเปิดหน้าต่างคำสั่งเปลี่ยนค่ายได้
436		เก็บสะสมเนื้อหาทั้งหมด สามารถได้รับแต้มชั้นวางของ!
437		ท่านอยู่ในพื้นที่สงคราม สามารถโจมตีผู้เล่นที่ไม่ได้อยู่ในค่ายเดียวกันได้อย่างอิสระ (คนที่ไม่ใช่เพื่อน) จะได้รับค่าประสบการณ์และแต้มสกิล ฆ่าผู้เล่นได้ต่อเนื่องจะได้ไอเทมอื่นๆ เพิ่ม มอนสเตอร์ในพื้นที่สงครามจะมีค่าประสบการณ์และแต้มสกิลสูงกว่า
438		ท่านเข้าสู่สถานะบาดเจ็บ เลือกปล่อย Rescue สามารถทำให้ตายได้ทันที
439		แสดงพิกัดที่เมาส์เลื่อนอยู่
440		หล่นลงอย่างรวดเร็ว กรุณาดูความสูงให้ดี ระวังบาดเจ็บ! (คีย์ลัดเริ่มต้น: V)
441		สเตตัสตัวละคร(C)
442		กระเป๋า (I)
443		ภารกิจ (J)
444		Field Guide (N)
445		ร้านค้า (B)
446		ออกจากเกม
447		สกิล (K)
448		ชั้นเก็บรูปลักษณ์ภายนอก (T)
449		คำสั่งอีโมชั่น
450		เหตุการณ์ตัวละคร
451		ความสำเร็จ (Y)
452		รางวัลรายวัน
453		ตีบวก
454		โอนย้าย
455		หลอมผลึก
456		ฝังประดับ
457		หลอมซ้ำ
458		ย้อมสี
459		ชั้นเก็บลูกเรือ
460		ชั้นเก็บสัตว์เลี้ยง
461		ชั้นเก็บสัตว์ขี่
462		ผสม
463		เพื่อน (O)
464		กิลด์ (G)
465		ทีม (P)
466		อันดับชื่อ (U)
467		จดหมาย
468		บัญชีดำ
469		แผนที่ (M)
470		หน้าเกม
471		แจ้ง
472		ดูรูปการอธิบายและวีดีโอ
473		อธิบายเกม
474		ตั้งค่าระบบ
475		ตั้งค่าคีย์ลัด
476	ปิด/เปิดการแสดงผู้เล่นรอบๆ	เมื่อคลิกจะปิด/เปิดการแสดงผู้เล่นรอบๆทันที
477		เมื่อผู้เล่นติดตามมอนสเตอร์ กล้องจะติดตามตัวผู้เล่นไป
478	เหตุการณ์สำคัญ	เมื่อมีข้อมูลสำคัญ ค่าจำนวนจะแสดงขึ้น เมื่ออ่านแล้วค่าจำนวนจะหายไป
479	สังคม	เมื่อมีเหตุการณ์ใหม่ ค่าจำนวนจะแสดงขึ้น เมื่ออ่านแล้วค่าจำนวนจะหายไป
480	ตู้นิรภัย	เมื่อมีจดหมายหรือกล่องเข้ามาใหม่ ค่าจำนวนจะแสดงขึ้น เมื่ออ่านแล้วค่าจำนวนจะหายไป
481	ดันเจี้ยน [Rough Sea Fortress] 	
482		นำทางเป้าหมาย สามารถดูภารกิจรายวันที่ยังทำไม่สำเร็จและวิธีการรับไอเทมพิเศษ
483		นำทางเป้าหมาย
484		ตั้งค่าการเลื่อนเมาส์คลิกพื้นที่ ตัวละครเคลื่อนที่หรือไม่
485		เมื่อผู้เล่นทำการกดติดตามมอนสเตอร์ จะขึ้นขี่สัตว์ขี่โดยอัตโนมัติ
486		ล็อก/ปลดล็อคช่องสกิลลัด เมื่อล็อคไม่สามารถใช้คีย์ลัดได้
487		เวลา Time Crack เหลืออยู่ 1 นาที
488		แสดงเครื่องสวมใส่ในอนาคต
489		เครื่องสวมใส่เริ่มต้น
490	แชนแนลอาชีพ	สามารถใส่/c+Spacebarในช่องแชทเพื่อเปลี่ยนแชนแนลได้
491	พื้นที่ห้ามเหาะ	พื้นที่นี้ไม่สามารถเหาะได้
492	ช่วยเหลือการค้าง	เมื่อเกมค้าง สามารถลองคลิกปุ่มนี้เพื่อแก้อาการค้างได้ (เลเวลรีเซ็ท 1 นาที)
493	เปลี่ยนแชนแนล	ปัจจุบันฟังก์ชั่นนี้อยู่ในการปรับปรุง กรุณาเปิดเกมใหม่และเปลี่ยนแชนแนล เพื่อป้องกันการผิดพลาดของข้อมูล
494	ยกเลิกการลงทะเบียน Arena 	ทีมของท่านลงทะเบียน Arena เรียบร้อยแล้ว คลิกที่ปุ่มเพื่อยกเลิกการลงทะเบียน
495		เมื่อผู้เล่นกำจัดได้ 10 คนขึ้นไป และเป็นฝ่ายชนะจะได้รับMVP
496	โจมตีหนักกายภาพ: 	ไม่มีผลต่อค่าป้องกันกายภาพ
497	โจมตีหนักเวทย์: 	ไม่มีผลต่อค่าป้องกันเวทย์
498	กายภาพทะลุเกราะ: 	เมื่อโจมตีสามารถยกเลิกการป้องกันกายภาพของศัตรูได้
499	เวทย์ทะลุเกราะ: 	เมื่อโมตีจะลดป้องกันเวทย์ของศัตรู
500	คริติคอล: 	โจมตีโดนเป้าหมาย มีโอกาสโจมตีคริตอคอล
501	อัตราคริติคอล: 	เมื่อเกิดคริติคอล จะเพิ่มพลังโจมตี
502	มองข้ามการป้องกัน: 	ความเสียหายจากการโจมตีจะไม่รับผลจากการป้องกันของเป้าหมาย
503	อัตราสังหาร: 	ความเสียหายจากการโจมตีจะไม่รับผลจากการลดบาดเจ็บและรับมือ
504	แม่นยำ: 	เพิ่มอัตราโจมตีโดน
505	ลดความเสียหายกายภาพ: 	สามารถลดความแรงโจมตีกายภาพและโจมตีหนักกายภาพ
506	ลดความเสียหายเวทย์: 	สามารถลดความแรงโจมตีเวทย์และโจมตีหนักเวทย์
507	รับมือ: 	อัตราสำเร็จในการใช้โล่ป้องกัน
508	ลดความเสียหายการรับมือ: 	เมื่อรับมือสำเร็จ สามารถลดแรงโจมตีได้
509	อัตราต้านคริติคอล: 	เมื่อโดนโจมตี สามารถลดการเกิดคริติคอลและอัตรามองข้ามการป้องกัน
510	ลดความเสียหายคริติคอล: 	เมื่อโดนคริติคอล สามารถลดความแรงของคริติคอลได้
511	หลบหลีก: 	เมื่อโดนโจมตี สามารถลดอัตราแม่นยำได้
512	ฝ่ายตนเองสังหาร: ฝ่ายศัตรูสังหาร	
513	หน้าแรก	
514	หน้าที่แล้ว	
515	หน้าต่อไป	
516	หน้าสุดท้าย	
517	เวลาเช่าที่เหลือ	
518	ปุ่มแผงลอย	เมื่อเลเวลผู้เล่นถึง 30 สามารถตั้งแผงลอยได้ที่ Port Royal 
519	จองแผงลอย	
520	จองแผงลอย	
521	จองแผงลอย	
522	จองแผงลอย	
523	จองแผงลอย	
524	จองแผงลอย	
525	จองแผงลอย	
526	จองแผงลอย	
527	จองแผงลอย	
528		เปิดและปิดการปะทะเลนส์ ในบางแผนที่อาจเกิดเอฟเฟคปะทะเลนส์ขึ้น
529		กดที่คีย์ทิศทางสองครั้งภายในเวลา สามารถหลบหลีกได้
530		
531		
532		
533		
534		
535		
536		เข้าหน้าผลตอบรับของเว็ป
537	เปลี่ยนเครื่องสวมใส่ลูกเรือ	
538	เปลี่ยนเครื่องสวมใส่เรือ	
539	สามารถดูคุณภาพลูกเรือและเปลี่ยนเครื่องสวมใส่ลูกเรือได้ที่นี่	ดูความสามารถของเรือและเปลี่ยนเครื่องสวมใส่เรือ
540	รีเซ็ทแต้มตู้เก็บของ	
541	จำนวนสนาม	
542	ประกาศ	
543	ลบข้อมูล	
544		ปัจจุบันกิลด์อยู่ค่ายโจรสลัด
545		ปัจจุบันกิลด์อยู่ค่ายทหารเรือ
546		เลือกอุปกรณ์รูปลักษณ์ในกระเป๋าอัตโนมัติ ใส่ได้สูงสุด 6 ชิ้น
547		เมื่อเปลี่ยนโอนเป็นไอเทมรวมแล้ว อุปกรณ์รูปลักษณ์เดิมจะหายไป
548		สามารถเลือกอุปกรณ์รูปลักษณ์ดังนี้ เพื่อนำมาเป็นอุปกรณ์ในการรวม
549		ด้านล่างเป็นผลการสุ่มรูปลักษณ์ที่อาจได้รับ
550	字首	裝備的屬性能力
551	字尾	裝備的特殊能力
552	洗煉	依據字首字尾消耗對應的道具，沒有字首字尾時不用消耗道具
553	保存	保存後才會變更當前裝備的能力
554	自動戰鬥	在一般漫遊景，開關自動戰鬥功能
555	洗煉捲放置區	請放入對應裝備能力等級的洗煉捲(LV.0的時候不用洗煉捲)
556	裝備放置區	請放入裝備，並選取要洗字首的屬性能力或字尾的特殊能力
557	เรียกด่วน	
558		注意！超過期限完成目標仍然可以領取獎勵，但會變成較普通的獎勵品。
559	七日目標	創新角色後，七天內每天都會有不同的任務目標，完成條件後即可領取對應的獎勵。
560		當前裝備能力的階級(需放入對應等級的洗煉捲才可洗煉)
561		預覽洗煉後裝備能力的階級
