n_ID	s_CONDITOIN	s_ACTION
263	BUFF_I(4982,0,0);RATE(10)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nBUFF_I(4982,0,0);DISTANCE_ENEMY>(700);RATE(30)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(25)\nBUFF_I(4988,0,0);DISTANCE_ENEMY<(500);HP_I<(0.4);RATE(25)\nHP_I<(0.3);RATE(20)\nHP_I<(0.5);RATE(15)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(5)\nCHASE(4)\nCHASE(1)
264	BUFF_I(4982,0,0);RATE(10)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nBUFF_I(4982,0,0);DISTANCE_ENEMY>(700);RATE(30)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(15)\nBUFF_I(4988,0,0);DISTANCE_ENEMY<(500);HP_I<(0.4);RATE(15)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(1)
265	BUFF_I(4982,0,0);RATE(10)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nBUFF_I(4982,0,0);DISTANCE_ENEMY>(700);RATE(30)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(25)\nBUFF_I(4988,0,0);DISTANCE_ENEMY<(500);HP_I<(0.4);RATE(25)\nHP_I<(0.3);RATE(20)\nHP_I<(0.5);RATE(15)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(5)\nCHASE(4)\nCHASE(1)
266	BUFF_I(4982,0,0);RATE(10)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(500);RATE(15)\nBUFF_I(4987,0,0);HP_I<(0.5);RATE(10)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
267	BUFF_I(4982,0,0);RATE(10)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nBUFF_I(4983,0,0);DISTANCE_ENEMY>(500);HP_I<(0.5);RATE(50)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(500);RATE(15)\nBUFF_I(4987,0,0);RATE(10)\nBUFF_I(4987,0,0);DISTANCE_ENEMY<(700);RATE(20)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(4)\nCHASE(1)
270	HP_I>(0.7);RATE(30)\nBUFF_I(4981,0,0);HP_I<(0.5);RATE(20)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(50)\nGO(0)	CHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)
271	HP_I>(0.7);RATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(4983,0,0);HP_I<(0.6);RATE(20)\nBUFF_I(4981,0,0);HP_I<(0.6);RATE(20)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)
272	HP_I>(0.7);RATE(30)\nBUFF_I(4984,0,0);HP_I<(0.6);RATE(15)\nBUFF_I(4984,0,0);HP_I<(0.6);RATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(20)\nBUFF_I(4981,0,0);HP_I<(0.8);RATE(20)\nGO(0)	CHASE(1)\nCHASE(5)\nCHASE(6)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)
273	HP_I>(0.7);RATE(30)\nBUFF_I(4984,0,0);HP_I>(0.5);HP_I<(0.7);RATE(30)\nBUFF_I(4984,0,0);HP_I<(0.5);RATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(20)\nBUFF_I(4981,0,0);HP_I<(0.6);RATE(20)\nHP_I<(0.5);RATE(15)\nGO(0)	CHASE(1)\nCHASE(5)\nCHASE(6)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(3)\nCHASE(1)
274	HP_I>(0.7);RATE(30)\nBUFF_I(4984,0,0);BUFF_I(4981,0,0);HP_I<(0.6);RATE(20)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(20)\nBUFF_I(4981,0,0);HP_I<(0.6);RATE(20)\nHP_I<(0.5);RATE(15)\nGO(0)	CHASE(1)\nCHASE(5)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(3)\nCHASE(1)
275	HP_I>(0.7);RATE(30)\nBUFF_I(4981,0,0);HP_I<(0.7);RATE(30)\nHP_I<(0.5);RATE(10)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(20)\nBUFF_I(4981,0,0);HP_I<(0.6);RATE(20)\nHP_I<(0.5);RATE(15)\nGO(0)	CHASE(1)\nCHASE(5)\nCHASE(5)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(3)\nCHASE(1)
280	HP_I<(0.5);BUFF_I(4982,0,0);RATE(15)\nDISTANCE_ENEMY<(500);RATE(40)\nGO(0)	CHASE(3)\nCHASE(1)\nCHASE(2)
281	HP_I<(0.9);BUFF_I(4982,0,0);RATE(25)\nDISTANCE_ENEMY<(500);RATE(40)\nGO(0)	CHASE(3)\nCHASE(1)\nCHASE(2)
282	DISTANCE_ENEMY>(700);BUFF_I(4984,0,0);RATE(25)\nHP_I<(0.9);BUFF_I(4982,0,0);RATE(25)\nDISTANCE_ENEMY<(500);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)
284	DISTANCE_ENEMY>(700)\nHP_I<(0.9);BUFF_I(4982,0,0);RATE(25)\nDISTANCE_ENEMY<(500);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)
285	DISTANCE_ENEMY>(300);RATE(70)\nDISTANCE_ENEMY>(300)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(1)
286	DISTANCE_ENEMY>(300)\nGO(0)	CHASE(2)\nCHASE(1)
290	KD_ENEMY(1);DISTANCE_ENEMY<(200);RATE(80)\nRATE(60)\nBUFF_I(4983,0,0);HP_ALLY<(0.5);RATE(10)\nBUFF_I(4982,0,0);HP_I<(0.3);RATE(20)\nBUFF_I(4987,0,0);HP_I<(0.3);RATE(20)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(5)\nCHASE(4)\nCHASE(1)
291	KD_ENEMY(1);DISTANCE_ENEMY<(200);RATE(80)\nRATE(40)\nBUFF_I(4983,0,0);HP_ALLY<(0.7);RATE(30)\nBUFF_I(4982,0,0);HP_I<(0.5);RATE(25)\nBUFF_I(4987,0,0);HP_I<(0.5);RATE(25)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(5)\nCHASE(4)\nCHASE(1)
292	KD_ENEMY(1);DISTANCE_ENEMY<(200);RATE(80)\nRATE(30)\nBUFF_I(4983,0,0);HP_ALLY<(0.7);RATE(50)\nHP_I>(0.7);RATE(20)\nBUFF_I(4982,0,0);HP_I<(0.9);RATE(25)\nHP_I>(0.5);RATE(20)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(40)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)\nCHASE(5)\nCHASE(1)\nCHASE(4)\nCHASE(1)
293	KD_ENEMY(1);DISTANCE_ENEMY<(200);RATE(80)\nRATE(20)\nBUFF_I(4983,0,0);HP_ALLY<(0.7);RATE(50)\nHP_I>(0.8);RATE(20)\nBUFF_I(4982,0,0);HP_I<(0.9);RATE(50)\nHP_I>(0.6);RATE(20)\nHP_I<(0.5);RATE(30)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(30)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)\nCHASE(5)\nCHASE(1)\nCHASE(5)\nCHASE(4)\nCHASE(1)
294	KD_ENEMY(1);DISTANCE_ENEMY<(200);RATE(80)\nRATE(20)\nBUFF_I(4983,0,0);HP_ALLY<(0.7);RATE(50)\nHP_I>(0.8);RATE(20)\nBUFF_I(4982,0,0);HP_I<(0.9);RATE(50)\nHP_I>(0.5);RATE(20)\nHP_I<(0.5);RATE(15)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(30)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)\nCHASE(5)\nCHASE(1)\nCHASE(5)\nCHASE(4)\nCHASE(1)
295	DISTANCE_ENEMY>(1200)\nKD_ENEMY(1);DISTANCE_ENEMY<(200);RATE(80)\nRATE(30)\nBUFF_I(4983,0,0);HP_ALLY<(0.7);RATE(50)\nHP_I>(0.7);RATE(20)\nBUFF_I(4982,0,0);HP_I<(0.9);RATE(25)\nHP_I>(0.5);RATE(20)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(40)\nGO(0)	CHASE(6)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)\nCHASE(5)\nCHASE(1)\nCHASE(4)\nCHASE(1)
300	HP_I<(0.3);RATE(3)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(60)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(650);RATE(20)\nRATE(30)\nGO(0)	CHASE(5)\nCHASE(2)\nCHASE(3)\nCHASE(2)\nCHASE(1)
301	HP_I<(0.3);RATE(15)\nBUFF_I(4983,0,0);HP_I<(0.4);RATE(10)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(750);RATE(35)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(75)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
302	HP_I<(0.3);RATE(20)\nBUFF_I(4983,0,0);HP_I<(0.7);RATE(35)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(750);RATE(40)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(55)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
303	BUFF_I(4983,0,0);HP_I<(0.8);RATE(40)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(750);RATE(40)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(55)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
304	BUFF_I(4988,0,0);HP_I<(0.6);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(25)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(750);RATE(40)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(35)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
305	BUFF_I(4988,0,0);HP_I<(0.6);RATE(25)\nHP_I<(0.3);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(25)\nHP_I<(0.4);RATE(25)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(750);RATE(40)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(35)\nGO(0)	CHASE(5)\nCHASE(5)\nCHASE(4)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
310	RATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(30)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)
311	BUFF_I(4983,0,0);HP_I<(0.5);RATE(7)\nBUFF_I(4981,0,0);RATE(25)\nRATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(60)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
312	BUFF_I(4983,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4981,0,0);RATE(25)\nRATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(60)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
313	BUFF_I(4988,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4983,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4981,0,0);RATE(25)\nRATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(60)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
314	HP_I<(0.3);RATE(25)\nHP_I<(0.4);RATE(20)\nBUFF_I(4988,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4983,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4981,0,0);RATE(25)\nRATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(60)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
315	BUFF_I(4983,0,0);HP_I<(0.9);RATE(30)\nBUFF_I(4981,0,0);RATE(25)\nRATE(30)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(60)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
320	DISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(4982,0,0);HP_I<(0.5);DISTANCE_ENEMY<(600);RATE(10)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(1)
321	DISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(4982,0,0);HP_I>(0.5);DISTANCE_ENEMY<(600);RATE(15)\nBUFF_I(4982,0,0);HP_I<(0.5);DISTANCE_ENEMY<(600);RATE(15)\nBUFF_I(4981,0,0);HP_I<(0.8);RATE(10)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(1)
322	BUFF_I(4984,0,0);HP_ALLY<(0.7);RATE(40)\nBUFF_I(4981,0,0);HP_I<(0.8);RATE(15)\nDISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(4982,0,0);HP_I>(0.5);DISTANCE_ENEMY<(600);RATE(15)\nBUFF_I(4982,0,0);HP_I<(0.5);DISTANCE_ENEMY<(600);RATE(15)\nGO(0)	CHASE(6)\nCHASE(5)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
323	BUFF_I(4984,0,0);HP_ALLY<(0.5);RATE(20)\nBUFF_I(4981,0,0);HP_I<(0.8);RATE(25)\nDISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(4982,0,0);HP_I>(0.5);DISTANCE_ENEMY<(600);RATE(15)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(600);RATE(25)\nGO(0)	CHASE(6)\nCHASE(5)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
324	BUFF_I(4985,0,0);RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)
330	BUFF_I(4982,0,0);HP_I<(0.5);RATE(5)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(450);RATE(60)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
331	BUFF_I(4982,0,0);HP_I<(0.5);RATE(25)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(450);RATE(60)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
332	BUFF_I(4983,0,0);BUFF_I(4982,0,1);RATE(40)\nBUFF_I(4982,0,0);HP_I<(0.8);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(25)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(450);RATE(60)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
333	BUFF_I(4983,0,0);BUFF_I(4982,0,1);RATE(40)\nBUFF_I(4982,0,0);HP_I<(0.8);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(25)\nBUFF_I(4980,0,0);RATE(30)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
334	BUFF_I(4983,0,0);BUFF_I(4982,0,1);RATE(40)\nBUFF_I(4982,0,0);HP_I<(0.9);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.6);RATE(25)\nHP_I<(0.45);RATE(15)\nHP_I<(0.3);RATE(15)\nBUFF_I(4980,0,0);RATE(30)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(4)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
335	BUFF_I(4983,0,0);BUFF_I(4982,0,1);RATE(40)\nBUFF_I(4982,0,0);HP_I<(0.9);RATE(25)\nBUFF_I(4983,0,0);HP_I<(0.6);RATE(25)\nHP_I<(0.45);RATE(15)\nHP_I<(0.3);RATE(15)\nBUFF_I(4980,0,0);RATE(30)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(4)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
340	HP_I<(0.6);BUFF_I(4982,0,0);DISTANCE_ENEMY<(450);RATE(15)\nRATE(33)\nDISTANCE_ENEMY>(600);RATE(50)\nDISTANCE_ENEMY<(450);RATE(50)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(2)\nCHASE(1)\nCHASE(2)
341	HP_I<(0.5);BUFF_I(4987,0,0);DISTANCE_ENEMY<(450);RATE(20)\nHP_I<(0.85);BUFF_I(4982,0,0);DISTANCE_ENEMY<(450);RATE(20)\nRATE(33)\nDISTANCE_ENEMY>(600);RATE(50)\nDISTANCE_ENEMY<(450);RATE(50)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(2)\nCHASE(1)\nCHASE(2)
342	HP_I<(0.7);BUFF_I(4987,0,0);DISTANCE_ENEMY<(450);RATE(15)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(450);RATE(20)\nRATE(33)\nHP_I<(0.7);BUFF_I(4983,0,0);RATE(15)\nDISTANCE_ENEMY>(600);RATE(50)\nDISTANCE_ENEMY<(450);RATE(50)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(5)\nCHASE(2)\nCHASE(1)\nCHASE(2)
350	BUFF_I(4981,0,0);BUFF_I(4983,0,0);HP_I<(0.5);RATE(10)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(400);RATE(80)\nDISTANCE_ENEMY<(275);RATE(80)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
351	BUFF_I(4986,0,0);DISTANCE_ENEMY<(800);HP_I<(0.7);RATE(10)\nBUFF_I(4981,0,0);BUFF_I(4983,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(400);RATE(80)\nDISTANCE_ENEMY<(275);RATE(80)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
352	BUFF_I(4986,0,0);DISTANCE_ENEMY<(800);RATE(20)\nBUFF_I(4981,0,0);BUFF_I(4983,0,0);HP_I<(0.7);RATE(30)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(400);RATE(80)\nDISTANCE_ENEMY<(275);RATE(80)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
353	BUFF_I(4986,0,0);RATE(20)\nHP_I<(0.3);RATE(20)\nBUFF_I(4983,0,0);HP_I<(0.7);RATE(30)\nDISTANCE_ENEMY<(800);RATE(80)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(700);RATE(80)\nBUFF_I(4980,0,0);HP_I<(0.5);RATE(20)\nGO(0)	CHASE(4)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(2)\nCHASE(1)
355	DOONCE(0)\nBUFF_I(4986,0,0);DISTANCE_ENEMY<(800);HP_I<(0.7);RATE(10)\nBUFF_I(4981,0,0);BUFF_I(4983,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(400);RATE(80);HP_I<(0.95)\nDISTANCE_ENEMY<(275);RATE(80)\nGO(0)	CHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
360	RATE(30)\nBUFF_I(4980,0,0);RATE(20)\nBUFF_I(4988,0,0);HP_I<(0.5);RATE(15)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)
361	BUFF_I(4988,0,0);HP_I<(0.8);RATE(20)\nBUFF_I(4980,0,0);RATE(25)\nBUFF_I(4984,0,0);HP_I<(0.6);RATE(10)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(5)\nCHASE(1)
362	BUFF_I(4988,0,0);RATE(20)\nBUFF_I(4980,0,0);RATE(40)\nBUFF_I(4984,0,0);HP_I<(0.6);RATE(25)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(5)\nCHASE(1)
363	BUFF_I(4984,0,0);HP_I<(0.5)\nBUFF_I(4988,0,0);RATE(20)\nBUFF_I(4980,0,0);RATE(40)\nRATE(30)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(40)\nGO(0)	CHASE(5)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(1)
364	BUFF_I(4984,0,0);HP_I<(0.5)\nBUFF_I(4988,0,0);RATE(20)\nHP_I<(0.5);RATE(20)\nBUFF_I(4980,0,0);RATE(40)\nHP_I<(0.5);RATE(10)\nHP_I>(0.5);RATE(30)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(40)\nHP_I<(0.3);RATE(40)\nGO(0)	CHASE(5)\nCHASE(3)\nCHASE(3)\nCHASE(2)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(4)\nCHASE(1)
370	RATE(60)\nDISTANCE_ENEMY<(600);BUFF_I(4982,0,0);HP_I<(0.8);RATE(33)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)
371	BUFF_I(4983,0,0);HP_I<(0.5);RATE(15)\nBUFF_I(4984,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4984,0,0);HP_I<(0.7);RATE(15)\nRATE(60)\nDISTANCE_ENEMY<(600);BUFF_I(4982,0,0);HP_I<(0.8);RATE(33)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
380	DISTANCE_ENEMY>(500);BUFF_I(4981,0,0);RATE(40)\nDISTANCE_ENEMY>(500);RATE(15)\nBUFF_I(4980,0,0);RATE(30)\nGO(0)	CHASE(2)\nCHASE(2)\nCHASE(3)\nCHASE(1)
381	BUFF_I(4987,0,0);RATE(20)\nDISTANCE_ENEMY>(500);BUFF_I(4981,0,0);RATE(40)\nDISTANCE_ENEMY>(500);RATE(15)\nBUFF_I(4980,0,0);RATE(30)\nGO(0)	CHASE(4)\nCHASE(2)\nCHASE(2)\nCHASE(3)\nCHASE(1)
382	BUFF_I(4982,0,0);HP_I<(0.5);RATE(15)\nBUFF_I(4987,0,0);RATE(20)\nDISTANCE_ENEMY>(500);BUFF_I(4981,0,0);RATE(40)\nDISTANCE_ENEMY>(500);RATE(15)\nBUFF_I(4980,0,0);RATE(30)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(2)\nCHASE(2)\nCHASE(3)\nCHASE(1)
390	DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(70)\nHP_I>(0.6);RATE(25)\nDISTANCE_ENEMY<(700);HP_I<(0.7);BUFF_I(4982,0,0);RATE(25)\nBUFF_I(4980,0,0);RATE(20)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)
391	HP_I<(0.4);RATE(15)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(70)\nHP_I>(0.6);RATE(25)\nDISTANCE_ENEMY<(700);HP_I<(0.7);BUFF_I(4982,0,0);RATE(25)\nBUFF_I(4980,0,0);RATE(20)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)
392	HP_I<(0.8);BUFF_I(4981,0,0);RATE(25)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(70)\nHP_I>(0.6);RATE(25)\nDISTANCE_ENEMY<(700);HP_I<(0.7);BUFF_I(4982,0,0);RATE(25)\nBUFF_I(4980,0,0);RATE(20)\nGO(0)	CHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)
393	HP_I<(0.5);RATE(20);BUFF_I(4981,0,0)\nHP_I<(0.7);RATE(50);BUFF_I(4982,0,0)\nHP_I<(0.9);RATE(50);BUFF_I(4982,0,0)\nHP_I<(0.7);BUFF_I(4980,0,0);RATE(20)\nBUFF_I(4980,0,0);RATE(20)\nHP_I<(0.5);BUFF_I(4985,0,0);RATE(20)\nBUFF_I(4985,0,0);RATE(20)\nGO(0)	CHASE(6)\nCHASE(4)\nCHASE(5)\nCHASE(2)\nCHASE(2)\nCHASE(3)\nCHASE(3)\nCHASE(1)
394	HP_I<(0.5);BUFF_I(4989,0,0)\nHP_I<(0.5);RATE(20);BUFF_I(4981,0,0)\nHP_I<(0.7);RATE(50);BUFF_I(4982,0,0)\nHP_I<(0.9);RATE(50);BUFF_I(4982,0,0)\nHP_I<(0.7);BUFF_I(4980,0,0);RATE(20)\nBUFF_I(4980,0,0);RATE(20)\nHP_I<(0.5);BUFF_I(4985,0,0);RATE(20)\nBUFF_I(4985,0,0);RATE(20)\nGO(0)	CHASE(7)\nCHASE(6)\nCHASE(4)\nCHASE(5)\nCHASE(2)\nCHASE(2)\nCHASE(3)\nCHASE(3)\nCHASE(1)
400	HP_I<(0.7);RATE(50);BUFF_I(4982,0,0)\nHP_I<(0.3);RATE(80);BUFF_I(4987,0,0)\nHP_I<(0.6);HP_I>(0.3);RATE(80);BUFF_I(4987,0,0)\nHP_I<(0.9);HP_I>(0.6);RATE(80);BUFF_I(4987,0,0)\nHP_I<(0.5);RATE(30);BUFF_I(4986,0,0)\nDISTANCE_ENEMY<(750);RATE(30)\nDISTANCE_ENEMY<(400);RATE(30)\nDISTANCE_ENEMY>(400);RATE(30)\nHP_I<(0.7);DISTANCE_ENEMY<(200);RATE(40);BUFF_I(4982,0,0)\nHP_I<(0.7);RATE(10)\nHP_I<(0.7);RATE(10)\nDISTANCE_ENEMY>(400)\nGO(0)	CHASE(5)\nCHASE(8)\nCHASE(7)\nCHASE(6)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(5)\nCHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(1)
