n_ID	s_UI_WORDS
768	คลิกขวาที่ไอเทมสามารถนำไอเทมดังกล่าวลงจากชั้น
769	คลิกขวาที่ข้อมูลคุกกี้สามารถทำการซื้อหรือยกเลิกการไหว้วานได้
770	ต้องการขอพรก่อนออกจากระบบหรือไม่?
771	ท่าน
772	ตัวละคร
773	การต่อสู้
774	ดันเจี้ยน
775	รวบรวม
776	อยู่ในระบบ
777	ออกจากระบบ
778	สังคม
779	เศรษฐี
780	ผู้กล้า
781	กิลด์
782	อันดับ
783	ชื่อตัวละคร
784	ใส่มูลค่าเงินที่ต้องการเก็บ:
785	ใส่มูลค่าเงินที่ต้องการนำออก:
786	ตั้งค่าการป้องกัน
787	สกิลเฉพาะ
788	ขนาดรูปร่าง
789	กำลังหลอมซ้ำ
790	ยีนเทพสมุทร
791	จำนวนชุดตู้เก็บของ
792	ค่าความสนิทเฉลี่ย
793	ยืนยันการใช้ $V1 เพื่อทดสอบดวงหรือไม่?
794	ยินดีด้วย $V1 ได้รับ $V2 !
795	ยินดีด้วย $V1 ได้รับความสำเร็จ 「$V2」 !
796	เริ่มกิจกรรม
797	สิ้นสุดกิจกรรม
798	ชนะ
799	แพ้
800	จำนวน Gold
801	เลเวลตีบวก
802	ชื่อกิลด์
803	ผลงานกิลด์
804	 $V1  ครั้ง
805	รายละเอียด
806	โจมตี
807	ป้องกัน
808	ยังไม่รับไอเทม!
809	รับรางวัล
810	(ถอดออก)
811	ยินดีด้วย $V1 ได้รับ $V2 !
812	บันทึกการตั้งค่าหรือไม่? ยังกดยืนยันข้อมูลจะทำการแทนที่การตั้งค่าเดิม
813	ยืนยันการลบตัวละครนี้หรือไม่?
814	ยืนยันการยกเลิก? หลังยกเลิกการลบตัวละครจะต้องรอเวลารีเซ็ต!
815	ศักยภาพ
816	สกิล
817	วินาที
818	วัน
819	เคลื่อนย้ายด่วน
820	เดินหน้า
821	ข้อมูลภารกิจ
822	ภารกิจปัจจุบัน
823	ภารกิจที่รับได้
824	ลบ
825	แบ่งปัน
826	รับรางวัล
827	สำเร็จภารกิจ
828	เป้าหมายภารกิจ
829	สังหาร:
830	ได้รับ:
831	เนื้อหา
832	ที่มาภารกิจ:
833	รายงานภารกิจ:
834	รางวัล
835	รางวัลแบบเลือก
836	ภารกิจหลัก
837	ภารกิจย่อย
838	ภารกิจดันเจี้ยน
839	ภารกิจขุมทรัพย์
840	ภารกิจทำซ้ำ
841	ภารกิจประจำวัน
842	ภารกิจขอพร
843	ภารกิจกิลด์
844	ภารกิจเพื่อนร่วมเดินทาง
845	ภารกิจเดินเรือ
846	ยืนยันที่จะจัดกิจกรรม [การท้าดวลเกียรติยศ] หรือไม่?\n(หมายเหตุ: หลังจากคลิกยืนยันกิจกรรมจะเริ่มต้นขึ้นทันที)
847	ยืนยันการแทนที่?
848	รีเซ็ตสถานะ
849	เตี้ย สูง
850	ผอม อ้วน
851	เรียกคืน
852	ตามรอย
853	 (สำเร็จ)
854	 (ล้มเหลว)
855	รายละเอียดสกิล
856	อัพสเตตัส
857	กรุณาเลือก 1 ฉาก
858	ค่า EXP :
859	คะแนนสกิล:
860	คลังอุปกรณ์
861	ฝังประดับผลึก
862	ค่าความดี: 
863	แต้มสถานะ:
864	ใช้ $V1 แต้ม หลังยืนยันจะทำการหักตามค่าดังกล่าวทันที!
865	Token
866	คุกกี้
867	ลงแต้มด้วยตนเอง
868	แออัด
869	Gladiator 
870	Knight 
871	Sharpshooter
872	สวัสดี ข้าเป็นผู้เล่นหญิงที่กำลังตามหาเพื่อนร่วมทำภารกิจสหายดวงวิญญาณ ภารกิจนี้ข้าจำเป็นต้องมีเพื่อนอีกคนมาช่วยอีกแรง ไม่รู้ว่าเจ้าจะยินดีมาเป็นเพื่อนกับข้าไหม เราจะได้ไปร่วมทำภารกิจด้วยกัน?
873	จดหมายขวดแก้วที่กำลังหาเพื่อน
874	จดหมายขวดแก้วของ $V1
875	※หลังจากรับจะกลายเป็นสหายดวงวิญญาณของอีกฝ่าย!
876	พยักหน้ารับ
877	เริ่มการพูดคุย
878	รู้จักมักจี่
879	เริ่มถามสารทุกข์
880	สัมพันธ์สนิทสนม
881	มิตรภาพถือกำเนิด
882	แบ่งปันน้ำใจ
883	ช่วยเหลือเกื้อกูล
884	ร่วมทุกข์ร่วมสุข
885	ตายแทนกันได้
886	กรุณาเลือกรูปแบบการจับคู่
887	จดหมายขวดแก้วที่ต้องการตามหาเพื่อน
888	 $V1  เชิญให้ท่านเป็นสหายดวงวิญญาณของเธอ ขณะเดียวกันก็ต้องช่วยให้เธอทำภารกิจให้สำเร็จ ท่านตอบรับหรือไม่?
889	Romeo จะช่วยหาพวกพ้องให้กับท่านหนึ่งคน ซึ่งจะเป็นสหายดวงวิญญาณของท่าน ร่วมทำภารกิจด้วยกัน ท่านจะตอบรับหรือไม่?
890	จดหมายขวดแก้วของท่าน $V1 ได้รับไปแล้ว เขาต้องการเป็นสหายดวงวิญญาณกับท่าน ช่วยท่านทำภารกิจท่านจะตอบรับหรือไม่?
891	Romeo หาตัวเลือกที่จะมาช่วยท่านได้แล้ว ท่านตอบรับที่จะเป็นเพื่อนร่วมเดินทางกับ $V1 หรือไม่?
892	※สามารถทำการแก้ไขรายละเอียดด้วยตนเอง หากจดหมายไม่ถูกเก็บหรือตอบกลับภายใน 24 ชม. คุณจะสามารถทำการจับคู่ได้ใหม่
893	Field Guide 
894	สารบัญตัวละคร
895	สารบัญดินแดน
896	สารบัญขุมทรัพย์
897	แผนที่ขุมทรัพย์
898	รางวัลพิเศษ
899	กิจกรรมสิ้นสุด
900	กิจกรรมเริ่ม
901	พื้นที่ที่สามารถย้อมสี:
902	Solar Priest
903	Agents of Storm
904	เรียนครั้งเดียว
905	เรียนอัตโนมัติ
906	ซ่อนตัวไม่สามารถเรียนได้
907	ซ่อนตัวสามารถเรียนได้
908	มีเพื่อน $V1 คนที่มีความสนิท $V2 ขึ้นไป
909	หลังจากยืนยันของแนบทั้งหมดจะถูกลบ ยืนยันหรือไม่?
910	2x6
911	6x2
912	จะทำการล็อค $V1 อีกครั้ง ในจุดที่ล็อคอุปกรณ์ที่อยู่ในช่วงปลดล็อคจะเป็นรูปแบบฟรี ยืนยันการล็อคหรือไม่?
913	การล็อค 【 $V1 】 จะต้องหักใช้ $V2 หน่วย อุปกรณ์ที่ได้รับการคุ้มกันจะไม่สามารถซื้อขาย, ขนส่ง, ทิ้ง, แยก, หลอม, หรือทำอะไรก็ตามที่จะส่งผลให้อุปกรณ์นั้นหายไป
914	เปิดกระดานข้อความ
915	เปิดการปลดล็อคจะต้องรออีก $V1 วัน จึงจะปลดล็อคได้สำเร็จ เริ่มการปลดล็อคหรือไม่?
916	ส่งคำเชิญ PK
917	ใส่ชื่อเป้าหมายการ PK
918	ใส่มูลค่าเดิมพันการ PK
919	เหตุการณ์สำคัญ
920	สังคม
921	ตู้นิรภัย
922	Norz
923	เก็บ
924	คู่มือมือใหม่
925	1. การตีบวกตั้งแต่บวกระดับ 1-9 หากตีบวกล้มเหลว จะมีโอกาสที่ไอเทมจะลดระดับลง; ตั้งแต่ระดับ 9 ขึ้นไป หากตีบวกล้มเหลว ไอเทมมีโอกาสสูญหาย\n2. ตีบวกโชคลาภ: เมื่อตีบวกสำเร็จ จะมีโอกาสเพิ่มขึ้นอีก 1 เลเวล \n3. การตีบวก: ทุกการตีบวก 5 เลเวล จะได้รับเอฟเฟคเครื่องสวมใส่
926	เกี่ยวกับ Soul Calibur
927	1. การตีบวก Soul Calibur จะส่งผลกับ 【เลเวลเดิม】 ของ Soul Calibur ค่านี้จะเปลี่ยนแปลงไปตามความสำเร็จและล้มเหลวของการตีบวก\n2. Soul Calibur ที่ไม่เสื่อมสลายจะมี 【เลเวลเดิม】 = 【เลเวลปัจจุบัน】, เมื่อเสื่อมสลาย 【เลเวลปัจจุบัน】 จะไม่ลดลง\n3. อาวุธนั้นไม่จำเป็นต้องตีบวก เลเวลตีบวก Soul Calibur ของอุปกรณ์จะอ้างอิงตามชิ้นอาวุธนั้นๆ
928	ขณะนี้:
929	หลังตีบวก:
930	อัตราโชคในการตีบวก:
931	รายละเอียดการตีบวก
932	หลอมซ้ำ
933	หลอมซ้ำ
934	ไอเทมที่ได้รับ:
935	ผลที่คาดการณ์
936	ประเภทอุปกรณ์ที่อาจได้รับ
937	หลังการหลอมไอเทมจะหายไป ยืนยันการหลอมหรือไม่?
938	 $V1 ต้องการเชิญท่านให้เข้าร่วม $V2 กิจกรรม PK ตอบรับหรือไม่?
939	 $V1 ในส่วนความเคลื่อนไหว
940	มูลค่าเดิมพัน: (ผู้ชนะจะได้รับเงินเดิมพันของอีกฝ่ายไป)
941	ท่านชนะในการ PK ได้รับเงินเดิมพัน $V1!
942	ท่านพ่ายแพ้ในการ PK สูญเสียเงินเดิมพัน $V2!
943	กรุณาเลือกความปรารถนาหนึ่งอย่าง เทพผู้พิทักษ์กิลด์หรือพวกพ้องคนอื่นๆ จะช่วยให้คุณสมหวัง!
944	ฟังก์ชั่นหน้าต่างข้อความค่อยๆ เลือนหายไป
945	รูปแบบหน้าต่าง
946	1024x768
947	1280x1024
948	1280x768
949	1360x768
950	1440x900
951	1680x1050
952	1920x1024
953	เลเวลอุปกรณ์ที่อาจจะได้รับ
954	คุณภาพอุปกรณ์ที่อาจจะได้รับ
955	คลังร้านค้า
956	ลากอุปกรณ์มาที่นี่:
957	ระยะเวลาที่จดหมายอยู่:
958	ย้อมสีอุปกรณ์
959	วัตถุดิบย้อมอุปกรณ์
960	ค่าตั้งต้น
961	รหัสผ่าน
962	ล็อคเอาท์
963	โรงเคลือบสีเรือส่วนตัว
964	วัตถุดิบเคลือบสีเรือส่วนตัว
965	Royal Exchange
966	ระบบ
967	ประสิทธิผลภาพ
968	ส่งห่อของ
969	จดหมาย
970	ไอเทมแนบ
971	ส่ง Gold
972	ผู้รับ
973	ลบห่อของ
974	(จะลบของที่แนบมาออก)
975	รับของแนบ
976	ส่งจดหมายใหม่
977	ไอเทมส่งมอบจากระบบ
978	ยืนยันการใช้คุกกี้ $V1 คุกกี้เพื่อแลก Token $V2 เหรียญ?
979	ยืนยันทำการซื้อขาย?
980	รับห่อของ
981	เสียง 1
982	เสียง 2
983	เสียง 3
984	เสียง 4
985	ตั้งค่าสีใหม่
986	หลังจากยืนยันจะทำการย้อมสีอุปกรณ์ที่เลือกเอาไว้ ยืนยันที่จะย้อมหรือไม่?
987	หลังจากยืนยันจะทำทาสีใหม่ให้กับเรือ ยืนยันที่จะเปลี่ยนสีหรือไม่?
988	เข้าไปยังช่อง
989	คืนค่าตั้งต้น
990	บันทึกการตั้งค่า 
991	ตั้งค่าขนาดตัวอักษร
992	สนทนา
993	ระบบ
994	การต่อสู้ 
995	รูปแบบตัวอักษร
996	ตั้งค่าหน้าต่างข้อมูล
997	ท่านพูดกับ $V1 ว่า:
998	 $V1 พูดกับท่านว่า:
999	บาปกำเนิด
1000	ยืนยันที่จะทำการรวมหรือไม่?
1001	กำลังผสม
1002	กำลังหล่อ
1003	ยืนยันการเปลี่ยนรูปลักษณ์ของอาวุธ?
1004	  (ล็อกอินได้)
1005	  (ล็อกอินแล้ว)
1006	เสียง
1007	อุปกรณ์จำเป็นสำหรับมือขวา:
1008	ค่าความดีมากกว่าหรือเท่ากับ $V1 
1009	ร้านค้า $V1 
1010	หักพลัง:
1011	ผู้มอบ:
1012	ระบบ
1013	ไอเทมภายในคลังร้านค้าจะถูกส่งไปยังกระเป๋า
1014	ไม่ใช้
1015	ความเห็น
1016	เกาะกิลด์
1017	ค่าขวัญปัจจุบัน
1018	ใช้ค่าขวัญ
1019	ค่าขวัญรวม
1020	จะต้องใช้อย่างน้อย 10 แต้ม
1021	รูปทรงเรือ:
1022	ค่าขวัญ:
1023	ตอบรับ
1024	ออก
1025	ตั้งค่าแถบลัด
1026	แสดงแถบลัด:
1027	แถวที่1
1028	แถวที่2
1029	แถวที่3
1030	12x1
1031	3x4
1032	4x3
1033	ล็อคแถบลัด
1034	ล็อคช่องคีย์ลัด
1035	1x12
1036	สร้างตัวละคร
1037	ลบตัวละคร
1038	เข้าเกม
1039	กลับ
1040	ลักษณะใบหน้า
1041	เลือกเพศ
1042	เลือกรูปลักษณ์
1043	รูปหน้า
1044	ทรงผม
1045	ใบหน้า
1046	เอกลักษณ์
1047	ตัวละครเสียง
1048	ใส่ชื่อตัวละคร
1049	●การสร้างตัวละครภายใน 2 ชั่วโมงแรก สามารถลบตัวละครได้ทันที หากเกิน 2 ชั่วโมงไปแล้ว จะต้องรอให้ครบ 72 ชั่วโมงก่อน จึงจะลบตัวละครได้!
1050	●รหัสผ่านนี้ใช้ในการเปิดร้านค้า คลังหรือพื้นที่เกี่ยวข้องกับทรัพย์สินส่วนตัว กรุณาตรวจสอบการใช้งานอย่างละเอียด
1051	กรุณาตั้งค่ารหัสผ่านเกม
1052	กรุณาใส่รหัสผ่าน
1053	กรุณาใส่รหัสผ่านอีกครั้ง
1054	สุ่มเลือก
1055	สุ่มจับคู่
1056	เก็บอิสระ
1057	การผสมสัตว์สวยงาม
1058	ใส่เข้าไปยังการผสมสัตว์สวยงาม
1059	 (ต้องมีสัตว์สวยงามอย่างน้อย 2 ชนิด)
1060	ไอเทมป้องกัน
1061	รับ
1062	กล่องกลายสภาพ
1063	เปิด
1064	VIP
1065	3
1066	ลูกเรือ
1067	สัตว์เลี้ยง
1068	สัตว์ขี่
1069	ต้องการหลอมผลึกนี้หรือไม่? \n(อัตราสำเร็จในปัจจุบัน：$V1%)
1070	สามารถดูดซับแต้มเลี้ยงดู $V1 แต้ม ยืนยันที่จะดูดซับหรือไม่?
1071	เลือกดันเจี้ยน
1072	ชื่อดันเจี้ยน
1073	ลิมิตจำนวนคน
1074	เงื่อนไขเลเวล
1075	เข้าสู่ดันเจี้ยน
1076	รับคำเชิญดันเจี้ยน
1077	ยืนยัน
1078	การออกจากทีมในตอนนี้จะส่งผลให้ถูกวาร์ปออกจากดันเจี้ยนด้วย ยืนยันหรือไม่?
1079	รายละเอียดผล
1080	ประเมิน
1081	คะแนนรวม
1082	เวลาที่ใช้:
1083	เป้าหมาย:
1084	เวลาที่ดีที่สุด:
1085	เลือกรางวัล (จำนวนที่สามารถเลือกเพิ่มได้：$V1)
1086	สรุปผลดันเจี้ยน
1087	นับถอยหลังการสรุปผล:
1088	ออกจากดันเจี้ยน
1089	ตัวละครยังคงอยู่ในระบบ กรุณาล็อคอินใหม่ในอีก 15 วินาทีให้หลัง!
1090	ดี
1091	คล่องตัว
1092	ทั่วไป
1093	หนาแน่น
1094	ออกจากระบบ
1095	แนะนำ
1096	กำลังเชื่อมต่อ...
1097	ไม่สามารถเชื่อมต่อไปยังเซิร์ฟเวอร์!
1098	การเชื่อมต่อล้มเหลว!
1099	หมดเวลาเชื่อมต่อ! ยกเลิก!
1100	  (เรียนแล้ว)
1101	จำนวนการส่งด่วนคงเหลือ:
1102	กรุณาใส่รหัสผ่าน
1103	ขณะนี้ไม่มีการแจ้งเตือนใหม่
1104	แผนที่
1105	ค้นหาตัวละครในฉาก
1106	GO!
1107	แผนที่โลก
1108	แผนที่ทะเล
1109	แม้แต่ใจของเจ้าเองก็ไม่สามารถทำความเข้าใจด้านมืดอีกด้านหรือเปล่า? ลองตอบคำถามเหล่านี้ดู ให้เทพสมุทรช่วยเหลือเจ้าค้นหาบาปกำเนิดของตัวเอง
1110	รายชื่อฉาก
1111	แผนที่ฉาก
1112	จะถูกวาร์ปออกจากดันเจี้ยน
1113	Atlantic Ocean
1114	Outer Space Ocean
1115	Bermuda Sea
1116	Nora Jana
1117	Port Royal 
1118	Prison Exile Island 
1119	Spice Paradise Island 
1120	Slave Market Island 
1121	Evil Port 
1122	Ocean Walled City 
1123	Voodoo Island
1124	Silver Harbour
1125	Lost Eden
1126	Death City Sea
1127	Hell Volcanic Island
1128	Lost Eden
1129	Drake empty Walled
1130	Sunset Deserted
1131	ยุบทีมจะส่งผลให้ตนและเพื่อนร่วมทีมถูกส่งตัวออกจากดันเจี้ยน ยืนยันหรือไม่?
1132	รายงานกัปตัน เรือกำลังเดินหน้า $V1 
1133	รายงานกัปตัน เรือกำลังเทียบท่า $V1 
1134	รายงานกัปตัน เรือกำลังมุ่งหน้าไปยังเกาะกิลด์
1135	รายงานกัปตัน มุ่งหน้าไปยังเป้าหมาย 12 นาฬิกา ทุกคนเตรียมพร้อม เตรียมออกเดินทางได้
1136	รายงานกัปตัน มุ่งหน้าไปยังเป้าหมาย 12 นาฬิกา ทุกคนเตรียมพร้อม เตรียมออกเดินทางได้
1137	แสดง
1138	อื่นๆ
1139	เงาตัวละคร
1140	สูง
1141	กลาง
1142	ปิด
1143	Anti-Aliasing 
1144	4X
1145	2X
1146	คุณภาพภาพของฉาก
1147	บังคับใช้
1148	กลาง
1149	ใกล้
1150	คุณภาพภาพตัวละคร
1151	ประสิทธิผลสภาพแวดล้อม
1152	โฟกัสภาพ
1153	ความสว่างภาพ
1154	การปรับความเข้ม
1155	คุณภาพดี
1156	คุณภาพต่ำ
1157	ดนตรี
1158	ประสิทธิผลเสียง
1159	ระยะห่างเลนส์
1160	ข้อมูลผู้เล่น
1161	ชื่อ 
1162	ฉายา
1163	ชื่อกิลด์
1164	หลอด HP
1165	ข้อมูลมอนสเตอร์
1166	จำนวนตัวละคร
1167	แสดงรูปโปรไฟล์
1168	แสดง
1169	ไม่แสดง
1170	ตอบรับคำเชิญ
1171	รวมทีม
1172	ซื้อขาย
1173	เพื่อน
1174	กิลด์
1175	เก็บสัตว์เลี้ยง
1176	เปิด
1177	ปิด
1178	แถบคีย์ลัด
1179	ตั้งค่าข้อมูล
1180	หลังยืนยันจะต้องใช้ 【 $V1 】 แต้มเพื่อทำการรีเซ็ตดันเจี้ยน?
1181	การตั้งค่าปัจจุบัน
1182	1600x1200
1183	ยินดีด้วย! วันนี้ท่านสามารถขอพรได้!
1184	วันนี้โชคไม่ดี ไม่สามารถขอพรได้
1185	จำนวนครั้งที่ใช้ได้:
1186	ช่วงเวลาปลดล็อค:
1187	ตั้งค่ารหัสผ่าน
1188	ใช้แต้ม
1189	ประสิทธิผลที่รับแล้ว
1190	ประสิทธิผลที่รับได้
1191	แต้มชั้นวางของที่เหลือ
1192	ได้รับ
1193	ชั้นวางของ
1194	ถอดออกทั้งหมด
1195	สวมใส่
1196	ได้รับผลการเก็บแล้ว
1197	แสดงที่มีเท่านั้น
1198	แสดงทั้งหมด
1199	จำนวนชุดที่เก็บไปแล้ว
1200	จำนวนชุดรอที่เก็บ
1201	ใช้แต้ม
1202	คลิกที่รูปเครื่องสวมใส่ที่สวมใส่แล้วสามารถถอดได้ทันที
1203	แต้มการเก็บที่ต้องใช้:
1204	อาวุธ
1205	$V1 สถานะปัจจุบัน
1206	เรื่องราว
1207	ตรวจสอบเรื่องราวของเพื่อน
1208	ตรวจสอบเรื่องราวของกิลด์
1209	เรื่องราวของฉัน
1210	เลือกอาวุธ
1211	ข้อมูลลูกเรือ
1212	ระดับความพอใจ
1213	สกิลร่วม
1214	คลังอุปกรณ์
1215	จำนวน $V1 ชิ้น
1216	แต่ละวัน $V1 ชิ้น
1217	ปลดแบนสนทนา
1218	ไม่จำกัด
1219	เปิด
1220	เงาของฉาก
1221	เสียงตัวละคร
1222	ประสิทธิผล DOF 
1223	ESC ข้ามวิดีโอ
1224	กรอบนอกตัวละคร
1225	ความโปร่งใสของอินเตอร์เฟส
1226	สไตล์ภาพ
1227	แบบนวล
1228	แบบคม
1229	เก็บอาวุธ
1230	ตั้งค่ารหัสผ่าน
1231	คลิกซ้ายเปิดรายการวัตถุดิบหมักเหล้า
1232	เลเวลยังไม่ถึง ยังไม่เปิด
1233	อัตราการแลกเปลี่ยน:
1234	คุกกี้ →
1235	หลังจากยืนยันจะทำการหักกล่องสมบัติและกุญแจ ยืนยันหรือไม่?
1236	รอบการเคลื่อนย้าย
1237	กรุณานำแก่นผลึก ผลึกหรือสารอาหารอื่นๆ ลากไปยังช่องผลึกที่เกี่ยวข้อง เพื่อเริ่มดำเนินการหลอม!
1238	ความสำเร็จ
1239	Achievement Score สำเร็จ
1240	ขณะนี้ได้ 
1241	พัฒนาการรวม
1242	เงื่อนไขความสำเร็จ
1243	รางวัลผลงาน
1244	SP:
1245	 EXP :
1246	ฉายา:
1247	Token:
1248	วันที่เสร็จ:
1249	อัพเดตพัฒนาการผลงาน
1250	สำเร็จความสำเร็จ
1251	สำเร็จ
1252	วันที่เสร็จ:
1253	ยาคุณสมบัติ
1254	ว่าจ้าง/อัพเลเวลพ่อค้าสีย้อม
1255	ว่าจ้าง/อัพเลเวลพ่อค้าไอเทม
1256	ว่าจ้าง/อัพเลเวลพ่อค้าสารอาหารผลึก
1257	สร้างเกาะกิลด์
1258	สารอาหารที่เกินกว่าลิมิตจะหายไป ยืนยันที่จะใส่สารอาหารหรือไม่?
1259	ลำดับส่วนตัว
1260	ลำดับกิลด์
1261	A
1262	B
1263	C
1264	Token มีมูลค่า: $V1 \nToken ไม่มีมูลค่า:$V2
1265	ยังไม่ได้บันทึกข้อมูลกะลาสีที่ปรับเปลี่ยน ยืนยันที่จะกลับไปยังข้อมูลตู้เก็บของหรือไม่?
1266	ยืนยันที่จะบันทึกข้อมูลที่ปรับเปลี่ยนหรือไม่?
1267	กลับไปยังตู้เก็บของ
1268	ระดับความพอใจ: $V1 
1269	พัฒนาการ EXP : $V1 /$V2 \nระดับแสง:$V3\nอัตราสำเร็จในการหลอม:$V4%\nเลเวลอุปกรณ์ที่ฝังประดับได้:LV. $V5 ขึ้นไป
1270	ถึงเลเวลสูงสุดแล้ว! \nระดับแสง: $V1 \nอัตราสำเร็จในการหลอม:$V2%\nเลเวลอุปกรณ์ที่ฝังประดับได้::LV. $V3 ขึ้นไป
1271	ถอดเป็นชิ้นเดี่ยว
1272	การตั้งค่าใช้เป็นชุด
1273	สวมเป็นชิ้นเดี่ยว
1274	เล่นวิดีโอ
1275	คู่มือและวิดีโอ
1276	เล่น
1277	เมื่อเคลื่อนย้ายเลเวลตีบวกอุปกรณ์จะลดลง ยืนยันที่จะดำเนินการหรือไม่?
1278	รายละเอียดภาพ
1279	หลังจากยืนยันจะเคลื่อนย้ายถาวรไปให้กับ $V1?
1280	กุญแจแห่งคำสาบาน: $V1 
1281	กำลังดำเนินการ
1282	ค่า EXP:
1283	มูลค่า:
1284	แต้มสกิล:
1285	ความสนิท:
1286	รางวัลบรรลุเป้าหมาย
1287	สำเร็จแล้ว
1288	เลือกเซิร์ฟเวอร์
1289	กรุณาเลือกเซิร์ฟเวอร์
1290	กรุณาเลือกแชนแนล
1291	เข้า
1292	ออก
1293	แสดงอุปกรณ์
1294	แสดงตัวอย่าง
1295	ตัวอย่างอุปกรณ์ที่สวมแล้ว
1296	แสดงว่าออฟไลน์
1297	กระเป๋า
1298	ทั่วไป
1299	VIP
1300	ภารกิจ
1301	จัดระเบียบใหม่
1302	ชื่อ
1303	เลเวล
1304	อาชีพ
1305	ตำแหน่ง
1306	ผู้ส่ง/หัวข้อ
1307	วันที่
1308	รายละเอียด
1309	ลบ
1310	ตอบ
1311	จดหมายใหม่
1312	จดหมายใหม่
1313	รวมทีม
1314	ใส่ชื่อหรือเลือกเพื่อน
1315	คลิกขวาเพื่อเปิดเมนู
1316	ตั้งค่าระบบ
1317	อันดับ
1318	ผู้ถูกรายงาน
1319	สาเหตุการรายงาน
1320	ใช้อุปกรณ์เพิ่มความเร็ว
1321	การโกงและขายเงินผิดกฏ
1322	เพิ่มเป็นบุคคลในบัญชีดำ
1323	ใช้บอทเถื่อน
1324	ร้านค้า
1325	สินค้าขายดี
1326	สินค้า
1327	สินค้าราคาพิเศษ
1328	คุกกี้
1329	ซื้อ
1330	คืนค่าตัวละคร
1331	คุกกี้
1332	Token มีมูลค่า
1333	Token
1334	เมื่อคลิกภาพสินค้า จะมีห้องลองชุดเด้งขึ้นมา
1335	แลกซีเรียลโค้ด
1336	กล่องของขวัญ
1337	แลก Token
1338	รับ
1339	กิจกรรมระบบ
1340	มูลค่าที่ต้องจ่าย
1341	เลือกเสียง
1342	ประสิทธิผลพื้นน้ำ
1343	ต่ำ
1344	ระดับความพอใจ: $V1 
1345	การค้นหาขั้นสูง
1346	เชิญร่วมทีม
1347	กรุณาใส่ปุ่มที่ต้องการปรับเปลี่ยน (ESC=คือยกเลิก)
1348	ก่อตั้ง
1349	 $V1 /30
1350	ตัวละครเข้าสู่สถานะลบ เมื่อเวลานับถอยหลังสิ้นสุดก็จะถูกลบถาวร
1351	เปลี่ยน
1352	กลับไปยังพื้นที่เดิม
1353	ความสนิท
1354	จำนวนคน
1355	ใช้ $V1 แต้ม สามารถเพิ่มลิมิตแต้มได้ $V2 แต้ม ยืนยันที่จะทำการหักหรือไม่!
1356	พิเศษ
1357	แก้ไขรหัสผ่าน
1358	กรุณาใส่รหัสเก่า
1359	กรุณาใส่รหัสใหม่
1360	กรุณาใส่รหัสใหม่อีกครั้ง
1361	Token
1362	แต้มปัจจุบัน
1363	แลกเปลี่ยน
1364	รายละเอียด
1365	ของขวัญ
1366	กรุณาใส่ซีเรียลโค้ด
1367	รางวัลค่าย
1368	เงินเดือนค่าย
1369	ประสิทธิผลแอคทีฟที่คงอยู่
1370	ยอดรวม
1371	ใส่จำนวน
1372	ยอดรวมคุกกี้
1373	ยอดรวม Token
1374	มอบของขวัญ
1375	ปุ่มเหาะเหิน (space bar)
1376	การตั้งค่านี้สามารถใช้ได้เพียงปุ่มเดียวเท่านั้น!
1377	ยกเลิกการลบ
1378	ร่มชูชีพ (space bar)
1379	ผลึกบางส่วนพัฒนาถึงระดับสูงสุดแล้ว ยืนยันที่จะดำเนินการต่อหรือไม่?
1380	ชื่อตัวละคร:
1381	ฉากที่อยู่:
1382	เมื่อใช้แล้วระดับแสงจะเพิ่มเป็น $V1 แต้ม ต้องการใช้หรือไม่? \n(จำนวนสูงสุดของระดับแสงคือ $V2)
1383	เมื่อใช้สามารถลดเลเวลเป็น Lv.$V1 ต้องการใช้หรือไม่? \n(เลเวลตำสุดคือ 1)
1384	  ( $V1 )
1385	หลังจากใช้สามารถเพิ่มค่าขวัญ $V1 แต้ม ยืนยันการใช้หรือไม่?
1386	ตัวละครซ่อนตัว:
1387	ซ่อนตัว
1388	ปรากฏตัว
1389	ฉากบิน:
1390	X:
1391	Y:
1392	Z:
1393	NPC ที่บิน:
1394	ผู้เล่นที่บิน:
1395	เรียกผู้เล่น:
1396	สอบถามผู้เล่น BOT:
1397	เตะผู้เล่น:
1398	ข้อมูลล่าสุด:
1399	มอนสเตอร์ที่เกิด:
1400	สังหารมอน:
1401	แบนสนทนาโดยพื้นที่:
1402	แบนทั้งหมด
1403	แบนสนทนาผู้เล่นบางส่วน
1404	ปลดแบนสนทนา
1405	ระยะเวลาแบน
1406	นาที
1407	แบนสนทนาตัวละคร:
1408	แบนสนทนา
1409	ชื่อผู้เล่น:
1410	สาเหตุการแบน
1411	นาที (0 คือถาวร)
1412	ใส่คำสั่ง:
1413	ปฏิบัติ
1414	คนนอก
1415	คลิ๊กที่ไอคอนหรือรูปภาพและลากไปยังช่องแชท และสามารถพิม # ตามด้วย ตัวอักษรรูปภาพ (เช่น：#ร้องไห้) สามารถส่งอีโมชั่นของท่านทางช่องแชทได้
1416	คลิกปุ่มสามารถแชร์ข้อความอีโมชั่นกับคนอื่นๆได้
1417	ติดตามอัตโนมัติ
1418	ติดตามเป้าหมายอัตโนมัติ
1419	ใช้จ่าย $V1 แต้ม สามารถอัพเกรดอัตราการตีบวกโชคลาภ! 
1420	ใช้จ่าย $V1 แต้ม มีโอกาศได้รับเครื่องสวมใส่ส่วนอื่นๆ! 
