n_ID	s_QUEST_NAME	s_BRIEFING	s_QUEST_INFO_BRIEF	s_WORD1	s_WORD2	s_WORD3	s_WORD4	s_WORD5	s_WORD6	s_WORD7	s_WORD8	s_WORD9	s_WORD10	s_WORD11	s_WORD12	s_WORD13	s_WORD14	s_WORD15	s_WORD16	s_WORD17	s_WORD18	s_WORD19	s_WORD20	s_WORD21	s_WORD22	s_WORD23	s_WORD24	s_WORD25	s_WORD26	s_WORD27	s_WORD28	s_WORD29	s_WORD30	s_WORD31	s_WORD32	s_WORD33	s_WORD34	s_WORD35	s_WORD36	s_WORD37	s_WORD38	s_WORD39	s_WORD40	s_WORD41	s_WORD42	s_WORD43	s_WORD44	s_WORD45	s_WORD46	s_WORD47	s_WORD48	s_WORD49	s_WORD50
957	รับสมัคร Bear		เดินทางไปที่<text style="109">[52300116]</text>จัดการกับ[  ] ，ได้รับ<text style="109">[51405506]</text>3 ชิ้นแล้วนำไปส่งให้<text style="79">[52500818]</text>	ข้าได้ยินว่าตอนแรกพวกท่านโจมตีเรือโจรสลัดได้ แต่กลับถูก<text>[52300116]</text>โจมตีกลับ น่าเสียดายข้ากลับไม่มีอาวุธ จึงไม่สามารถช่วยเหลือได้	เจ้าต้องการแก้แค้นไหม?	แน่นอน！ถ้าใครช่วยข้าแก้แค้นได้ ข้าจะยอมทำตามคำสั่งทุกอย่างเลย	ข้าต้องการให้ท่านเป็น พันธมิตรกับข้า！	ถ้าหากเจ้าไปหา[  ] และนำ<text>[51405506]</text>กลับมาได้ 3 ชิ้น  ข้าก็จะยอมขึ้นเรือติดตามท่านไปทั่วทุกทีเลย	งั้นข้าจะช่วยเจ้าแก้แค้นพวกโจรสลัดนั่น！	ถ้าหากไม่สามารถจัดการหัวหน้าพวกโจรสลัดได้ ข้าก็ไม่มีทางยอมรับฝีมือเจ้า	ข้าจัดการพวกมันได้แน่นอน	ใช่ [  ] ไหม? นึกไม่ถึงว่าเจ้าจะแก้แค้นแทนข้าได้！	เจ้ายอมที่จะไปล่องเรือกับข้าแล้วใช่ไหม?	ข้าพูดคำไหนคำนั้น ！																																							
958	ชวน Tuna ดื่มเหล้า		สนทนากับ<text style="79">[52500166]</text>เพื่อซื้อ<text style="109">[51300579]</text>แล้วนำไปส่งให้<text style="79">[52500819]</text>	Tuna ไม่ค่อยชอบคนที่มารบกวน	ข้าเลี้ยงเครื่องดื่มท่านสักแก้ว ?	ถ้าหากเจ้าไปหา[  ] และนำ<text>[51405506]</text>กลับมาได้ 3 ชิ้น  ข้าก็จะยอมขึ้นเรือติดตามท่านไปทั่วทุกทีเลย	ทำไมเหรอ?	ใครที่เข้าใกล้ตัว Tuna ส่วนใหญ่มักจะเสียชีวิตเสมอ ฉะนั้นเจ้าต้องออกห่างจากเธอหน่อย	ข้าไม่กลัว!... ให้เกียรติข้าเลี้ยงท่านสักแก้วสิ	Tuna รู้สึกดีใจมาก แต่เธอกลับดื่มเพียงแก้วเดียว เธอก็รีบออกไป	ข้ารินเหล้าให้อีกสักแก้วป่ะ	ถ้าหากเพียงแค่อยากเล่นๆกับ<text style="79">[52500819]</text> ขอให้ท่านออกห่างด้วย ไม่งั้น<text style="79">[52500819]</text>จะเสียใจเปล่าๆ	งั้นข้าขอตัวไปหยิบเหล้าก่อน	พันธมิตรของ Tuna คนก่อนก็เหมือนเจ้านี่แหละ หลังจากที่ออกทะเลได้ไม่นาน ก็ถูกพวกปีศาจทะเล หรือพวกโจรสลัดฆ่าตาย ทันที	อย่าคิดมาก	แล้ว Tuna ยังต้องการล่องเรือไปผจญภัยอีกไหม มันก็แค่พวกพันธมิตรที่อ่อนแอเท่านั้น อย่าไปคิดมาก																																					
959	รับสมัคร Tuna		เดินทางไปที่<text style="109">[52300121]</text>จัดการกับ<text style="79" path="1278">[52501278]</text> จะได้รับ<text style="109">[51405507]</text> 3 ชิ้น แล้วนำไปส่งให้<text style="79">[52500819]</text>	Tuna ได้แต่กังวลเหมือนทุกครั้ง ฉะนั้นถ้าเจ้าไม่แกร่งพอ เจ้าก็ถอนตัวเถอะ  Tuna จะได้ไม่ต้องเสียใจ	ข้าไม่กลัวหลอก ข้าหวังว่าท่านจะยอมเป็นพันธมิตรกับข้า	ถ้าเจ้าจัดการพวก<text>[52300121]</text>โจมตี<text style="79" path="1278">[52501278]</text>ชนะ ก็จะได้รับ<text>[51405507]</text> 3 ชิ้น Tuna ถึงจะเชื่อใจในฝีมือของเจ้า และยอมเป็นพันธมิตรกับข้า！	ปล่อยให้เป็นหน้าที่ของข้า！	<text style="79">[52500819]</text>ต้องการเพียงแค่หาพันธมิตรที่เก่งๆ แล้วออกไปผจญภัยด้วย ไม่แยกจาก！	ข้าจะทำให้ความหวังของเจ้าเป็นจริงให้จนได้	เจ้าเก่งมากๆ สามารถโจมตี<text style="79" path="1278">[52501278]</text>ชนะได้...！	เชื่อมั่นในความสามารถของข้าได้หรือยัง?	Tuna เริ่มเชื่อมั่นขึ้นมา ต่อไปฝากเนื้อฝากตัวด้วยนะคะ กัปตัน！																																									
960	ชวน Caribbean ดื่มเหล้า		สนทนากับ<text style="79">[52500166]</text>เพื่อซื้อ<text style="109">[51300580]</text>แล้วนำไปส่งให้<text style="79">[52500820]</text>	เจ้าเป็นใคร ถึงกล้าเข้ามาคุยกับข้า ? 	ข้าเลี้ยงเครื่องดื่มท่านสักแก้ว ?	เหล้านะเหรอ...ถ้าหากพูดถึงของที่กินอยู่ตอนนี้ ก็คล้ายๆกับเม็ดทราย มันก็ไม่เลวซะทีเดียว	งั้นข้าเรียก สาวเชียร์เบียร์ มาบริการละกัน	ไหนละ..เหล้า？	ข้ากำลังเลือก รอสักครู่	รสชาติไม่เลวนะ ว่าแต่เจ้า เห็นรูปร่างข้าแล้ว ยังกล้าเข้ามาคุยด้วยอีกนะ	ขอบคุณสำหรับคำชม	ดูจากลักษณะเจ้าแล้ว ให้ข้าเดาว่าเจ้ากำลังหาลูกเรืออยู่ใช่ไหม？ ส่วนเจ้ากัปตันพวกนั้น ไม่มีใครกล้าจ้างข้าหลอก																																									
961	รับสมัคร Caribbean		เดินทางไปที่<text style="109">[52300118]</text>จัดการกับ<text style="79">[52501191]</text> จะได้รับ<text style="109">[51405508]</text>3 ชิ้น แล้วนำไปส่งให้<text style="79">[52500820]</text>	ข้ากับคนในบ้านของข้า...	ฟังเขาพูดอย่างเงียบๆ...	เมื่อก่อนข้าก็เคยเป็นกัปตันแล้วทำธุรกิจเกี่ยวกับเรือเล็กๆ ข้าไม่เคยคิดถึงเรื่องอันตรายสักเท่าไร จนกระทั่งได้ยินข่าวไม่ค่อยดีสักเท่าไร ข้าเลยเริ่มคิดถึงความสุข ความปลอดภัยของชีวิตเมียและลูกของข้า	หลังจากนั้นเกิดเรื่องอะไรเหรอ?	เคยได้ยิน<text style="79">[52501191]</text>ไหม? ข้าบังเอิญไปเจอพวกนั้น แล้วก็ถูกพวกนั้นจับตัวเมียและลูกของข้าไป ส่วนเรือของข้าก็ถูกโจมตีจนเสียหาย แต่โชคดีที่ข้าใช้เรือเล็กหนีได้ทัน จากวันนั้นข้าก็ได้แต่เสียใจ และก็ตั้งใจว่าต้องแก้แค้นพวกนั้นให้ได้！	หลังจากนั้นเกิดเรื่องอะไรอีกไหม？	เมื่อเวลาผ่านไป ข้าก็เริ่มจะหมดหนทางแก้แค้นพวกมันขึ้นเรื่อยๆ แต่ถึงยังไงข้าก็จะสาบานว่าก่อนที่ข้าจะตายในชาตินี้ ข้าจะต้องแก้แค้นให้สำเร็จ	ท่านกล้าหาญมากๆ	ขอเพียงแค่ได้แก้แค้น ชีวิตข้าจะเป็นยังไงข้าก็ไม่สน แต่ตอนนี้ใครเห็นร่างข้าก็พากันกลัวแล้ว ยิ่งไม่ต้องพูดถึงเรื่องล่า<text style="79">[52501191]</text> ท่านเพียงแค่ไปที่<text>[52300118 ]</text> หาตัว<text style="79">[52501191]</text>และนำ<text>[51405508]</text> 3 ชิ้นกลับมา แค่นี้ข้าก็พอใจแล้ว	ปล่อยให้ข้าแก้แค้นแทนท่านป่ะ！	Catherine...Jack...รอพ่อหน่อย พ่อจะรีบไปหา...	......	จริงๆแล้ว นี่เป็นของล้ำค่าที่สุดในบ้านแหละ นี่คือรูปของลูกกับเมียของข้า ลูกข้าชื่อ Jack เป็นไง น่ารักป่ะ เฮ้อ！ป่านนี้ไม่รู้ว่าลูกกับเมียข้าจะเป็นยังไงบ้าง	แล้วท่านจะเอายังไงต่อ？	ในเมื่อท่านรับปากว่าจะช่วยข้าแก้แค้น งั้นได้โปรดให้โอกาสข้าได้เข้าร่วมทัพกับท่านเถอะ ได้โปรดนะครับ กัปตัน																																			
962	ชวน Divinity ดื่มเหล้า		สนทนากับ<text style="79">[52500166]</text>เพื่อซื้อ<text style="109">[51300581]</text>แล้วนำไปส่งให้<text style="79">[52500821]</text>	ไม่อยากตาย ก็ให้หนีไปให้พ้นๆ！	ข้าเลี้ยงเครื่องดื่มท่านสักแก้ว ?	ถึงแม้ว่าข้าจะเป็นทหารนรินาม แต่มันก็จะย่อมมีคุณค่าของมันเสมอ ถ้าอยากรู้เรื่องอะไร ถามข้าได้หมด แต่ตอนนี้ขอให้เอาเหล้ามาก่อนละกัน！	งั้นข้าเรียก สาวเชียร์เบียร์ มาบริการละกัน	เผ่าพวกเรา สามารถดื่มได้เพียงแค่ <text>[51300581]</text> เจ้าเคยได้ยินไหม？	รอสักครู่ เดี่ยวเหล้าก็มาแล้ว	รสชาติไม่เลวนะ ดื่มแล้วรู้สึกกระชุ่มกระชวย รสนี้แหละที่จะทำให้ข้าลืมเรื่องรบที่น่าอายในอดีตให้หมด	เรื่องรบที่น่าอาย？	ข้าเคยไปที่<text>[52300115]</text>นั่น เพื่อไปคุยเรื่องรบกับ<text style="79">[52501374]</text> ในระหว่างที่กำลังวางตำแหน่งแนวรบอยู่นั้น ก็ถูกพวกปีศาจนั่นโจมตีจนชนะนะซิ																																									
963	รับสมัคร Divinity		เดินทางไปที่<text style="109">[52300115]</text>จัดการกับ<text style="79">[52501374]</text> จะได้รับ<text style="109">[51405509]</text> 3 ชิ้น แล้วนำไปส่งให้<text style="79">[52500821]</text>	หลังจากนั้นก็เหลือแต่พวกญาติๆข้ากับพันธมิตรของข้า ที่รอดชีวิตกลับมาได้  จนถึงทุกวันนี้ข้าก็ไม่สามารถลืมเหตุการณ์นั้นได้	พอจะมีหนทางไหนที่ช่วยเจ้าได้ไหม?	ถ้าประเมินพลังข้าแล้ว ข้าคนเดียวคงไม่มีทางแก้แค้นได้สำเร็จแน่ ฉะนั้นข้าต้องพึ่งแรงของเจ้าด้วย 	ตกลงตามข้อเสนอนี้	เพียงแค่โจมตี<text style="79">[52501374]</text>ให้ชนะ แล้วนำ<text>[51405509]</text> ของ พันธมิตรกับข้ากลับมา 3 ชิ้น เท่านี้ก็พอใจแล้ว	ข้าเข้าใจแล้ว，ปล่อยให้เป็นหน้าที่ของข้า！	เกียรติของชนเผ่า ก็คือเกียรติของข้า；ฉะนั้นได้โปรดช่วยเหลือข้าด้วย	ไม่มีปัญหา	ของพวกนี้<text>[51405509]</text>เป็นของชนเผ่าข้า ในที่สุดข้าก็หาเจอ	ยินดีด้วย ในที่สุดท่านก็หาของเจอ	ขอบคุณท่านมากจริงๆ ที่ช่วยข้านำของพวกนี้กลับมาได้！																																							
964	ชวน meow ดื่มเหล้า		สนทนากับ<text style="79">[52500166]</text>เพื่อซื้อ<text style="109">[51300582]</text>แล้วนำไปส่งให้<text style="79">[52500822]</text>	เหมียววว～มีธุระอะไรเหรอ เหมียววว？	ข้าเลี้ยงเครื่องดื่มท่านสักแก้ว ?	ได้เลย เหมียว....และนี่คือ<text>[51300582]</text> เครื่องดื่มที่แมวชอบที่สุด	งั้นข้าเรียก สาวเชียร์เบียร์ มาบริการละกัน	ว้าววว อร่อยจริงๆ	ถ้าไม่ใช้เหล้ามาล่อ ก็คงไม่มีโอกาสได้คุยกับเจ้านี่เหรอเนี่ย	เหอๆ เหมียว! มันอร่อยจริงๆ สรุปว่ามีธุระอะไรหรือเปล่า? 	ข้าอยากรับท่านเป็นลูกเรือ	เห็นทีคงจะไม่ได้แน่ๆ เหมียว...เพราะข้าคือวิศวกร คงไปเป็นลูกเรือให้เจ้าไม่ได้หลอก เหมียว.. 																																									
965	รับสมัคร meow		เดินทางไปที่<text style="109">[52300117]</text>จัดการกับ<text style="79">[52501471]</text> จะได้รับ<text style="109">[51405510]</text>3 ชิ้น แล้วนำไปส่งให้<text style="79">[52500822]</text>	ปกติข้าชอบศึกษาวิจัยของลึกลับอยู่ตลอดเวลา และช่วงนี้ข้าก็เจอขวดวิเศษขวดหนึ่ง..	มันเป็นขวดแบบไหนเหรอ？	เริ่มจากที่<text>[52300117]</text>ไปหา<text style="79">[52501471]</text>แล้วนำ<text>[51405510]</text>ที่อยู่บนร่างกลับมา ของพวกนี้เป็นวัตถุดิบสำคัญในการวิจัยของข้า ถ้าท่านทำได้ ต่อให้ข้าเป็นอะไรข้าก็ยอม	ตกลง ข้าจะช่วยเจ้านำของพวกนั้นกลับมา	<text>[51405510]</text>ละ？ท่านหาเจอแล้วหรือยัง เหมียว？	ข้าจะไปหาอีกรอบ	ใช่ของพวกนี้แหละ ที่ต้องการวิจัย	ยินดีด้วย	ในที่สุดข้าก็เริ่มวิจัยได้แล้ว งั้นให้ข้าเข้าทีมท่านไปผจญภัยด้วยเถอะ																																									
966	Figures：Columbus Chapter		ไปสนทนากับ<text style="79" path="171">[52500171]</text> ก็จะได้รับเบาะแสเกี่ยวกับ Figures	ดูจากท่าทางแล้ว เจ้าคงจะไม่ค่อยเก่งสักเท่าไร งั้นข้าจะเริ่มสอนจากวิธีการสะสม[Figures] field guide ก่อนเลยละกัน	งั้นท่านเริ่มสอนได้เลย！	ให้ไปหาท่าน<text style="79">[52500171]</text> ที่บริเวณท่าเรือ เจ้าสามารถสอบถามว่ารายชื่อว่าใครพอจะเป็นบุคคลในตำนานใน Field guide ได้บ้าง	เชื่อมั่นในสติปัญญาของกัปตันป่ะ！	......	......	ถ้าเจ้าต้องการช่วย<text style="79">[52500248]</text>รวบรวม[Figures] ละก็ จำเป็นต้องไปสัมภาษณ์บุคคลในตำนานของ Seven Sea ก่อนถึงจะได้รับชิ้นส่วน field guide！	เจ้าก็กำลังเสาะหา[Figures] เหมือนกันเหรอ？	ไม่ใช่ข้า แต่เป็น<text style="79">[52500036]</text>，เขาเป็นเพื่อนของข้าเอง เป็นคนเดียวกับคนที่อยู่ในบทที่ 1 ของ [Figures] field guide นั่นแหละ！																																									
967	Figures：Magellan Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text> ทำการสัมภาษณ์ [Figures] 	ได้ยินมาว่าเจ้าได้ช่วยชีวิต<text style="79">[52500044]</text>นักธุรกิจ<text style="79">[52500044]</text> คนนี้ไว้เหรอ งั้นเจ้าก็ไปสัมภาษณ์เขาเก็บไว้ใน [Figures] ป่ะ! บางทีเขาอาจจะกลายเป็นเจ้าพ่อแห่งวงการธุรกิจในอนาคตก็ได้	ใช้<text style="79">[52500151]</text>ในการสัมภาษณ์ป่ะ！	......	......	ต้องการสัมภาษณ์ Xiao Mai เหรอ? ตอนนี้เขาตื่นเต้นมากๆ ถ้าอย่างนั้น ข้าขอตัวไปอาบน้ำแต่งตัวก่อน เดียวกลับมาให้สัมภาษณ์ละกัน	ทำตัวสบายๆ ไม่ต้องเกร็ง	นี่เป็นการสัมภาษณ์ครั้งแรกในชีวิตของข้า ตื่นเต้นจังเลยอ่ะ！																																											
968	Figures：Nelson Chapter		ไปสนทนากับ<text style="79" path="168">[52500168]</text>แล้วทำการสัมภาษณ์  [Figures] 	ได้ยินมาว่าท่านค่อนข้างสนิทกับพวก Royal Navy และยังประสบความสำเร็จในด้าน Original Sin Seven Hero ของ<text style="79">[52500168]</text>อีกด้วย！แล้วแบบนี้ [Figures] จะขาดชื่อท่านไปได้อย่างไร！งั้นตอนนี้ท่านควรจะไปให้เขาสัมภาษณ์ได้แล้วล่ะ！	ไปหา<text style="79">[52500168]</text> เพื่อทำการสัมภาษณ์！	......	......	ท่านไม่ต้องสัมภาษณ์ข้ามากเป็นพิเศษหลอก ข้าก็แค่อยากให้ทุกคนบนโลกได้รับรู้หลักการใช้ชีวิตของข้า นั่นก็คือ ความยุติธรรม  นั่นเอง	นอกจากต่อสู้กับพวกโจรสลัดแล้ว ท่านยังมีงานอื่นอีกไหม？	ข้าชอบดื่มเหล้า และดื่มเก่งมาก งั้นคราวหน้าถ้ามีโอกาสข้าขอชวนท่านดื่มละกัน																																											
969	Figures：Bismarck Chapter		ไปสนทนากับ<text style="79" path="169">[52500169]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่า<text style="79">[52500169]</text>ค่อนข้างชื่นชมในตัวท่านมากๆ ใช่ไหม？ แต่ไม่ว่าท่านจะเคยได้รับรางวัลหรือถูกเขาทำโทษมาก็ตาม ยังไงท่านก็ต้องไปสัมภาษณ์เขาอยู่ดี！	ไปหา<text style="79">[52500169]</text> เพื่อทำการสัมภาษณ์！	......	......	สัมภาษณ์ท่านนายพล กองทัพ Royal Navyเหรอ？ท่านมีเป้าหมายอะไร？ หรือว่าจะสอดแนมหาเบาะแสพวกทหารกบฏ?	อย่าจับตัวข้าเลย ข้ามาตามคำสั่งของ <text style="79">[52500248]</text>	ข้ายังไม่ได้ทำอะไร เจ้าก็ออกมาซะแล้ว...สรุปว่าเป็น<text style="79">[52500248] นี่เอง! ถ้าอยากสัมภาษณ์ข้า ก็บุกเข้ามาเลย! 																																											
970	Figures：Kuki Yoshitaka Chapter		ไปสนทนากับ<text style="79" path="170">[52500170]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่าท่านกำลังทำภารกิจสายลับของกองทัพเรือ และยังได้รับคำชมและโอกาสจากผู้ใหญ่อีก งั้นเจ้าไปสัมภาษณ์<text style="79">[52500170]</text>ป่ะ！เขาเป็นคนพูดน้อย ยังไงท่านต้องระวังคำสัมภาษณ์ล่ะ!	ไปหา<text style="79">[52500170]</text> เพื่อทำการสัมภาษณ์！	......	......	เพื่อที่ได้รับข้อมูลเรื่องราวที่ดีๆ ถ้าอย่างนั้นไปตามหาเขาเพื่อทำการสัมภาษณ์ป่ะ	ทำเพื่อช่วยท่านเผยแพร่ความรู้เกี่ยวศิลปะการต่อสู้ของท่าน	ทุกอย่างมันก็ย่อมมีเหตุผลของมัน ต่อไปข้าจะให้ข้อมูลเกี่ยวกับ Warrior Soul ป่ะ																																											
971	Figures：Rosemary Chapter		ไปสนทนากับ<text style="79" path="176">[52500176]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่าท่านช่วยชีวิตเรียนเชิญราชวงค์<text style="79">[52500073]</text>ไว้จนเกือบเอาชีวิตไม่รอด ถ้าอย่างนั้นเรียนเชิญราชวงค์<text style="79">[52500176]</text>คงรู้สึกประทับใจมากๆสินะ ถือโอกาสนี้ไปสัมภาษณ์เขาป่ะ！	ไปหา<text style="79">[52500176]</text> เพื่อทำการสัมภาษณ์！	......	......	ทำไมถึงอยากสัมภาษณ์ข้า？ ข้าไม่สามารถนำเรื่องในวังค์มาเล่าได้หลอกนะ เพราะเป็นกฏของวังค์ \n	ท่านทำเพื่อวิจัยพวกวิชาการนี้เหรอ	ตกลง! ข้ายอมให้เจ้าสัมภาษณ์ แต่ข้าจะไม่ตอบพวกเรื่องไร้สาระ 																																											
972	Figures：Jason Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่าท่านเคยเป็นผู้ช่วย<text style="79">[52500204]</text>ราชาโจรสลัด ถึงแม้ว่าเขาจะชั่วร้ายขนาดไหน แต่ก็ควรจะจารึกชื่อเขาไว้ในประวัติศาสตร์ด้วย ฉะนั้นท่านหาวิธีติดต่อเขามาสัมภาษณ์ป่ะ！	ใช้<text style="79">[52500151]</text> เพื่อทำการสัมภาษณ์！	......	......	ฮ่าๆ มีคนต้องการสัมภาษณ์ข้าจริงๆเหรอ! ข้าก็กำลังอยากให้คนมาช่วยประกาศศักดิ์ดาของข้าเช่นกัน	ขอบอกก่อนเลยว่า ข้าเป็นคนซื่อสัตย์ไม่โกหก	ยังไงก็ได้ ถามข้าได้เลย! แต่จะต้องเคารพและให้เกียรติตามขนบประเพณีของราชาโจรสลัดด้วย																																											
973	Figures：Medea Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่าสัตว์เลี้ยงน่ารักของ<text style="79">[52500213]</text> ถูกรับเข้าไปในวังค์ คนอื่นๆต่างอิจฉา！ฉะนั้น field guide ของพวกเราจะต้องจารึกประวัติของเธอไว้ ท่านรีบไปสัมภาษณ์เธอป่ะ！	ใช้<text style="79">[52500151]</text> เพื่อทำการสัมภาษณ์！	......	......	อ่าว! เป็นท่านเองเหรอ! ข้าอยู่ในวังค์ เหงามากๆ วันนี้ท่านจะมาอยู่เป็นเพื่อนข้าไหม?	สัมภาษณ์ตัวต่อตัวแบบนี้จะดีจริงๆเหรอ?	ช่วงนี้ไม่ค่อยได้สนใจพวกสัตว์เลี้ยงสักเท่าไร เบื่อๆด้วย งั้นข้าจะยอมคุยกับเจ้าละกัน! 																																											
974	Figures：Angelina Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่า<text style="79">[52500073]</text>กลายเป็นราชินีของโจรสลัดไปแล้ว！......ข้าคิดว่าเขาไม่ค่อยเหมาะสมกับตำแหน่งราชินีสักเท่าไร แต่ข้ารู้มาว่าท่านสนิทกับเขา ยังไงก็รบกวนให้ท่านไปสัมภาษณ์เขาป่ะ！	ใช้<text style="79">[52500151]</text> เพื่อทำการสัมภาษณ์！	......	......	อยากสัมภาษณ์ข้าเหรอ？ความจริงข้าไม่ได้เป็นราชินีหลอก แต่ข้ามาเป็นโจรสลัด เหตุผลน่าฟังไหม?	ท่านอยากบอกความในใจอะไรให้ข้าฟังหรือเปล่า！	ข้ารู้อยู่แล้วว่าท่านพูดเล่นเฉยๆ แต่ถึงยังไงข้าก็อยากช่วยท่านแก้ไขเรื่องในอดีต！																																											
975	Figures：Plato Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่าท่านคือผู้ช่วยนายกรัฐมนตรี<text style="79">[52500052]</text>เหรอ ท่านเก่งมาๆ และทุกครั้งที่ติดต่อสัมภาษณ์ท่านก็ไม่ค่อย่างสักเท่าไร งั้นหน้าที่นี้ขอมอบให้ท่านละกัน!	ใช้<text style="79">[52500151]</text> เพื่อทำการสัมภาษณ์！	......	......	เจ้าได้ช่วย<text style="79">[52500248]</text>แก้ไข field guide ใช่ไหม！เขาเป็นลูกศิษย์ที่ข้าภูมิใจมากๆ ทั้งฉลาด และไหวพริบดี	ฉะนั้นถึงอยากให้ท่านช่วยคิดไง！	ปากหวานจริงๆเลยนะ！งั้นข้าจะแบ่งเวลามาช่วยทำ field guide ให้เสร็จ																																											
976	Figures：Odyssey Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่าความสัมพันธ์ของท่านกับ <text style="79">[52500013]</text>Witch Pirateค่อนข้างสนิทสนมกัน แล้วท่านสนใจเรียนรู้วิธีการผจญภัยของเขาไหม？ สามารถนำวิธีการของเขามาเล่าเก็บไว้ใน field guide ได้นะ！	ใช้<text style="79">[52500151]</text> เพื่อทำการสัมภาษณ์！	......	......	สัมภาษณ์เหรอ？นี่เจ้าวางแผนการใหม่อีกแล้วเหรอ หรือจะแก้แค้นข้า？	ถ้าหากท่านคิดแบบนั้น ข้าก็ไม่สิทธิ์ห้าม	แผนการของเจ้าค่อนข้างดีเลยทีเดียว งั้นข้าพอจะช่วยเจ้าได้ แล้วข้าจะคอยดูว่าเจ้าจะทำยังไงต่อ																																											
977	Figures：Sea Phantom Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ในระหว่างที่แก้ไข field guide อยู่นั้น ก็เกิดเหตุการณ์ไม่คาดคิด <text style="79">[52500087]</text>ได้หายตัวไป ทำให้ไม่สามารถสัมภาษณ์เขาได้ เจ้าพอจะคิดหาวิธีหาตัวเขาไหม？	ใช้<text style="79">[52500151]</text>บางทีอาจจะเจอตัวเขาก็ได้！	......	......	เจ้าคิดว่าจะหาตัว<text style="79">[52500087]</text>เจอง่ายๆเหรอ?ถ้ามันหาง่ายขนาดนั้น พวกเราก็เจอเขาตั้งนานแล้ว	สัมภาษณ์เขาไม่ได้ งั้นก็สัมภาษณ์ท่านเลยละกัน ตกลงไหม？	งั้นท่านมาหาถูกคนแล้ว เพราะข้าคิดว่า บนโลกใบนี้คงมีแต่ข้าเท่านั้นที่รู้จัก<text style="79">[52500087]</text>เป็นอย่างดี																																											
978	Figures：Drake Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ได้ยินมาว่าท่านนั่ง Fly Airship ไปที่เกาะกลางอวกาศ ทำให้ได้รู้จักกับ<text style="79">[52500407]</text>ใช่ไหม？เขาเป็นคนมีเสน่ห์ ใครๆก็อยากเข้าหา ฉะนั้นท่านไปลองถามเขาดูว่ามีเคล็ดลับอะไร！	ใช้<text style="79">[52500151]</text> เพื่อทำการสัมภาษณ์！	......	......	ความหล่อของข้ามันสามารถบันทึกลงใน field guide ได้ด้วยเหรอ？ ข้าว่านำความสามารถของข้าไปเขียนไว้ดีกว่า	Field guide เล่มนี้จะขาดชื่อท่านไปได้ยังอ่ะ！	พูดได้ดีมาก งั้นข้าจะบอกเคล็ดลับที่ทำให้ผู้คนชื่นชอบให้ฟัง！																																											
979	Figures：Siren Chapter		เดินทางไปที่<text style="79" path="151">[52500151]</text>แล้วทำการสัมภาษณ์ [Figures]	ข้าได้ยินข่าวน่าตื่นเต้นมาว่า มีคนพบ<text style="79"> Ocean Blue Witch [52500190]</text> ข้านึกว่ามีแต่เรื่องเล่า ไม่คิดว่ามันจะเป็นจริง งั้นท่านไปสัมภาษณ์เขาลง field guide ป่ะ 	ใช้<text style="79">[52500151]</text> เพื่อทำการสัมภาษณ์！	......	......	เจ้ามีเวลาว่างมากถึงมาสัมภาษณ์ข้าเหรอ！ทำไมไม่ใช้เวลาว่างไปกอบกู้โลกไรงี้ หืม！	ข้าคิดว่าสัมภาษณ์ท่านและจะได้ความรู้อ่ะ	ในเมื่อเจ้าอยากรู้จักข้า ข้าก็จะเล่าให้เจ้าฟัง และข้าก็ไม่ได้ดุร้ายอย่างที่เจ้าเคยได้ยินมา																																											
