n_ID	s_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1127	PFEMALE_2_1_LEAP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1128	PFEMALE_2_1_YELL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1129	PFEMALE_2_1_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1130	PFEMALE_2_2_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1131	PFEMALE_2_1_LEVELUP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1132	PFEMALE_2_1_FLEXNORMAL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1133	PFEMALE_2_1_FLEXRAIN	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1134	PFEMALE_2_1_FLEXSNOW	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1135	PFEMALE_2_1_INJURE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1136	PFEMALE_2_1_EMOTION_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1137	PFEMALE_2_1_EMOTION_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1138	PFEMALE_2_1_EMOTION_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1139	PFEMALE_2_1_EMOTION_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1140	PFEMALE_2_1_EMOTION_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1141	PFEMALE_2_1_EMOTION_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1142	PFEMALE_2_1_EMOTION_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1143	PFEMALE_2_1_EMOTION_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1144	PFEMALE_2_1_EMOTION_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1145	PFEMALE_2_1_EMOTION_009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1146	PFEMALE_3_1_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1147	PFEMALE_3_2_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1148	PFEMALE_3_1_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1149	PFEMALE_3_2_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1150	PFEMALE_3_1_LIGHTATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1151	PFEMALE_3_1_ATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1152	PFEMALE_3_1_HEAVYATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1153	PFEMALE_3_1_LIGHTKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1154	PFEMALE_3_1_KNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1155	PFEMALE_3_1_HEAVYKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1156	PFEMALE_3_1_LEAP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1157	PFEMALE_3_1_YELL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1158	PFEMALE_3_1_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1159	PFEMALE_3_2_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1160	PFEMALE_3_1_LEVELUP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1161	PFEMALE_3_1_FLEXNORMAL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1162	PFEMALE_3_1_FLEXRAIN	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1163	PFEMALE_3_1_FLEXSNOW	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1164	PFEMALE_3_1_INJURE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1165	PFEMALE_3_1_EMOTION_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1166	PFEMALE_3_1_EMOTION_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1167	PFEMALE_3_1_EMOTION_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1168	PFEMALE_3_1_EMOTION_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1169	PFEMALE_3_1_EMOTION_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1170	PFEMALE_3_1_EMOTION_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1171	PFEMALE_3_1_EMOTION_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1172	PFEMALE_3_1_EMOTION_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1173	PFEMALE_3_1_EMOTION_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1174	PFEMALE_3_1_EMOTION_009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
5001	1	1.03.0000	OUT	OUT	1.07.0000
