n_ID	s_Reward_Explain	s_TITLE	s_Content_1	s_Content_2	s_Content_3	s_Content_4	s_Content_5
401		Hammer of Judgment	อาวุธที่หลงเหลือจากสงคราม Empire of Mu ได้ถูกนักโบราญคดี Keesey ค้นพบ	แต่ในตอนที่ Keesey เดินทางกลับ ได้เจอเข้ากับพายุหมุนลูกใหญ่จึงทำให้เรือทุกลำที่มากับ Keesey สูญหาย	Hammer of Judgment ได้สูญหายไปพร้อมกับกัปตัน Keesey เหลือไว้เพียงข้อความจารึกของกะลาสี	แต่ในบันทึกของหอสังเกตการ ตอนเกิดเหตุนั้นไม่ได้มีพายุอะไรเลย ความจริงแล้ว ตอนนั้นเกิดอะไรขึ้น ก็ไม่มีใครสามารถทราบได้.....	Hammer of Judgment มีพลังของเทพ Nora Jana ที่ต้องการให้คนผิดได้รับกรรม
402		Poseidon servant	เครื่องแก้วที่เคยใช้ในงานฉลองของเทพโพไซดอน เนื่องจากได้รับพลังของโพไซดอน จะมีเหล้าที่หอมหวานออกมาเรื่อยๆ	เมื่อเทียบกับ Guawa family ที่ชื่นชอบในการดื่มเหล้าแล้ว นี่คือแรงดึงดูดอย่างหนึ่งเลยล่ะ พวกเขาต้องต่อสู้กันเพื่อเหล้าสิ่งนี้	และต่อมาเหล้านี้ก็หายไปอย่างไร้ล่องรอย รวมถึง Guawa family ก็แยกย้ายกันออกไป	ในช่วงหลังนี้ไม่ค่อยมีคนพบเห็น Guawa family แล้ว แต่สามารถพบเจอ Guawa family ได้ที่ที่มีเหล้า	เคยกินเหล้าของโพไซดอน ก็เหมือนคำสาปที่ติดตรึงพวกเขาตลอดไป
403		Ancyn Grip	เครื่องมือช่างในตำนานของ อาณาจักร Atlantis	เป็นเครื่องมือลึกลับของช่าง Ancyn ทำขึ้นในช่วงหลังสงคราม Empire of Mu	เครื่องมือนี้มีพลังของเทพธิดาแฝงอยู่ สามารถหลอมได้อาวุธที่มีอานุภาพสูง	ในตอนที่เกิดสงคราม Empire of Mu ได้ยืมพลังของเทพธิดาในการต่อสู้ ถือได้ว่าเป็นกบฏและจะต้องถูกลงโทษ	Ancyn ด้วยความรู้สึกผิด เขาจึงผนึกเครื่องมือของเขาไว้ตลอดกาล
404		Lydiana Melody	ฮาร์ปตัวโปรดขององค์หญิง เมื่อาณาจักรขององค์หญิงถูกรุกราน ราชาแห่งอาณาจักรถูกฆ่าตาย	องค์หญิงได้รับการสถาปนาให้ขึ้นเป็นผู้นำการต่อต้าน แต่องค์หญิงไม่ยอม	องค์หญิงจึงเรียกเหล้าทหารทั้งหมดมารวมตัวกัน และเล่นเพลงด้วยฮาร์ปอันนั้นจบ 1 เพลง แล้วทำการจบชีวิตตน	ทหารที่ได้ยินเสียงเพลง ได้ใช้ความศร้าโศก เป็นแรงกระตุ้น ทำการต่อสู้ซึ่งมากไปกว่าพลังของมนุษย์ธรรมดา และสามารถเอาชนะอาณาจักรที่เข้ามารุกรานได้	และฮาร์ปตัวโปรดขององค์หญิง Lydiana นั้น จึงกลายเป็นสัญลักษณ์ทางจิตวิญญาณ ไว้กระตุ้นเหล่าหทารผู้ภักดี
405		Treasure Hunter Bag	กระเป๋าเครื่องมือคู่หูของนักล่าสมบัติ Laura เธอพกมันมาตลอดตั้งแต่เธอเริ่มเป็นนักล่าสมบัติใหม่ๆ	กระเป๋าใบนี้สืบทอดมาจากบรรพบุรุษ และ Laura ก็หวังว่ากระเป๋าใบนี้จะถูกสืบทอดต่อๆไป ดั่งอุดมการณ์ที่ไม่เคยแปรผัน	เนื่องจากใช้มาเป็นเวลานาน และด้วยการใช้ประโยชน์ที่มากยิ่งขึ้น Laura เธอได้ปรังเสริมปรุงแต่งด้านในใหม่	ในกระเป๋าติดการสื่อสาร นักล่าสมบัติทุกๆคนสามารถเรียกหาเธอได้จากเครื่องนี้	Laura มักเดินทางบ่อยๆ ไม่แน่นะ ไปที่ที่เธอคึยไปอาจเจอเข้ากับสมบัติก็ได้
406		Night  Evilteeth	ร่างที่ถูกคำสาป เนื่องจากจะต้องดำรงชีวิตต่อ จึงต้องฆ่าสิ่งมีชีวิตตัวอื่นๆ	ซอมบี้พวกนี้เป็นเหล่ากะลาสีธรรมดาๆ วิญญาณของพวกเขาถูกคำสาป	Night Evilteeth เป็นของที่ระลึกของพวกมัน สิ่งนี้เป็นแก่นของคำสาปพวกเขาไม่สามารถหนีจากความฝันร้ายนี้ได้	แต่ในขณะเดียวกันพวกเขาก็โดนควบคุมโดยเขี้ยวของเขา และเขี้ยวนี้สามารถใช้ในการสื่อสารถึงกันและกันได้	ซอมบี้เหล่านี้มีความสามัคคี เพราะว่าพวกเขามีอุดมการณ์เดียวกันคือ สังหาร
407		Assault Boat Key	เพื่อทำการสำรวจ Empty Island อาณาจักร  Atlantis  จึงสร้าง Caille Fly Airship ขึ้นมา	และด้วยประสบการณ์ยังน้อย Navy Headquarter จะต้องเจอความยากลำบากหลายอย่างจึงจะสร้างมันขึ้นมาได้	แต่ว่าอุปกรณ์ติดตั้งยังไม่พร้อม ใช้พลังได้ไม่เต็มที่ จึงไม่สามารถโจมตีได้อย่างเสถียรในสงครามท้องฟ้า	นอกจากนี้แล้ว พลังในการบินก็ยังจำกัด ยังไม่สามารถบินสูงได้ตามที่ประมาณการไว้	Caille Fly Airship เป็นหนึ่งในอาวุธสงครามที่ประสบความล้มเหลว แต่เป็นที่ชื่นชอบของเหล่านักผจญภัย
408		Judge Certificate	เพื่อเป็นการตอบสนองสงครามระหว่าง Atlantis Empire of Mu จึงสร้างอาวุธชั้นยอดขึ้น เรียกว่า Nora Jana Sword	เป็นอาวุธที่ใช้ชื่อของเทพธิดา Nora Jana สามารถต่อกรกับศตรูได้อย่างสบาย เป็นอาวุธขับเคลื่อนที่ต้องบังคับ	นอกจากนี้แล้วตัวของมันเองยังมีอานุภาพสูง ด้วนพลังของมันสามารถทำลายกองทัพได้ในพริบตา	แต่ในขณะเดียวกัน อาวุธชิ้นนี้ก็เป็นจุดอ่อนของ Empire of Mu ถ้าอาวุธชิ้นนี้ถูกทำลาย อาณาจักรก็จะเกิดความพินาศทันที	ดาบที่อยู่ในมือของเทพธิดา คือประกาศวันตัดสินได้มาถึง Bard Poet Klec. Tatta
409		Poseidon Instrument		จากตำนานต่างๆ เราสามารถรู้ได้ว่า เทพในสมัยก่อนไม่เหมือนในปัจจุบันที่ต้องออกมาต่อสู้เอง แต่ปัจจุบันโลกเราอยู่ใต้หลักคำสอนทางศาสนาที่เป็นสิ่งที่ไม่สามารถทดสอบได้	Poseidon Instrument เป็นประตูข้ามผ่านห้วงเวลาและห้วงมิติ แต่สิ่งนี้สามารถใช้ได้เฉพาะเทพ หรือผู้ที่สามารถควบคุม [บาปกำเนิด] ได้เท่านั้น	ตามตำนาน [Poseidon Instrument] ปัจจุบันได้อยู่ในมือของ บุตรสาวของ Poseidon [Siren] และได้ถูกส่งต่อให้ [Sea Phantom] แต่ด้วยการช่วยเหลือจากผู้กล้าและทหารเรือบุตรสาวของ Poseidon จึงได้กลับมาดังเดิม	ได้ยินมาว่า เพื่อเป็นการตอบแทนผู้กล้าท่านนั้น จึงให้ Poseidon Instrument อีกอันหนึ่งซึ่งทำเลียนแบบขึ้น แต่เมื่อคิดถึงอำนาจของ Poseidon Instrument แล้ว เป็นเหตุการณืของโลกใดกันแน่นะ? เรื่องนี้ก็ยังไม่สามารถมีคนมาอธิบายได้...
501		Mithril Burner	ธูปหอมของเจ้าหญิงในอาณาจักรหนึ่ง มันทำให้เจ้าหญิงนอนหลับสบาย	ที่โชคร้ายก็คือการถือกำเนิดของสงคราม ดินแดนถูกกลืนกินทีละน้อยๆจนกระทั่งอาณาจักรสูญสิ้น	ราชาพาเจ้าหญิงและธูปหอมนั้นหลบหนี ทหารฝ่ายศตรูตาล่ายังไงก็หาไม่พบ สุดท้ายก็หายตัวไปอย่างไร้ร่องรอย	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
502		White Beard Pipe	White Beard Pipe เนื่องจากการใช้ด้วยความถนุถนอมมานานแสนนาน จึงได้รับพรจากเทพ ทำให้สิ่งนี้มีพลังแห่งเทพแฝงอยู่	ในตำนานกล่าวว่า เมื่อปล่อยอานุภาพถึงขีดสุด มีอยู่ครั้งหนึ่งมันสามารถกำจัดเรือของทหารเรือได้ในพริบตา!	ตามกาลเวลาที่ผ่านพ้นไป พลังของมันก็เริ่มลดลงลดลงเรื่อยๆ...จนหมด	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
503		Pearlshell Conch	อยู่ในทะเลลึกทางเหนือค่อยๆก่อตัวเป็นหอย มีพลังแห่งความเย็น สามารถขับไล่ศัตรูได้	หอนนี้ได้ถูก Yarrow นักผจญภัยชื่อดังพบเจอ และในขณะเดียวกับเขาสามารถหาวิธีการใช้ใหม่ๆได้ทันที	สามารถใช้เมื่อเวลาง่วงในตอนทำงาน นำมาแตะที่หน้าเพื่อความสดชื่น	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
504		Destiny Triangle	นี่คือสามเหลี่ยมที่เทพธิดาหลงเหลือไว้ ตำนานกล่าวว่าสิ่งนี้สามารถเพิ่มพลังให้กับสมบัติ และเพิ่มความกล้ากาญได้	เนื่องด้วยเหตุผลที่ไม่ทราบแน่ชัด ทำให้เกิดการเปลี่ยนแปลง และเริ่มมีพลัง	นี่จะต้องไม่ใช่สิ่งที่เกิดขึ้นตามธรรมชาติอย่างแน่นอน!	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
505		Remains Skull	เมื่อมีการบูชายัน จะใช้ส่วนกระโหลกของสิ่งมีชีวิตทำการบูชา	แม่มดอาวุโส จะใช้กระดูกของสัตว์ร้ายในการบูชายัน และรับพลังอันแข็งแกร่ง	เมื่อเวลาผ่านไป แม่มดก็ได้เหือดหาย เหลือไว้เพียงแต่แท่นบูชาเก่าแก่	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
506		Exorcise Bell	เมื่อเขย่าจะมีเพียงแค่มนุษย์ที่มีควาเชื่อเท่านั้นที่ได้ยิน	ได้ยินมาว่า เป็นเสียงจากสวรรค์ ทำให้มนุษย์หลงไหลและไม่สามารถควบคุมตัวเองได้	กริ๊ง～กริ๊ง～กริ๊ง～ได้ยินเสียงนั้นหรือยัง?	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
507		Imprisonment Of Light	ในตำนานกล่าวว่ายังมีพื้นที่มากมายบนโลกที่ซ่อนโลกแห่งความมืดเอาไว้ สิ่งมีชีวิตในนั้นต่างก็ใช้พลังแห่งวิญญาณ	พลังแห่งวิญญาณสามารถเสริมสถานะให้แก่ตนเองได้ แต่ว่าก็มีจุดอ่อนของมันอยู่	ช่างในโลกมืดนั้นจึงสร้าง Imprisonment Of Light ขึ้นมา สามารถกักเก็บพลังวิญญาณไว้ เพื่อตัดจุดอ่อนนั้นออกไป	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
508		Exorcise Whip	รองเท้าที่ใช้ไม้ศักดิ์สิทธิ์ทำขึ้น มีความสามารถในการขับไล่ปีศาจ อีกชื่อหนึ่งเรียกว่า Exorcise Whip	แต่เนื่องจากน้ำหนักของมันมาก ผู้กล้าที่ได้ใช้รองเท้านี้จึงกลายเป็นผู้กล้าชื่อดัง	ต่อมาจึงมีประโยคที่พูดกันติดปากว่า: คนที่มี Exorcise Whip จะต้องเป็นผู้กล้าทรงพลังอย่างแน่นอน!	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
509		Luminous Fruit	ผลไม้ที่ส่องแสงในตอนกลางคืน มีพลังศักดิ์สิทธิ์	คำเล่าขาลจากนักกวี: Luminous Fruit หรือผลไม้แห่งเทพ ใครที่มีไว้ในครอบครองจะได้รับพร	สามารถทำให้เป้าหมายได้รับความเสียหายจากแสง มีผลอย่าหนักต่อศัตรูที่เป็นธาตุวิญญาณ	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
510		Holy Cross Syringe	ผู้ที่มีคำอวยพรจากไม้กางเขน ไม่ต้องกลัวความเจ็บที่เกิดขึ้นจากดาบอีกต่อไป อาจมีพลังที่ยังไม่รู้จักมากกว่านี้	ยาที่คิดค้นขึ้นจากคนในสมัยก่อน ที่อ้างตัวว่าเป็นแรงบันดาลใจของพระเจ้า ต้องการล้างผู้คนบนโลกให้หมดไป	ผู้ที่เชื่อในพระเจ้าเท่านั้นจึงจะมีชีวิตรอด และผู้ที่ได้รับพรจะปลอดภัยจากการโจมตีทุกสิ่ง	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
511		Night Candelabrum	ปีศาจแห่งความมืด เป็นสัตวร้ายที่ออกหากินตอนกลางคืน ชอบดูดวิญญาณของคนที่มีจิตอ่อนแอ	บันทึกในวิหาร ราชาปีศาจแห่งความมืดมีแท่นเทียนลึกลับอยู่อันหนึ่ง สามารถเรียกปีศาจที่อยู่ในบริเวณนี้ได้	Night Candelabrum ไม่ได้จุดด้วยไฟ แต่จุดด้วยวิญญาณ!	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
512		 Muse Umbrella	ร่มธรรมดาที่สามารถกันฝนได้ ส่วนร่มที่มีพลังของเทพสามารถนำมาทำเป็นโล่ได้	ครั้งสมัยโบราญอาณาจักรหนึ่งได้ถูกจู่โจมด้วยดาวตก เมื่อาณาจักรใกล้จะสูญสิ้น Muse ได้ใช้ร่วมที่มีพลังเทพป้องกันอาณาจักรนี้ไว้	Muse Umbrella เป็นเกาะป้องกันที่ไม่สามารถทำลายได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
513		Double Dragon Guard	เสียสละตนเองเพื่อนผลึกความชั่วร้ายไว้ทางตอนเหนืออันห่างไกล ทิ้งไว้แต่บาเรียมังกรคู่	ในตอนที่บาเรียมังกรคู่นั้น สามารถคุ้มครองภัยได้ทุกอย่าง แต่ความจริงการคุ้มครองคือการลดพลังของบาเรียนั่นเอง	ทำให้ความชั่วร้ายไม่สามารถทะลุเกราะนี้ออกมาได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
514		Destroy Atom	ส่วนประกอบที่มีพลังสูง กลายพันธุ์มากจากพลังแห่งแสง	ตอนที่พบเจอเป็นตอนที่มันกำลังเริ่มทำลายล้างสิ่งแวดล้อมรอบๆ ในเวลานั้นมีผู้กล้ายอมสละตนเข้าไปหยุดยั้งมัน	แต่ผู้กล้าคนนั้นไม่ตาย แต่กลับได้พลังที่แข็งแกร่งมา และสิ่งนั้นก็ถูกทำลาย	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
515		Cold Ice Crystal	คริสตัลน้ำแข็งที่เกิดในพื้นที่หนาวเย็น เกิดจากการจับตัวของน้ำแข็งที่ยาวนาน	ที่แท้เป็นเพราะสภาพอากาศที่ทำให้การเคลื่อนไหวของสิ่งมีชีวิตที่นี่เปลี่ยนไป	มีผลในการฟื้นฟูสิ่งแวดล้ม เคยมีคนที่ได้ใช้ Will กล่าวว่า: บนโลกนี้มีทุกอย่าง	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
516		Seven Sea Pearl	ไข่มุกที่สาวใช้จองโพไซดอนเลี้ยงดูมา	ดูดซับแก่นแท้ในทะเลแต่ละพื้นที่	ตำนานกล่าวว่าหากได้ลูบมุกนี้จะได้รับการถ่ายทอดประสบการณ์	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
517		Paine Bottle	ได้ยินมาว่าเป็นขวดเหล้าที่ Paine พกติดตัว	สิ่งเย้ายวน Guawa family เพื่อป้องกันไม่ให้แก้วนนี้โดนขโมย Paine จึงคิดวิธี	สุดท้ายเขาได้รับความช่วยเหลือจากพ่อมด โดยการเพิ่มการรับรู้และสัมผัสเข้าไป แต่สุดท้ายก็ทำมันหายไป	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
518		Thorough Eye	แว่นกันลมที่สามารถใส่แล้วมองเห็นได้ชัดเจน	สามารถปกป้องดวงตาท่านได้อย่างดี มองเห็นชัดเจน	การประหยัดคือการได้รับอย่างหนึ่ง กล่าวโดย Jack	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
519		Chic Cap	ก่อนหน้านั้นมีหนุ่มคาวบอยคนหนึ่งเรียกตัวเองว่า Handsome ถึงแม้ว่าชื่อเขาจะดูเหมือนไม่ค่อยเข้าท่าเท่าไหร่นัก แต่ก็ไม่เกี่ยวกับฝีมือหรอก	มีอยู่วันหนึ่งเขาเดินผ่านซอยๆหนึ่ง ได้เจอเข้ากับโจรชิงทรัพย์ และเขาได้ช่วยเอาไว้	ทุกคนในซอยนั้นต่างก็ขอบคุณ และให้หมวกใบใหม่แก่เขา จากนั้นเขาก็ใส่หมวกนี้มาโดยตลอด	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
520		Judgment Pen	ในตำนาน Angel of Death จะใช้ปากกานี้ ตัดสินบาปของวิญญาณที่เพิ่มมาใหม่	ในการตัดสินนักโทษในโลกก็ใช้แท่งนี้เช่นกัน	ได้ยินมาว่าคนที่สามารถควบคุม [บาปกำเนิด] ได้ ก็สามารถใช้พลังนี้ได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
521		Meager Bag	เรื่องราวสมบัติ 29-1	เรื่องราวสมบัติ 29-2	เรื่องราวสมบัติ 29-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
522		Globe	เรื่องราวสมบัติ 30-1	เรื่องราวสมบัติ 30-2	เรื่องราวสมบัติ 30-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
523		Land Seed	เรื่องราวสมบัติ 31-1	เรื่องราวสมบัติ 31-2	เรื่องราวสมบัติ 31-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
524		Magic Hat	เรื่องราวสมบัติ 32-1	เรื่องราวสมบัติ 32-2	เรื่องราวสมบัติ 32-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
525		Different World Record	เรื่องราวสมบัติ 33-1	เรื่องราวสมบัติ 33-2	เรื่องราวสมบัติ 33-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
526		Alert Cylinder len	เรื่องราวสมบัติ 34-1	เรื่องราวสมบัติ 34-2	เรื่องราวสมบัติ 34-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
527		Pandora Box	เรื่องราวสมบัติ 35-1	เรื่องราวสมบัติ 35-2	เรื่องราวสมบัติ 35-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
528		Magic Cube	เรื่องราวสมบัติ 36-1	เรื่องราวสมบัติ 36-2	เรื่องราวสมบัติ 36-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
529		Different Lampstand	เรื่องราวสมบัติ 37-1	เรื่องราวสมบัติ 37-2	เรื่องราวสมบัติ 37-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
530		Energy Crystal	เรื่องราวสมบัติ 38-1	เรื่องราวสมบัติ 38-2	เรื่องราวสมบัติ 38-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
531		Compass Success 	เรื่องราวสมบัติ 39-1	เรื่องราวสมบัติ 39-2	เรื่องราวสมบัติ 39-3	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้	ตัวหนังสือเลือนลาง ไม่สามารถระบุได้
1001		Falling Sun Treasure Map	ตามคพกล่าวของคนในสมัยโบราญ เมื่อก่อนมีดวงอาทิตย์ 2 ดวง ดวงที่ 1 ถูกมือปืนคนหนึ่งยิงตกลงมาที่เกาะนี้ ที่ลงมาด้วยก็คือชาวประชาที่อยู่บนดวงอาทิตย์ดวงนั้น	ซากปรักหักพังของอารยธรรมโบราณในป่า หลายปีมาแล้วที่ไม่มีคนพบเห็น จนกระทั่งมีนักล่าสมบัติที่ไม่กลัวความตายย่างก้าวเข้ามา	ได้ยินมาว่า ผู้คนที่อยู่บนดวงอาทิตย์นั้นยังมีชีวิตเหลือรอด และได้มาแต่งงานกับคนบนโลก จึงสืบทอดเชื้อสายมาถึงปัจจุบัน	ด้านนอกของวังมี Sky Hometown Chronicle ซ่อนอยู่ ได้ยินมาว่า ก่อนคนจะตายจะต้องมาทำจารึกไว้ที่นี่	เจ้าของที่นี่จริงๆแล้วเป็นราชาของ Empire of Mu เขากลับไปยังเมืองท้องฟ้าไม่ได้แล้วจึงขังตนเองไว้ที่นี่ รอวันตาย
1002		Bastille Prison Treasure Map	เหตุการณ์ดันเจี้ยน 2-1	เหตุการณ์ดันเจี้ยน 2-2	เหตุการณ์ดันเจี้ยน 2-3	เหตุการณ์ดันเจี้ยน 2-4	เหตุการณ์ดันเจี้ยน 2-5
1003		Poseidon Hall Treasure Map	ราชาโจรสลัด Jason ต้องการเอาอกเอาใจราชินี Medea จึงสร้างวังสีทองอร่ามนี้ขึ้น	Medea ไม่ชอบในความเจ้าชู้ของ Jason นางจึงคิดว่า Jason ชอบพาผู้หญิงอื่นเข้ามาในวัง เพียงแค่หาหลักฐานไม่เจอเท่านั้น จึงได้แค่อาละวาดใส่เขา	ในวังมีคลังทอง ไว้ใช้เก็บสิ่งของมีค่าของ Medea บางครั้งนางก็จับได้ว่า Jason แอบเข้าไปทำอะไรในนั้น จึงขัง Jason ไว้ในนั้นเพื่อลงทษ	ได้ยินมาว่า Jason เคยแอบ Medea พาผู้หญิงมาซุกไว้ในวังเป็นนางสนม	ใน Poseidon Hall นอกจาก Jason จะดูแลที่นี่แล้ว ยังมีทหารคนสนิดของ Medea ดูแลอีกด้วย ใครคิดจะเข้ามาก็หวังไปซะเถอะ
1004		Kraken Lair Treasure Map	Silver Harbou บนน้ำแข็ง มีถ้ำลับที่เข้าสู่ทะเลลึก คนที่รู้มีเพียงไม่กี่คนเท่านั้น คนที่เข้าไปไม่เคยมีใครได้ออกมา	ไม่มีใครสามารถพบเจอถ้ำนั้น ได้ยินมาว่า ในนั้นมีแมลงแห่งความตายอยู่ มันกลืนกินคนได้ทั้งตัว	ที่นี่เป็นที่อยู่ของ Kraken และสัตว์เขตหนาว คนที่ไม่มีความสามารถหลงเข้าไปเป็นเหยื่ออย่างเดียว	ได้ยินมาว่าในถ้ำลึก มีเกาะเล็ก 1 เกาะ บนเกาะมีคริสตัสหลากสีสวยงามประดับไว้ทั่ว และมีนักล่าสมบัติหลายต่อหลายคนเสียชีวิตที่นี่	ใต้ดินนั้นเปราะบางมาก หากเดินย่ำเท้าก็จะเกิดการร่วนของดิน หากใครต้องการมาผจญภัยที่นี่ก็ต้องไวหน่อยล่ะ
1005		Doom Church Treasure Map	ชั้นกลางของ Deep Sea Temple เป็นที่สำหรับบูชายัน เมื่อกองทัพ Skeleton บุกรุก จึงกลายเป็นเหตุการณ์สำคัญ	Empire Armoured Car เป็นอาวุธที่ทหารเรือพัฒนาขึ้น แต่ด้วยความรุนแรงของมัน จึงเป็นอาวุธต้องห้าม และถูกปิดตายเอาไว้	กองทัพ Skeleton เคยได้ยึดหัวหาด Doom Church ได้	Seabed Crusader รู้อยู่แล้วว่า พวกมันต้องการ Doom Church แต่ก็ทำอะไรไม่ได้	เหล่าผู้ลี้ภัยที่อยู่ใน Deep Sea Temple หลายเป็นภาระ และตกเป็นอาหารอัรโอชะของเหล่า Skeleton
1006		Hell Trial Treasure Map	ในวันตัดสิน ประตูสู่นรกถูกเปิดออกให้เป็นเส้นทางของปีศาจ	นรกคือโลกของ Angel of Death เนื่องจากวันตัดสินล้มเหลวลง จึงต้องทำให้เขาลงไปอยู่ระดับที่ต่ำกว่า	เมื่อขาดอำนาจการควบคุมจาก Angel of Death แล้ว ก็เกิดความวุ่นวายขึ้นอย่างโกลาหล	คนครึ่งปีศาจ Dante เขามองเห็นคนฆ่ากันเอง ปีศาจฆ่าสัตว์ประหลาด ไม่ว่าท่านจะเป็นใคร ทางที่ดีที่สุดคืออย่าเข้าใกล้	ลาวาที่เดือดดาลในนรก สำหรับนักผจญภัยแล้ว นี่คือกับดักที่อันตรายที่สุด
1007		Skyfire Tower Treasure Map	ในวันตัดสิน ประตูสู่นรกถูกเปิดออกให้เป็นเส้นทางของปีศาจ	อาวุธที่ยอกเยี่ยมในตำนานที่มีชื่อว่า Nora Jana Sword เพียงแค่ยิงไปถึง Skyfire ก็สามารถทำให้หล่นลงมาได้แล้ว	Skyfire Tower ทุกๆที่จะติดกลไกลไว้ป้องกันไม่ให้คนอื่นเข้าใกล้ อาจเป็นเทคโนโลยีที่ทันสมัยในเวลานั้น	ทหารเรือและโจรสลัดหวังที่จะครอบครอง Skyfire Tower แต่ไม่ว่าใครจะแพ้หรือชนะ นั่นคือจุดเริ่มต้นของภัยพิบัติ	Nora Jana Sword ถึงแม้ว่าจะเป็นอาวุธที่ไร้เทียมทาน แต่ความช้า คือจุดอ่อนของมัน
1008		Rough Sea Fortress Treasure Map	มีอยู่ช่วงหนึ่งในอดีตโจรสลัด มีการแบ่งดินแดน เรียกว่าปีปีแห่งการแบ่งแยก	และกลุ่มโจรสลัดที่แข็งแกร่งที่สุด [Leviathan] ที่เคยปล้น ฆ่า และบุกรุกเมืองมาหลายเมือง เกาะของพวกเขาเป็นเกาะไร้พ่าย	และในขณะที่พวกเขากำลังมองหาบางอย่าง เขาได้เจอเข้ากับเทคโนโลยี Fly Airship แต่กลับกลายเป็นอาวุธล้มเหลว	เมื่อ [Leviathan] ถึงคราวล่มสลาย สงครามนี้เกิดเพราะ Fly Airship นี้ ถูกลืมมานานหลายศตวรรษแล้ว	แต่ในปัจจุบันเริ่มมีการพูดถึงเรื่องนี้ในกลุ่มโจรสลัด จึงทำให้เกิดความน่าสนใจขึ้นอีกครั้ง พวกเขาอยากจะได้ที่นั่นเป็นฐานทัพ
