n_ID	s_CONTENT	s_Summary	s_HowToDo
3005	ถาดหลอมคริสตัล	การใช้ถาดหลอมสามารถผลิตผลึกฝังประดับได้ จะต้องใช้ผลึกและส่วนบำรุงในการหลอม	เมื่อเลเวลตัวละครถึงจำนวนที่กำหนด สามารถไปคุยกับ<text style="73" path="799">[52500799]</text>ที่ Port Royal จะได้รับข้อมูลเกี่ยวกับถาดหลอม สามารถเปิดหน้าต่างนี้จาก【เมนูหลัก】 ได้เช่นกัน<br/>อธิบาย: <br/>(1) ฟังก์ชั่นหลอมผลึกจะเปิดใช้เมื่อตัวละครเลเวลถึงกำหนด หรือสามารถใช้คุกกี้หรือแต้มร้านค้าในการเปิดใช้ก่อนได้<br/>(2 )ลากผลึกในกระเป๋าลงในช่องหลอม<br/>(3) ผลึกจะดูดซับส่วนบำรุงมาเพิ่มเลเวล สามารถคลิกช่องผลึกเพื่อรับผลึก ส่วนบำรุงจะแสดงอยู่ในช่องหลอม
3010	แต้มสกิล	แต้มที่ต้องการในการเรียนสกิลและอัพเลเวลสกิล	สามารถสะสมแต้มได้จากการตีมอนสเตอร์และทำเควส ฆ่ามอนสเตอร์ที่มีระดับสูงเท่าไหร่แต้มที่ได้รับก็ยิ่งสูงเท่านั้น
3011	เรียนสกิล	ใส่แต้มสกิล สามารถเรียนสกิลอาชีพหลักและอาชีพรองได้	สามารถไปหา <text style="73" path="164">[52500164]</text> ที่ Port Royal เพื่อเรียนสกิล อาชีพและเลเวลตัวละครต่าง สกิลที่สามารถเรียนได้ก็ต่างกัน
3012	สกิลเพื่อน	จะต้องใช้ค่าความสนิทระหว่างเพื่อนในการเรียนสกิลนี้	เมื่อค่าความสนิทถึงระดับหนึ่งแล้ว สามารถเรียนสกิลอื่นๆเพิ่มได้ ไปคุยกับ <text style="73" path="164">[52500164]</text> ที่อยู่ใน Port Royal เพื่อเปิดฟังก์ชั่นเรียนสกิล และเปลี่ยนไปยังหน้า【สกิลเพื่อน】 เพื่อทำการเรียนสกิลได้ทันที
3013	ใช้สกิล	เลือกเป้าหมายแล้ใช้สกิล	ผู้เล่นสามารถย้ายสกิลจากหน้าสกิลลง【แถบคีย์ลัดสกิล】 และกดคีย์ลัดเพื่อใช้สกิล แถบคีย์ลัดสกิลสามารถใส่สกิลตำแหน่งพิเศษได้ 3 สกิลเท่านั้น
3020	วิธีการเปิด	ดันเจี้ยนเป็นฉากผจญภัยที่มีความยากมากที่สุด ผู้เล่นสามารถมาท้าทายความสามารถของตนเองได้ที่นี่	ไปหา <text style="73" path="165">[52500165]</text> ที่ Port Royal สามารถเปิดตัวเลือกดันเจี้ยนและเข้าดันเจี้ยนได้
3021	ความคืบหน้าดันเจี้ยน	เมื่อลงดันเจี้ยนระดับสูงแล้วระบบจะทำการรีเฟรชเวลา และจะต้องรอระยะหนึ่งเพื่อเริ่มเล่นใหม่ได้อีกครั้ง	ผู้เล่นสามารถคลิกขวาที่สถานะตัวละคร และคลิก【รีเซ็ทความคืบหน้าดันเจี้ยน】 เพื่อตรวจสอบความคืบหน้าดันเจี้ยนและคลิก【รีเซ็ท】 เพื่อรีเซ็ทดันเจี้ยน
3022	คิดคะแนนและสรุป	เมื่อเล่นจบดันเจี้ยนแล้วระบบจะคิดคะแนนและรางวัลดันเจี้ยน คะแนนมากเท่าไหร่คุณภาพของรางวัลก็ดีเท่านั้น	ในแต่ละดันเจี้ยนจะมีการคิดคะแนนต่างกัน เมื่อเข้าดันเจี้ยนสามารถเห็นเงื่อนไขการสรุปคะแนนได้ทางด้านขวาในหน้าติดตามดันเจี้ยน ยิ่งทำตามเงื่อนไขได้เยอะเท่าไหร่ คะแนนที่ได้รับในตอนสุดท้ายก็ยิ่งเยอะเท่านั้น
3023	จำนวนดาวดันเจี้ยน	แสดงระดับความยากของดันเจี้ยน ดาวยิ่งเยอะเท่าไหร่ความยากก็ยิ่งสูงเท่านั้น 	การผ่านดันเจี้ยนที่มีระดับดาวสูง สามารถได้รับรางวัลที่มีคุณภาพสูง แต่ระดับดาวสูงความยากก็สูงขึ้น ผู้เล่นสามารถเข้าตามการแนะนำเลเวลและใช้อาวุธที่มีคุณภาพดีเพื่อผ่านดันเจี้ยนที่มีระดับดาวสูงได้
4000	ออกทะเล	ผู้เล่นสามารถขึ้นเรือและทำภารกิจเหตุการณ์พิเศษได้ และสามารถไปยังเกาะต่างๆได้อีกด้วย	เมื่อตัวละครเลเวลถึง【30】 และทำภารกิจพิเศษ สามารถไปคุยกับ <text style="73" path="156">[52500156]</text> Port Royal เพื่อออกทะเล<br/>เมื่อออกทะเลแล้วผู้เล่นสามารถไปยังเกาะต่างๆได้ หรือใช้คำสั่งเดินเรือเพื่อสร้างเหตุการณ์สำคัญในทะเล เหตุการณ์จะสุ่มเกิดขึ้น เช่น ดันเจี้ยนเรือโจรสลัด, Tornado, Kraken เป็นต้น
4001	คำสั่งเดินเรือ	ใช้คำสั่งพิเศษในทะเล ใช้ในการสำรวจ, เข้าเกราะ หรือดูข่าวกรองเรือ	อธิบายคำสั่ง: <br/>(1) สอดส่อง: ใช้ค่าขวัญที่ต้องการ สามารถเก็บของได้ และยังมีโอกาสเจอหมู่เกาะสมบัติอีกด้วย<br/>(2) ข่าวกรองเรือ: สามารถดูข้อมูล, ค่าขวัญ,ความเร็วเรือและประเภทเรือเป็นต้น<br/>(3) Guild Island : เมื่อทำตามเงื่อนไขการเข้า Guild Island  สามารถกดปุ่มนี้เพื่อเข้าสู่ Guild Island ได้
4002	ย้อมสีเรือ	เรือส่วนตัวสามารถย้อมสีได้เหมือนอุปกรณ์รูปลักษณ์ ผู้เล่นสามารถใช้【สีย้มอเรือส่วนตัว】 ทำการย้อมได้	เมื่อตัวละครทำภารกิจที่เกี่ยวข้องสำเร็จและได้รับเรือแล้ว สามารถเปิดหน้าเปลี่ยนสีได้กับ <text style="73"> [52300001] </text> ที่อยู่ใน <text style="73" path="167">[52500167]</text> อธิบาย: <br/> (1)สามารถเลือกสี แดง เขียว และฟ้า 3 สีนี้ในการย้อมสิ่งที่ต้องการ และกด [ยืนยัน] สามารถเปลี่ยนสีได้ทันที<br/> (2) Color Paint ที่ต่างกันสามารถเลือกขอบเขตของสีได้ต่างกัน หากอยู่นอกขอบเขต สีที่เลือกจะแสดงให้เห็น แต่ไม่สามารถนำมาใช้จริงได้<br/> (3)คลิก [ยืนยัน] 1 ครั้ง จะเป็นการใช้ Color Paint 1 อัน<br/>
5000	แลกเปลี่ยนระหว่างผู้เล่น	ทำการซื้อขายในเกมระหว่างผู้เล่น	ทำการซื้อขายกันเพื่อนอย่างไร: คลิกขวาที่ไอเทมในกระเป๋าหรือลากไอเทไปยังพื้นที่แลกเปลี่ยนของตนเอง；ใส่จำนวนเงินลงในช่องเงิน  คลิก【ล็อก】 จากนั้นคลิก【รับ】 การแลกเปลี่ยนเสร็จสิ้น กรุณาตรวจสอบให้ละเอียดก่อนกดแลกเปลี่ยน 
5010	ร้านค้า	คุยกับ NPC ร้านค้าเพื่อเปิดร้านค้าและทำการซื้อขาย	ซื้อขายกับร้านค้าอย่างไร: คลิกขวาที่ไอเทมหรือลากไอเทไปยังพื้นที่แลกเปลี่ยน จากนั้นใส่จำนวนที่ต้องการ คลิก【ซื้อ】 หรือ【ขาย】 การแลกเปลี่ยนเสร็จสิ้น กรุณาตรวจสอบให้ละเอียดก่อนกดแลกเปลี่ยน
5011	สถานที่แลกเปลี่ยนราชวงศ์	ผู้เล่นสามารถนำไอเทมมาประมูนที่นี่ได้ หรือมาเลือกซื้อสินค้าที่ผู้เล่นอื่นประมูลได้ที่นี่	เมื่อเลเวลตัวละครถึง 26 สามารถไปหา <text style="73" path="163">[52500163]</text> ที่ Port Royal  เพื่เปิด Royal Exchange และสามารถซื้อขายใน Royal Exchange ได้
5012	ฝากขายไอเทม	การดำเนินการในRoyal Exchangeสามารถฝากขายไอเทมได้	คลิกขวาที่ไอเทมในกระเป๋าหรือลากไอเทไปยังพื้นที่แลกเปลี่ยนของตนเอง ใส่ราคา, จำนวน และเวลาจากนั้นค่าคุ้มครองที่ต้องจ่ายจะแสดงขึ้น หากมีเงินพอค่าคุ้มครอง ให้เลือก【ยืนยันการวางขาย】 สามารถวางขายได้ทันที เมื่อขายของได้แล้วจะหักค่าธรรมเนียม และคืนค่าคุ้มครองที่ถูกค่าธรรมเนียมไปแล้วให้
5013	แลกเปลี่ยนใบไม้ทอง	ｘｘ	ｘｘ
5020	รับแต้มร้านค้า	ｘｘ	ｘｘ
5021	ซื้อไอเทมในร้านค้า	ผู้เล่นสามารถใช้แต้มร้านค้าหรือคุกกี้เพื่อซื้อไอเทมได้	สามารถกด【B】 เพื่อเปิด <text style="73" openui="Itemmall_Main">ร้านค้า</text> การเปิดครั้งแรกจะต้องใส่ รหัสลับ (รหัสที่ตั้งตอนสร้างตัวละคร) เมื่อเลือกเปลี่ยนเป็นหน้า【ขายดี】 และ【สินค้า】 ให้คลิกปุ่ม【รวม】 เมื่อออกจากหน้านี้แล้ว สามารถเลือกเพื่อนในหน้าต่างรายชื่อเพื่อน เพื่อส่งไอเทมไปให้เพื่อนคนที่เลือก คลิก【มอบของขวัญ】 หรือ【ซื้อ】 จะเสร็จสิ้นการซื้อขายทันที
5022	คลังร้านค้า	เมื่อซื้อของในร้านค้า ไอเทมจะเข้าไปอยู่ในคลังร้านค้า	เปิด <text style="73" openui="Itemmall_Main">ร้านค้า</text> แล้ว คลิกปุ่ม【คลังร้านค้า】 ที่อยู่ทางด้านล่างขวาสามารถเปิด【คลังร้านค้า】 ได้ ลากไอเทมในคลังหรือคลิกขวาเพื่อนำของลงในกระเป๋าแล้วถึงจะใช้ไอเทมได้
6000	 Field Guide 	ชิ้นส่วน Field Guide ที่หล่นลงมายังโลก แต่ละชิ้นส่วนสามารถหาได้ในสถานที่ที่ต่างกัน	เมื่อตัวละครถึงเลเวลที่กำหนดแล้ว สามารถไปหา <text style="73" path="248">[52500248]</text>ที่ Port Royal เพื่อรับข้อมูล Field Guide  สามารถกด【N】 เพื่อเปิด Field Guide ได้ หรือเปิดผ่านทาง【เมนูหลัก】 ก็ได้<br/>คลิกขวาใช้ไอเทมชิ้นส่วนเพื่อใช้ จะปรากฏตำแหน่ง Field Guide ที่ต่างกัน เมื่อสะสม Field Guide ครบจะได้รับรางวัล
6010	หมักเหล้า	ฟังก์ชั่นหมักเหล้าสามารถผลิตไอเทมเพิ่มความสามารถชั่วคราวให้ตัวละครได้	เมื่อตัวละครถึงเลเวลที่กำหนดแล้ว สามารถไปหา <text style="73" path="9026">[52509026]</text>ที่ Guild Island  เพื่อรับข้อมูลการหมักเหล้าและเปิดหน้าห้องเก็บเหล้า\nคลิกซ้ายที่ช่องที่เปิดในห้องเก็บเหล้า เพื่อดูตารางสูตรหมักเหล้า และเลือกเหล้าที่ต้องการหมัก【 Fruit Wine】,【 Special Wine】,【Flavour Wine】 อีกครั้ง และเลือกภาชนะกับวัตถุดิบจากนั้นคลิกปุ่ม【หมักเหล้า】 และรอเวลาการหมักเหล้า เมื่อหมักเสร็จจะได้รับไอเทมทันที
