n_ID	s_TITLE_BUFF	s_DESCRIPTION	s_CACULATE
18050	Refined	เมื่อค่าว่องไวถึง $AGI_CHECK อัตราคริติคอลเพิ่มขึ้น 0.08	AGI_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18051	Graceful	เมื่อค่าว่องไวถึง $AGI_CHECK อัตราคริติคอลเพิ่มขึ้น 0.12	AGI_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18052	Extreme	เมื่อค่าว่องไวถึง $AGI_CHECK อัตราคริติคอลเพิ่มขึ้น 0.2	AGI_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18053	Good	เมื่อค่าว่องไวถึง $AGI_CHECK มองข้ามการป้องกันเพิ่มขึ้น 1%	AGI_CHECK(3); ADD_BYPASS(1)
18054	Refined	เมื่อค่าว่องไวถึง $AGI_CHECK มองข้ามการป้องกันเพิ่มขึ้น 2%	AGI_CHECK(3); ADD_BYPASS(1)
18055	Graceful	เมื่อค่าว่องไวถึง $AGI_CHECK มองข้ามการป้องกันเพิ่มขึ้น 3%	AGI_CHECK(3); ADD_BYPASS(1)
18056	Extreme	เมื่อค่าว่องไวถึง $AGI_CHECK มองข้ามการป้องกันเพิ่มขึ้น 4%	AGI_CHECK(3); ADD_BYPASS(1)
18057	Good	เมื่อค่าว่องไวถึง $AGI_CHECK อัตราสังหารเพิ่มขึ้น 1%	AGI_CHECK(3); ADD_OVERHIT(1)
18058	Refined	เมื่อค่าว่องไวถึง $AGI_CHECK อัตราสังหารเพิ่มขึ้น 2%	AGI_CHECK(3); ADD_OVERHIT(1)
18059	Graceful	เมื่อค่าว่องไวถึง $AGI_CHECK อัตราสังหารเพิ่มขึ้น 3%	AGI_CHECK(3); ADD_OVERHIT(1)
18060	Extreme	เมื่อค่าว่องไวถึง $AGI_CHECK อัตราสังหารเพิ่มขึ้น 4%	AGI_CHECK(3); ADD_OVERHIT(1)
18061	Good	เมื่อค่าว่องไวถึง $AGI_CHECK เพิ่มอัตราแม่นยำ 4%	AGI_CHECK(3); ADD_HITRATE(2)
18062	Refined	เมื่อค่าว่องไวถึง $AGI_CHECK เพิ่มอัตราแม่นยำ 6%	AGI_CHECK(3); ADD_HITRATE(2)
18063	Graceful	เมื่อค่าว่องไวถึง $AGI_CHECK เพิ่มอัตราแม่นยำ 10%	AGI_CHECK(3); ADD_HITRATE(2)
18064	Extreme	เมื่อค่าว่องไวถึง $AGI_CHECK เพิ่มอัตราแม่นยำ 14%	AGI_CHECK(3); ADD_HITRATE(2)
18065	Good	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18066	Refined	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18067	Graceful	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18068	Extreme	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18069	Good	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18070	Refined	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18071	Graceful	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18072	Extreme	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18073	Good	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18074	Refined	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18075	Graceful	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18076	Extreme	เมื่อค่ากายถึง $CON_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	CON_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18077	Good	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราคริติคอล 1.5%	CON_CHECK(3); ADD_POWERHIT(2)
18078	Refined	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราคริติคอล 2.5%	CON_CHECK(3); ADD_POWERHIT(2)
18079	Graceful	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราคริติคอล 4%	CON_CHECK(3); ADD_POWERHIT(2)
18080	Extreme	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราคริติคอล 6%	CON_CHECK(3); ADD_POWERHIT(2)
18081	Good	เมื่อค่ากายถึง $CON_CHECK อัตราคริติคอลเพิ่มขึ้น 0.05	CON_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18082	Refined	เมื่อค่ากายถึง $CON_CHECK อัตราคริติคอลเพิ่มขึ้น 0.08	CON_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18083	Graceful	เมื่อค่ากายถึง $CON_CHECK อัตราคริติคอลเพิ่มขึ้น 0.12	CON_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18084	Extreme	เมื่อค่ากายถึง $CON_CHECK อัตราคริติคอลเพิ่มขึ้น 0.2	CON_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18085	Good	เมื่อค่ากายถึง $CON_CHECK มองข้ามการป้องกันเพิ่มขึ้น 1%	CON_CHECK(3); ADD_BYPASS(1)
18086	Refined	เมื่อค่ากายถึง $CON_CHECK มองข้ามการป้องกันเพิ่มขึ้น 2%	CON_CHECK(3); ADD_BYPASS(1)
18087	Graceful	เมื่อค่ากายถึง $CON_CHECK มองข้ามการป้องกันเพิ่มขึ้น 3%	CON_CHECK(3); ADD_BYPASS(1)
18088	Extreme	เมื่อค่ากายถึง $CON_CHECK มองข้ามการป้องกันเพิ่มขึ้น 4%	CON_CHECK(3); ADD_BYPASS(1)
18089	Good	เมื่อค่ากายถึง $CON_CHECK อัตราสังหารเพิ่มขึ้น 1%	CON_CHECK(3); ADD_OVERHIT(1)
18090	Refined	เมื่อค่ากายถึง $CON_CHECK อัตราสังหารเพิ่มขึ้น 2%	CON_CHECK(3); ADD_OVERHIT(1)
18091	Graceful	เมื่อค่ากายถึง $CON_CHECK อัตราสังหารเพิ่มขึ้น 3%	CON_CHECK(3); ADD_OVERHIT(1)
18092	Extreme	เมื่อค่ากายถึง $CON_CHECK อัตราสังหารเพิ่มขึ้น 4%	CON_CHECK(3); ADD_OVERHIT(1)
18093	Good	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราแม่นยำ 4%	CON_CHECK(3); ADD_HITRATE(2)
18094	Refined	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราแม่นยำ 6%	CON_CHECK(3); ADD_HITRATE(2)
18095	Graceful	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราแม่นยำ 10%	CON_CHECK(3); ADD_HITRATE(2)
18096	Extreme	เมื่อค่ากายถึง $CON_CHECK เพิ่มอัตราแม่นยำ 14%	CON_CHECK(3); ADD_HITRATE(2)
18097	Good	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18098	Refined	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18099	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18100	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18101	Good	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18102	Refined	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18103	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18104	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18105	Good	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18106	Refined	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18107	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18108	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	INT_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18109	Good	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราคริติคอล 1.5%	INT_CHECK(3); ADD_POWERHIT(2)
18110	Refined	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราคริติคอล 2.5%	INT_CHECK(3); ADD_POWERHIT(2)
18111	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราคริติคอล 4%	INT_CHECK(3); ADD_POWERHIT(2)
18112	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราคริติคอล 6%	INT_CHECK(3); ADD_POWERHIT(2)
18113	Good	เมื่อค่าปัญญาถึง $INT_CHECK อัตราคริติคอลเพิ่มขึ้น 0.05	INT_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18114	Refined	เมื่อค่าปัญญาถึง $INT_CHECK อัตราคริติคอลเพิ่มขึ้น 0.08	INT_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18115	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK อัตราคริติคอลเพิ่มขึ้น 0.12	INT_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18116	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK อัตราคริติคอลเพิ่มขึ้น 0.2	INT_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18117	Good	เมื่อค่าปัญญาถึง $INT_CHECK มองข้ามการป้องกันเพิ่มขึ้น 1%	INT_CHECK(3); ADD_BYPASS(1)
18118	Refined	เมื่อค่าปัญญาถึง $INT_CHECK มองข้ามการป้องกันเพิ่มขึ้น 2%	INT_CHECK(3); ADD_BYPASS(1)
18119	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK มองข้ามการป้องกันเพิ่มขึ้น 3%	INT_CHECK(3); ADD_BYPASS(1)
18120	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK มองข้ามการป้องกันเพิ่มขึ้น 4%	INT_CHECK(3); ADD_BYPASS(1)
18121	Good	เมื่อค่าปัญญาถึง $INT_CHECK อัตราสังหารเพิ่มขึ้น 1%	INT_CHECK(3); ADD_OVERHIT(1)
18122	Refined	เมื่อค่าปัญญาถึง $INT_CHECK อัตราสังหารเพิ่มขึ้น 2%	INT_CHECK(3); ADD_OVERHIT(1)
18123	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK อัตราสังหารเพิ่มขึ้น 3%	INT_CHECK(3); ADD_OVERHIT(1)
18124	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK อัตราสังหารเพิ่มขึ้น 4%	INT_CHECK(3); ADD_OVERHIT(1)
18125	Good	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราแม่นยำ 4%	INT_CHECK(3); ADD_HITRATE(2)
18126	Refined	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราแม่นยำ 6%	INT_CHECK(3); ADD_HITRATE(2)
18127	Graceful	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราแม่นยำ 10%	INT_CHECK(3); ADD_HITRATE(2)
18128	Extreme	เมื่อค่าปัญญาถึง $INT_CHECK เพิ่มอัตราแม่นยำ 14%	INT_CHECK(3); ADD_HITRATE(2)
18129	Good	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18130	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18131	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18132	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพเพิ่มขึ้น $ADD_DAMPLUS_PHYSIC 	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1)
18133	Good	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18134	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18135	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18136	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_MAGIC(1)
18137	Good	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18138	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18139	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18140	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK โจมตีหนักกายภาพและโจมตีหนักเวทย์เพิ่มขึ้น $ADD_DAMPLUS_MAGIC	PER_CHECK(3); ADD_DAMPLUS_PHYSICS(1); ADD_DAMPLUS_MAGIC(1)
18141	Good	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราคริติคอล 1.5%	PER_CHECK(3); ADD_POWERHIT(2)
18142	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราคริติคอล 2.5%	PER_CHECK(3); ADD_POWERHIT(2)
18143	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราคริติคอล 4%	PER_CHECK(3); ADD_POWERHIT(2)
18144	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราคริติคอล 6%	PER_CHECK(3); ADD_POWERHIT(2)
18145	Good	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราคริติคอลเพิ่มขึ้น 0.05	PER_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18146	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราคริติคอลเพิ่มขึ้น 0.08	PER_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18147	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราคริติคอลเพิ่มขึ้น 0.12	PER_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18148	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราคริติคอลเพิ่มขึ้น 0.2	PER_CHECK(3); ADD_MULTIPLY_POWERDAM(2)
18149	Good	เมื่อค่ารู้สึกถึง $PER_CHECK มองข้ามการป้องกันเพิ่มขึ้น 1%	PER_CHECK(3); ADD_BYPASS(1)
18150	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK มองข้ามการป้องกันเพิ่มขึ้น 2%	PER_CHECK(3); ADD_BYPASS(1)
18151	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK มองข้ามการป้องกันเพิ่มขึ้น 3%	PER_CHECK(3); ADD_BYPASS(1)
18152	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK มองข้ามการป้องกันเพิ่มขึ้น 4%	PER_CHECK(3); ADD_BYPASS(1)
18153	Good	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราสังหารเพิ่มขึ้น 1%	PER_CHECK(3); ADD_OVERHIT(1)
18154	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราสังหารเพิ่มขึ้น 2%	PER_CHECK(3); ADD_OVERHIT(1)
18155	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราสังหารเพิ่มขึ้น 3%	PER_CHECK(3); ADD_OVERHIT(1)
18156	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK อัตราสังหารเพิ่มขึ้น 4%	PER_CHECK(3); ADD_OVERHIT(1)
18157	Good	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราแม่นยำ 4%	PER_CHECK(3); ADD_HITRATE(2)
18158	Refined	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราแม่นยำ 6%	PER_CHECK(3); ADD_HITRATE(2)
18159	Graceful	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราแม่นยำ 10%	PER_CHECK(3); ADD_HITRATE(2)
18160	Extreme	เมื่อค่ารู้สึกถึง $PER_CHECK เพิ่มอัตราแม่นยำ 14%	PER_CHECK(3); ADD_HITRATE(2)
18161	Good	โจมตีศัตรูด้วยการฟันแนวราบ ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 9 วินาที	
18162	Refined	โจมตีศัตรูด้วยการฟันแนวราบ ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 7 วินาที	
18163	Graceful	โจมตีศัตรูด้วยการฟันแนวราบ ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 5 วินาที	
18164	Extreme	โจมตีศัตรูด้วยการฟันแนวราบ ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 3 วินาที	
18165	Good	โจมตีศัตรูด้วยการพุ่งแทง ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 9 วินาที	
18166	Refined	โจมตีศัตรูด้วยการพุ่งแทง ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 7 วินาที	
18167	Graceful	โจมตีศัตรูด้วยการพุ่งแทง ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 5 วินาที	
18168	Extreme	โจมตีศัตรูด้วยการพุ่งแทง ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 3 วินาที	
18169	Good	โจมตีศัตรูด้วยการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 9 วินาที	
18170	Refined	โจมตีศัตรูด้วยการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 7 วินาที	
18171	Graceful	โจมตีศัตรูด้วยการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 5 วินาที	
18172	Extreme	โจมตีศัตรูด้วยการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 3 วินาที	
18173	Good	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 9 วินาที	
18174	Refined	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 7 วินาที	
18175	Graceful	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 5 วินาที	
18176	Extreme	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน ทำให้เกิดความเสียหายจากโจมตีกายภาพและโจมตีหนัก 100%, เวลารีเซ็ท 3 วินาที	
18177	Good	โจมตีศัตรูด้วยการฟันแนวราบ จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 9 วินาที	
18178	Refined	โจมตีศัตรูด้วยการฟันแนวราบ จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 7 วินาที	
18179	Graceful	โจมตีศัตรูด้วยการฟันแนวราบ จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 5 วินาที	
18180	Extreme	โจมตีศัตรูด้วยการฟันแนวราบ จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 3 วินาที	
18181	Good	โจมตีศัตรูด้วยการพุ่งแทง จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 9 วินาที	
18182	Refined	โจมตีศัตรูด้วยการพุ่งแทง จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 7 วินาที	
18183	Graceful	โจมตีศัตรูด้วยการพุ่งแทง จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 5 วินาที	
18184	Extreme	โจมตีศัตรูด้วยการพุ่งแทง จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 3 วินาที	
18185	Good	โจมตีศัตรูด้วยการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 9 วินาที	
18186	Refined	โจมตีศัตรูด้วยการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 7 วินาที	
18187	Graceful	โจมตีศัตรูด้วยการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 5 วินาที	
18188	Extreme	โจมตีศัตรูด้วยการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 3 วินาที	
18189	Good	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 9 วินาที	
18190	Refined	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 7 วินาที	
18191	Graceful	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 5 วินาที	
18192	Extreme	โจมตีศัตรูด้วยการฟันแนวราบ, พุ่งแทงและการฟัน จะทำให้เกิดความเสียหายจากโจมตีหนักกายภาพและโจมตีหนักเวทย์ 100%, เวลารีเซ็ท 3 วินาที	
18193	Good	โจมตีศัตรูด้วยการฟันแนวราบ 1 อย่างจะฟื้นฟูค่ากำลัง 1 แต้ม	
18194	Refined	โจมตีศัตรูด้วยการฟันแนวราบ 1 อย่างจะฟื้นฟูค่ากำลัง 2 แต้ม	
18195	Graceful	โจมตีศัตรูด้วยการฟันแนวราบ 1 อย่างจะฟื้นฟูค่ากำลัง 3 แต้ม	
18196	Extreme	โจมตีศัตรูด้วยการฟันแนวราบ 1 อย่างจะฟื้นฟูค่ากำลัง 4 แต้ม	
18197	Good	โจมตีศัตรูด้วยการพุ่งแทง 1 อย่างจะฟื้นฟูค่ากำลัง 1 แต้ม	
18198	Refined	โจมตีศัตรูด้วยการพุ่งแทง 1 อย่างจะฟื้นฟูค่ากำลัง 2 แต้ม	
18199	Graceful	โจมตีศัตรูด้วยการพุ่งแทง 1 อย่างจะฟื้นฟูค่ากำลัง 3 แต้ม	
18200	Extreme	โจมตีศัตรูด้วยการพุ่งแทง 1 อย่างจะฟื้นฟูค่ากำลัง 4 แต้ม	
