n_ID	n_LEVEL_MIN	n_LEVEL_MAX	n_TYPE	n_ITEM_1	n_WEIGHT_1	n_NUMBER_1	n_ITEM_2	n_WEIGHT_2	n_NUMBER_2	n_ITEM_3	n_WEIGHT_3	n_NUMBER_3	n_ITEM_4	n_WEIGHT_4	n_NUMBER_4	n_ITEM_5	n_WEIGHT_5	n_NUMBER_5	n_ITEM_6	n_WEIGHT_6	n_NUMBER_6	n_ITEM_7	n_WEIGHT_7	n_NUMBER_7	n_ITEM_8	n_WEIGHT_8	n_NUMBER_8	n_ITEM_9	n_WEIGHT_9	n_NUMBER_9	n_ITEM_10	n_WEIGHT_10	n_NUMBER_10	n_ITEM_11	n_WEIGHT_11	n_NUMBER_11	n_ITEM_12	n_WEIGHT_12	n_NUMBER_12	n_ITEM_13	n_WEIGHT_13	n_NUMBER_13	n_ITEM_14	n_WEIGHT_14	n_NUMBER_14	n_ITEM_15	n_WEIGHT_15	n_NUMBER_15	n_ITEM_16	n_WEIGHT_16	n_NUMBER_16	n_ITEM_17	n_WEIGHT_17	n_NUMBER_17	n_ITEM_18	n_WEIGHT_18	n_NUMBER_18	n_ITEM_19	n_WEIGHT_19	n_NUMBER_19	n_ITEM_20	n_WEIGHT_20	n_NUMBER_20	n_ITEM_21	n_WEIGHT_21	n_NUMBER_21	n_ITEM_22	n_WEIGHT_22	n_NUMBER_22	n_ITEM_23	n_WEIGHT_23	n_NUMBER_23	n_ITEM_24	n_WEIGHT_24	n_NUMBER_24	n_ITEM_25	n_WEIGHT_25	n_NUMBER_25	n_ITEM_26	n_WEIGHT_26	n_NUMBER_26	n_ITEM_27	n_WEIGHT_27	n_NUMBER_27	n_ITEM_28	n_WEIGHT_28	n_NUMBER_28	n_ITEM_29	n_WEIGHT_29	n_NUMBER_29	n_ITEM_30	n_WEIGHT_30	n_NUMBER_30
1601	1	30	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600801	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1602	31	40	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600801	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1603	41	50	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600802	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1604	51	60	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600803	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1605	61	70	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600804	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1606	71	80	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600805	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1607	81	90	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600806	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1608	91	100	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600807	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1609	101	110	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600808	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1610	111	999	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600809	100	1	2600507	100	1	2600509	100	1	2600511	50	1	2400063	100	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1701	1	30	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1702	31	50	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1703	51	65	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1704	66	80	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1705	81	90	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1706	91	100	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707	101	110	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1708	111	999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
