n_ID	s_NAME	s_TITLE	s_NPC_CHATS
254	Laura	Treasure Hunter	ตอนข้าอยู่บนภูเขาหิมะข้าพบถ้ำหนึ่งที่ลึกเข้าไปยากจะเดาได้ ไม่รู้ว่าลึกสุดนั้นจะมีสมบัติหรือไม่กันแน่?
255	Seasoned bounty hunter		เวลาเผชิญหน้ากับศัตรูข้าจะไม่ชักปืนก่อนแต่ข้าจะคว้ามีดที่เป็นของถนัดข้าก่อน
256	Young sea monster hunter		แกเคยกินเนื้อปีศาจทะเลไหม ต้องย่างให้สุกแล้วเติมเกลือนิดหน่อย ไม่มีอะไรอร่อยไปกว่านี้อีกแล้ว
257	Odyssey	Pride	แกตามข้ามาที่มีแต่หิมะและน้ำแข็งปกคลุมไปทั่ว เพื่อคิดจะฆ่านักล่าของข้าหรือเลื่อมใสในลูกศิษย์ของข้ากันแน่?
258	Ysera	Beutyfull	ใจของข้านั้นเย็นกว่าน้ำแข็งขั้วโลกเสียอีก
259	Fiona	Beautiful Girl of Iceberg	จงนำศรีษะของ <text style="79">[52500087]</text> ข้าจึงจะสามารถแต่งตั้งเจ้าให้เป็นราชานักล่าสมบัติ
260	Tony	Monster Hunter	เทศกาลล่าปีศาจทะเลเป็นเทศกาลที่สำคัญที่สุดของปีนี้เลยทีเดียว
261	Laura	Lair Finder	ข้าไม่เข้าไปในถ้ำหรอก หวังว่าคงจะมีคนที่กล้ามากกว่าข้าเป็นร้อยเท่าอยู่นะ
262	Veronica	Witch Apprentice	คนหลากหลายรูปแบบเป็นการฝึกที่ดีที่สุดของเวทย์มนต์แปลงกาย
263	Gugh	Monster Hunter	หากต้องการจะเป็นนักล่าปีศาจทะเล เจ้าต้องไม่กลัวความเหน็บหนาวและไม่กลัวความตาย!
264	Moorer	Captain	กับทุกเสียงบ่นที่ไม่พอใจของพี่น้องทหารเรือทั้งหลายที่มาทำภารกิจในครั้งนี้ ผมหละกังวลใจจริงๆว่าจะเกิดการประท้วงขึ้น
265	Mo Yuzi	Naval Communications Bureau	สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีสื่อสาร <text>[52300008]</text> ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
266	Sea Phantom	Greedy	(<text style="79">[52500087]</text> สังเกตุที่ตาของแกแล้วมันช่างเป็นสายตาที่มองการณ์ไกลจริงๆ)
267	Wounded bounty hunter		.....ข้าจะมาตายที่นี่ไม่ได้
268	Angelina	Chasing Love Pirate Princess	ในยามนี้มีข้าอยู่ทั้งคน <text style="79">[52500087]</text> ถึงมันติดปีกก็บินหนีไปไม่พ้นอยู่ดี
269	Local fisherman		ข้าไม่กล้าล่าปีศาจทะเลหรอก แค่ต้องการจะจับกุ้งหอยปูปลาเล็กๆน้อยๆเอากลับไปให้ภรรยาของข้ากินเท่านั้นเอง
270	Penguin Corporal		
271	Polar deer		
272	Flash Snail		
273	Polar ape		
274	Polar head		
275	Crystal Bibi		
276	Iceberg Turtle		
277	Polar Giant Turtle		
278	Blue Sea Snake		
279	Penguin Koro		
280	Walrus general		
281	Ice Carle Commander		
282	Deep Sea Snail		
283	Blind Hound		
284	Port transportation		เฮ้เฮ้เฮ้...... เจ้าต้องการที่จะนั่งบนเรือผีไหม? นอกเหนือจากนรกแล้วพวกข้าจะไม่ไปไหน
285	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
286	Siren	Poseidon Heir	ดูท่าการทดลองที่โลกใบนี้คงล้มเหลวไม่เป็นท่าซะแล้ว มันเกิดจากสาเหตุอะไรกันนะ? 
287	Angelina	Witch Skull Bride	ข้าไม่เคยถูกลักพาตัว เพียงแค่มีคนไม่ให้ข้าออกไปแค่นั้นเอง
288	Dyken	Wandering Skipper	……<text style="79">[52500681]</text>, ข้าคิดถึงเจ้าตลอดเวลาเลย แล้วเจ้าหละ?
289	Beeson	Beautiful  Slaves	บนโลกใบนี้ยังนี้มีชายที่เชื่อถือได้อยู่อีกหรือ?
290	Kenny	Strong Slaves	ข้าจะแสดงให้เห็นถึงพลังของข้า จะเอาชนะใจของ <text style="79">[52500289]</text> ให้จงได้
291	Rick	Savvy Slaves	ข้าจะใช้สมองอันแสนฉลาดของข้า นำเอาสิ่งของอันโปรดปรานของ <text style="79">[52500289]</text> มาให้จงได้
292	Hoeker	Familiar Adventurers	ทำไมข้าถึงได้โชคร้ายแบบนี้?  ไม่ง่ายเลยที่จะหนีจากที่ตายแห่งนี้ กลับต้องหนีเข้าป่ามืดไปเจอผีอันน่าสะพรึงกลัว
293	Skeleton Hoeker	Cursed	ข้าไม่ยอม! ข้าจะให้พวกแกเป็นแม่มดอันอัปลักษณ์เหมือนกับข้า!
294	Bardgett	Navy Remnants	สู้จนลมหายใจสุดท้าย นี้แหละคือจิตวิญญาณของกองทัพเรือ!
295	Siren	World Keeper	ช่างเป็นโลกคู่ขนานที่น่าเวทนาเสียนี่กระไร มันคุ้มค่าไหมที่ข้าต้องมาเฝ้ารักษาที่นี่?
296	Columbus	Voyager into Chaos	ที่นี่ไม่ใช่แผ่นดินใหม่ในความคิดฉันเลย
297	Magellan	Explorers into Chaos	ความฝันของข้าคือการเดินทางรอบโลกในหนึ่งสัปดาห์ ข้าจะมาตายที่นี่ไม่ได้
298	Robinson	Castaways into Chaos	ข้าติดอยู่ในเกาะไม่มีคนอาศัยอยู่มานานหลายสิบปี ขอแค่มีคนมาอยู่เป็นเพื่อนข้าแม่ว่าจะเป็นผีก็ไม่เป็นไร
299	Columbus	Ran the Wrong World	รีบส่งข้ากลับไปยังโลกเดิมเดี๋ยวนี้!
300	Magellan	Ran the Wrong World	ข้าไม่ต้องการที่จะอยู่ที่นี่แม้แต่นิด
301	Robinson	Don't need to Back Home	เจ้าจะส่งข้ากลับไปเรอะ? แต่ข้ายังไม่อยากไป!
302	Skeleton men		กองทัพแม่มดจงเจริญ!
303	Skeleton men		กองทัพแม่มดจงเจริญ!
304	Dead Survivor		ข้าหิวจะตายอยู่แล้ว อย่างน้อยให้ข้ากินอิ่มแล้วค่อยให้ข้าตาย!
305	Angelina	Royal Princess	<text>[52300001]</text> ที่รุ่งเรืองกลับกลายเป็นซากปรักหักพังนั้น.....ไม่เป็นความจริง.....
306	Skeleton Captain		หน้าที่สำคัญแรกของพวกเราคือ ค้นหามนุษย์ที่รอดชีวิต!
307	Blue Ocean soul		
308	Blue Tiger		
309	Harpy		
310	Skeleton Sseaman		
311	Exotic Demon Wolf		
312	Catwoman pirate		
313	Captain Golem		
314	Captain Golem Rabia		
315	Red blood Bee		
316	End date Flower		
317	Destroy Magic Flower		
318	Dark soul		
319	Skeleton Mate		
320	Skeleton Commander Corella		
321	Port transportation		เฮ้เฮ้เฮ้...... เจ้าต้องการที่จะนั่งบนเรือผีไหม? ถึงเจ้าจะหนีไปจากขุมนรกนี้ได้ ที่เดียวที่ไปได้ก็มีแค่เมืองผีเท่านั้นแหละ
322	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
323	Siren	Thinking	ในสถานการณ์ที่ต้องเผชิญหน้ากับเรื่องเลวร้ายแบบนี้ หากเป็นคุณพ่อเขาจะทำอย่างไรกันนะ?
324	Angelina	Brave	ข้าเพิ่งจะเห็น.....หรือว่านี่จะเป็น.....แต่มันเป็นไปได้หรือ?
325	Greedy Troll		นี่คือของที่อร่อยที่สุดของพวกมนุษย์
326	Walking undead		นึกไม่ถึงว่าข้ายังสามารถเดินบนโลกมนุษย์ได้!
327	Love bathing Banshee		บ่อน้ำแห่งนี้ไม่เลวเลยทีเดียว แม้จะร้อนนิดหน่อยแต่ต้องมาลองดูได้
328	Debt Skeleton		ชีวิตของข้าไม่เหลืออะไรอีกแล้ว ข้าจะไปหาเงินมาใช้หนี้ได้ยังไงกัน!
329	Val'kyr	Legendary Grandmother	ข้าปราบปีศาจมาหลายปี ควรจะใช้ชีวิตที่เหลืออยู่กับช่วงเกษียณอายุได้แล้วหละ
330	Val'kyr	Demon slayer	แม้ว่าแม่เฒ่าจะมีอายุร้อยกว่าปี แต่ฝีมือของท่านไม่ลดหย่อนลงเลย!
331	Angelina	Grandchild a King of Another World	ข้าได้เห็นตอนที่แม่เฒ่าตาย ช่างเป็นอะไรที่น่าทึ่งจริงๆ!
332	Myers	Evil Businessman	ข้าขายแต่ของใช้สำหรับภูติผีปีศาจเท่านั้นแหละ
333	Dante	Mad King	ฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่า!
334	Angelina	Queen Successors	ข้าต้องเป็นนักรบที่เปี่ยมไปด้วยบาปให้จงได้
335	Siren	Self Growth	บางทีโลกใบหนึ่งล้วนมีความหมายของการดำรงอยู่ของมัน
336	Kablin	Humble Man	เฮ้เฮ้เฮ้.....ข้าก็แค่คอยติดตามผู้แข็งแกร่งอย่างแท้จริงเท่านั้นเอง
337	Sea Phantom	judiciary	ข้าจะลงนรกเจ้าจะมากับข้าไหม?
338	Sea Phantom	Ultimate enemies	เจ้ารู้อยู่แก่ใจเจ้าดีว่าทั้งเจ้าและข้านั้นต้องการจะยุติสงคราม
339	Lonely Soul		ข้านั้นตายอย่างโดดเดี่ยวข้าจึงกลายเป็นผีที่แสนโดดเดี่ยว
340	Nightmare Claw beast		
341	Blood red eagle		
342	Fire magic		
343	Glaucoma		
344	Phosphor powder Banshee		
345	Phosphor Fascinator		
346	Flame Mountains deer		
347	Red Flame Demon Wolf		
348	Crimson Sharp Teeth		
349	Hell Dragon Majin		
350	Arbiter Bells		
351	Earth Flame Dragon		
352	Hell King Kong		
353	Lava shakers		
354	Hell Ghoul		
355	Horror butcher Lasa		
356	Jim	Pirates Fan Boy	เมื่อข้าโตขึ้นข้าอยากจะเป็นเหมือนกับ <text style="79">[52500204]</text> วีรบุรุษโจรสลัดผู้กล้าหาญ
357	Jill	Pirates Fan Boy	เมื่อข้าโตขึ้นข้าอยากจะเป็นเหมือนกับ <text style="79">[52500168]</text> วีรบุรุษทหารเรือผู้กล้าหาญ
358	Babu	Strong Sailor	เมื่อข้าขึ้นฝั่ง ข้าจะคิดถึงแค่สองเรื่องคือเหล้ากับสตรีเท่านั้น
359	Deserter Navy		.....แม่ ข้าไม่อยากเป็นทหารเรือ
360	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
361	Port transportation		เรือขนส่งทางทะเลของท่าเรือนี้ เสนอให้เลือกสองเส้นทางทะเล <text>[52300001]</text> หรือ <text>[52300008]</text> เท่านั้น
362	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
363	Plato	Finding Treasure	บนเกาะแห่งนี้ต้องล้างอารยธรรมซะ ควรจะให้ข้ามาสั่งสอนพวกเขาสักครั้ง
364	Ousailuo	Vice Admiral	ในฐานะที่ข้าเป็นผู้บัญชาการทหารสูงสุดของอาณานิคม การตัดสินใจของข้าถือเป็นผลประโยชน์ต่อชาติมบ้านเมือง
365	Mo Yuzi		สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีสื่อสาร <text>[52300007]</text> ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
366	Aaliyah	Army Medical	บริเวณป่ารกร้างนี้เป็นที่ซุกซ่อนของโรคระบาดที่ไม่รู้จักอยู่มากมาย ข้าหละเป็นห่วงสุขภาพของเหล่าทหารจริงๆ
367	Suspicious Voodoo Tribe		ที่นี่ไม่ต้อนรับคนนอก ไสหัวออกไปซะ!
368	Madisen	Archaeology Professor	โบราณสถานแห่งนี้ทำให้คนเรารู้สึกกลัวสงครามจนตัวสั่น
369	Pacana	Voodoo Princess	ทำไมข้าจะต้องการที่จะแต่งงานกับผู้ชายคนหนึ่งที่ไม่เคยรู้จักด้วย?
370	Pacana	Heathen Wives	มีเพียงคำสาปของคนตาย ข้าถึงจะได้กลับมามีอิสระอีกครั้ง
371	Plato	Colonial Spiritual Mentor	พวกป่าเถื่อนเหล่านี้กราบไหว้ผีสางเทวดาของพวกเขา ไม่เหมือนกับที่ข้านับถือ Plato
372	Barum	Voodoo Chieftain	ครอบครัวข้าหวังเป็นอย่างยิ่งที่จะได้อยู่ในราชอาณาจักร Atlas อย่างสันติสุข
373	Mori Hiroko	Vagabond Messenger	สวัสดี เหล่านักผจญภัยโพ้นทะเลทั้งหลาย ขอต้อนรับสู่การบริการสื่อสารไม่มีหลักแหล่งพร้อมให้บริการ
374	Voodoo		ข้าไม่ยอมที่องค์หญิง <text style="79">[52500369]</text> จะต้องถูกบังคับไปแต่งงานกับชาวต่างชาติ
375	Kanya	Voodoo Beauty	แม้ว่าทุกคนจะไม่เห็นด้วยกับการที่ข้าจะแต่งงานกับชาวต่างชาติ แต่ข้าคิดว่ามันไม่มีอะไรที่ไม่ดีเลยหนิ
376	Ammaroo	Stunner Wizards	ยาใดๆก็เทียบไม่ได้กับพลังแห่งความรัก
377	Mare Love	Everlasting Witch	......ในที่สุดคำทำนายของท่านมหาปุโรหิตกล่าวไว้ก็มาถึง
378	Pacana	Back-Pedal Bride	ถ้าให้ข้ากลับไปอยู่ <text style="79">[52500364]</text> ข้าขอตายดีกว่า
379	Inca	Voodo Hero No.1	แม้ตัวข้าจะตายข้าก็จะปกป้องประชาชนให้ได้!
380	Voodoo	Infected	ช่วยข้าด้วยๆ......ข้าไม่อยากกลายเป็น <text style="79">[52500392]</text>!
381	Pacana	Zombie Wife	ให้ข้าได้พักผ่อนอย่างสงบที่สุสานเถอะ!
382	wugawuga	Cannibalistic Baby	wuwugaga! wuwugaga!
383	Plato	Delicious	สถานที่ที่มีร่องรอยประวัติศาสตร์อันล้ำค่าทางแห่งนี้ทำให้ผู้คนไม่มีอิสระ ตัวข้าอยากจะทำลายเกาะนี้ให้สิ้นซากนัก
384	Vuvuzela	Demon Fierce	vuvuzela! vuvuzela!
385	Wild ape		
386	Purple turtle		
387	Prairie deer		
388	Ominous Bird		
389	Dark Roast Lion		
390	Dark roar		
391	Curse Harpy		
392	Voodoo Troll		
393	Avarice Lerch		
394	Zombie baboon		
395	Remain Alert Weapon		
396	Voodoo butcher		
397	Green Eye Minced		
398	Port transportation		เรือขนส่งทางทะเลของท่าเรือนี้ เสนอให้เลือกสองเส้นทางทะเล <text>[52300001]</text> หรือ <text>[52300008]</text> เท่านั้น
399	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
400	Eve	Eden Sister	เจ้าคนแปลกหน้า เจ้าไม่สามารถจะพูดคุยกับเด็กสาวแถวนี้ตามใจชอบได้นะ!
401	Excitement adventurer		หลังจากที่ผ่านอุปสรรคมามากมาย ในที่สุดข้าก็มาถึงแดนสวรรค์บนโลกมนุษย์
402	Flora	Eden Sister	อย่าส่งเสียงดัง! ข้ากำลังใช้สมาธิในการเก็บมะม่วงอยู่
403	Covet riches adventurer		เกาะแห่งนี้สามารถพัฒนาให้เป็นรีสอร์ทได้ ทีนี้ข้าก็จะหากำไรได้
404	Plato	Genius Prime Minister	ร่องรอยของงจักพรรดินีช่างห่างไกลไปทุกที ยังขาดแต่ขั้นตอนสุดท้าย
405	Madisen	Archaeology Experts	บนสวรรค์แห่งนี้มันทำให้คนมีแต่ความสุข
406	Mo Yuzi	Naval Communications Bureau	สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีสื่อสาร <text>[52300015]</text> ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
407	Drake	Airspace Fighter	ถ้าแกมองว่าข้านั้นหน้าตาไม่หล่อ แสดงว่าสายตาของแกมีปัญหาแน่นอนแล้วหละ
408	Maria	Eden Fighter	ที่สวนแห่งเอเดนพวกข้าสามารถสืบเชื้อสายต่อมาได้ ทุกอย่างล้วนเป็นพระประสงค์ของพระเจ้า
409	Michaele	Drake's Bridal Group	นอกเหนือจาก <text style="79">[52500407]</text> แล้วคนอื่นไม่สามารถมาขอข้าแต่งงานได้
410	Vyvyan	Drake's Bridal Group	ช้าเพิ่งจะเป็นรักแท้ของ <text style="79">[52500407]</text>
411	Felicity	Eden Beauty	สู้แย่ง <text style="79">[52500407]</text> มาจากทุกคนดีกว่าไปตามหาพรหมลิขิต
412	Drake Thief Member		ท้องฟ้าคือดินแดนของพวกข้า
413	Vanessa	Guard Captain	ข้าทนดูหมู่บ้านแห่งเอเดนถูกสาปต่อหน้าต่อตาไม่ได้ ข้าจะกำจัดแม่มดให้สิ้นซาก
414	Mori Hiroko	Vagabond Messenger	สวัสดี เหล่านักผจญภัยโพ้นทะเลทั้งหลาย ขอต้อนรับสู่การบริการสื่อสารไม่มีหลักแหล่งพร้อมให้บริการ
415	Drake Thief Member		ท้องฟ้าคือดินแดนของพวกข้า
416	Linda	Witch	ละทิ้งความทะยานซะแล้วมาเสพสุขกับข้าดีกว่า!
417	Raspberry Bibi		
418	Red Flame Creeper		
419	Eden Walker		
420	Razor Blackhawk		
421	Doubigeba		
422	Spray Burglar Cat		
423	Angel Sheep		
424	Jade Euglena		
425	Temple Snake		
426	Millennium Snake		
427	Heaven Island Bird		
428	Protect City  Mech		
429	Juggernaut Mech		
430	Port transportation		เรือขนส่งทางอากาศของท่าเรือนี้ เดินทางไปกลับ <text style="79">[52500407]</text> น่านฟ้านี้ปกครองโดยเหล่าโจรสลัดแห่งท้องฟ้า ไม่รับประกันความปลอดภัยและทรัพย์สินของท่าน
431	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
432	Odyssey	Sky Witch	ดูจาก<text style="79">[52500407]</text>แล้วก็ไม่มีอะไรมาก ข้าสามารถแอบเข้าไปในเมืองร้างนั่นได้อย่างสบายๆ 
433	Ugly Air Thief		ใครบอกข้าไม่หล่อ ข้านี่แหละหล่อที่สุดเลย!
434	Drake	Deserted Town Leader	ท้ายที่สุดแล้วข้าควรจะเลือก <text style="79">[52500013]</text> หรือ <text style="79">[52500052]</text> กันดีนะ? ช่างลำบากใจจริงๆ
435	Women  Air Thief		<text style="79">[52500407]</text> หล่อที่สุดแล้ว เหอะๆ
436	Women  Air Thief		ยินดีต้อนรับสู่เมืองร้าง <text style="79">[52500407]</text>
437	Magic Air	Vagabond Messenger	สวัสดี เหล่านักผจญภัยโพ้นทะเลทั้งหลาย ขอต้อนรับสู่การบริการสื่อสารไม่มีหลักแหล่งพร้อมให้บริการ
438	Air thief group Reggie		ใครบังอาจย่างกรายเข้ามาในเขตน่านฟ้าของข้า ข้าจะเอาปืนใหญ่ยิงให้ร่วงหล่นไปเลย!
439	Vanessa	Guard Captain	มาตราการป้องกันศัตรูคือห้ามไม่ให้ใครเข้ามาใกล้ไม่ว่าเวลาไหนก็ตาม
440	Air thief group Member		ข้าก็เหมือนกับหัวหน้าใหญ่ รอบกายข้านั้นมีแต่สตรีงาม!
441	Plato	Sky's Prime Minister	แกเคยเห็น <text>[52300117]</text> แล้วหรือยัง? มันก็คือเป้าหมายสุดท้ายของข้า
442	morgan	Pirate Knight	พวกข้าคือราชาโจรสลัดผู้พิชิตท้องฟ้า!
443	Elaine	Eden Breeder	สัตว์เลี้ยงที่พวกข้าเลี้ยงนั้นช่างน่ารักเสียจริง!
444	Susan	Eden Breeder	ข้าชอบชีวิตที่แสนสงบ
445	Plato	Before Battle	ข้าต้องอยู่บนท้องฟ้ากับ <text style="79">[52500013]</text> สู่ศึกแห่งความตาย!
446	Odyssey	Before Battle	ท้องฟ้าผืนนี้ก็คือสุสานของ <text style="79">[52500052]</text>!
447	Da Vinci	Engineers Expert	การผลิตอาวุธยุทโธปกรณ์นั้นเป็นการท้าทายกันอย่างมากเลยทีเดียว
448	Drake	Neutral Forever	เลือกที่จะปกป้อง <text style="79">[52500013]</text> หรือ <text style="79">[52500052]</text> ไม่ว่าทางไหนข้าก็ล้วนสามารถช่วยให้พวกเจ้าคลายทุกข์ได้
449	Magnetic Gun		
450	Dragon Air Thief		
451	Giant Hammer Sennacherib		
452	Mad Cow Pirates		
453	Unger Giant anchor		
454	Pirates blitz Mech		
455	Flying Rat Sapphire		
456	Blue Beetle		
457	DrakeAir thief group		
458	Royal Iron Guard		
459	Guard Mech		
460	Navy Owl bear		
461	Women Air thief group		
462	Alloy black priest		
463	Night Preacher		
464	Navy guns Mech		
465	Baroque	Dragon Blood Lord	ฮ่าๆๆ โลกมนุษย์กลายเป็นนรกไปแล้ว ช่างเป็นเรื่องที่น่าสนุกจริง!
466	Port transportation		เรือขนส่งทางอากาศของท่าเรือนี้ เดินทางไปกลับ <text style="79">[52500407]</text> น่านฟ้านี้ปกครองโดยเหล่าโจรสลัดแห่งท้องฟ้า ไม่รับประกันความปลอดภัยและทรัพย์สินของท่าน
467	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
468	Siren	Poseidon successor	พวกเราต้องร่วมมือกันเท่านั้นจึงจะกอบกู้โลกใบนี้ได้
469	Odyssey	Pride	เจ้าอาจคิดว่าว่าทำไมข้านั้นถึงได้หยิ่งยะโสนัก แท้จริงแล้วข้าได้แต่หวังว่าจะมีคนมาเข้าใจข้ามากกว่า
470	Plato	Greedy Man	ซักวันหนึ่งข้าจะสร้างยูโทเปียจริงๆให้ได้
471	Drake	Lazy Man	น่าแปลก? ข้าจะเดินทางมาที่นี่ทำอะไร? ข้าควรจะกลับบ้านไปนอนสิถึงจะถูก
472	Medea	Jealous Man	คอยดูไว้เถอะถ้าหากมีใครที่สวยกว่าข้า ข้าจะฆ่านางซะ
473	Sea Phantom	Greedy	เพียงแค่มีความโลภที่ไม่สิ้นสุด ไม่ว่าจะนานแค่ไหนเจ้าก็ไม่มีทางล้มข้าได้
474	Siren	Reluctant	ตั้งแต่วันนั้นเป็นต้นมา หากเจ้าไม่ได้ปรากฏตัวขึ้น ข้าอาจจะรู้สึกเบื่อมาก!
475	Isoroku Yamamoto	Admiral	เส้นทางสู่ความสำเร็จของนักรบนั้นมีเพียงต้องสู้ตายเท่านั้น
476	Bismarck	Admiral	ข้ามีหน้าที่ต้องประมือกับ <text style="79">[52500118]</text> มันคือคู่ปรับที่ข้านั้นเฝ้ารอคอยมานาน!
477	Nelson	Royal Navy Admiral	ในครั้งนี้ข้าจะตั้งรับป้องกันด้วยตัวข้าเอง เมื่อ <text style="79">[52500204]</text> ออกรบข้าต้องเป็นทัพหน้า
478	Edward	Black Braids	<text style="79">[52500170]</text> ผู้น่ารังเกียจ ดูเจ้าเหมียวเล่นจมูกแบนๆอย่างภาคภูมิใจ
479	Khayredin	Red Beard	ที่กล่าวกันว่าให้ใช้อุบายหลอกลวงในการทำสงครามนั้น ข้าต้องใช้ความสามารถด้านเล่ห์กลของข้าบุกทะลวงขบวนรบทหารเรือ 
480	Jason	Pirate King	ฉันจะได้กลายเป็นจักรพรรดิปกครองโลกผู้ยิ่งใหญ่!
481	Roberts	Baron The Pirate	สถานการณ์การศึกในปัจจุบันเป็นครึ่งต่อครึ่ง ตอนออกศึกเจ้าจะทรยศหรือไม่?
482	morgan	Pirate Knight	ใครที่กล้าที่ยืนอยู่หน้าดาบทั้งสองของข้านั้นมีเพียงขอความเมตตากับขอความตายเท่านั้น!
483	Da Vinci	Talent Man	ข้าต้องตั้งใจค้นคว้าร่องรอยทางประวัติศาสตร์ ข้าไม่สนใจศึกสงคราม
484	Mo Yuzi	Naval Communications Bureau	สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีสื่อสาร <text>[52300016]</text> ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
485	Mirage reel		(เนื่องจากภาพลวงตาของ <text style="79">[52500004]</text> สามารถทำให้เกิดร่างคนเหมือนจริงได้)
486	Sea Devil	Pirate Radio Station	พวกข้าคือกลุ่ม <text style="79">[52500108]</text> ผู้ภักดีต่อ Poseidon ผู้ยิ่งใหญ่ สถานีสื่อสารแห่งนี้เปิดให้เหล่าโจรสลัดใช้ได้อย่างอิสระ
487	Mirage reel		(เนื่องจากภาพลวงตาของ <text style="79">[52500004]</text> สามารถทำให้เกิดร่างคนเหมือนจริงได้)
488	Black braids Pirates		
489	Fiery Red Bear		
490	Penguin Master Sergeant		
491	Air Thief Meteor Mech		
492	Walrus pirates		
493	Red Horn Pirates Group		
494	Golden Cat Navy Group		
495	Navy Tiger Mech		
496	Death Hourglass		
497	Remains defense agencies		
498	Walrus general		
499	Extreme Magnetic Gun		
500	Remains Guardian		
501	Subjugation Enchantress		
502	Akejim		
503	Heavy Akejim		
504	Navy Owl bear		
505	Sea Dragon Warrior		
506	Sharp snake poison ivy		
507	Ugly fish		
508	Blackbeard		
509	Attracted Guawa family		
510	Solar Eye Alert Weapon		
511	Wasp		
512	Demon Flower		
513	Incubate Raspberry Bibi		
514	Hide Guawa family		
515	Jet cat thieves No.1		
516	Greedy Snake		
517	Women Gladiator King		
518	Ogre ape		
519	Jet cat thieves No.3		
520	Red Deard Assassin		
521	Black braids Assassin		
522	Bomb shell Spider		
523	Jet cat thieves No.5		
524	Pirates Traitor		
525	Jet cat thieves No.6		
526	Jet cat thieves No.8		
527	Jet cat thieves No.10		
528	Remy	Bounty Hunter	ข้าค้นพบเป้าหมายแล้ว รางวัลเป็นของข้า!
529	Nina	Bounty Hunter	ข้าค้นพบเป้าหมายแล้ว รางวัลเป็นของข้า!
530	Scary Voodoo Tribe		
531	Cursed Voodoo Tribe		
532	Madness Voodoo Tribe		
533	Voodoo Troll		
534	Cemetery Soul		
535	Zombie Pacana		
536	Jet cat thieves No.7		
537	Greedy Bounty Hunter		
538	Cage prey		
539	Thaw Fur seal		
540	Anger Bounty Hunter		
541	Ice Monster		
542	Eat Oblation Sea Snake		
543	Horn Bounty Hunter		
544	Jet cat thieves No.9		
545	Was Called Skeleton		
546	Black braid Edward		
547	Skeleton Lover Kenny		
548	Skeleton Good Friend		
549	Bermuda Banshee		
550	Spicy Strange Insects		
551	Bismarck		<text>[52300114]</text> เหมือนกับสวรรค์ส่วนตัวของข้าเลย........ ฮ่าฮ่าฮ่า!
552	Odyssey		ข้าจะเปลี่ยน <text>[52300114]</text> ให้กลายเป็นนรก!
553	Insurrection Male Prisoner		
554	Insurrection  Female Prisoner		
555	Bismarck		<text>[52300114]</text> เหมือนกับสวรรค์ส่วนตัวของข้าเลย........ ฮ่าฮ่าฮ่า!
556	Isoroku Yamamoto		การประหารชีวิตคนร้ายนั้นเพื่อผดุงความยุติธรรม
