n_ID	s_NAME	s_TIP
9963	Rich Man 14G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 14 ทอง
9964	Rich Man 15G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 15 ทอง
9965	Rich Man 16G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 16 ทอง
9966	Rich Man 17G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 17 ทอง
9967	Rich Man 18G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 18 ทอง
9968	Rich Man 19G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 19 ทอง
9969	Rich Man 20G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 20 ทอง
9970	Rich Man 21G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 21 ทอง
9971	Rich Man 22G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 22 ทอง
9972	Rich Man 23G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 23 ทอง
9973	Rich Man 24G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 24 ทอง
9974	Rich Man 25G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 25 ทอง
9975	Rich Man Group1	Rich Man Group 1(1G-5G)
9976	Rich Man Group2	Rich Man Group 2(6G-10G)
9977	Rich Man Group3	Rich Man Group 3(11G-15G)
9978	Rich Man Group4	Rich Man Group 4(16G-20G)
9979	Rich Man Group5	Rich Man Group 5(21G-25G)
9980	Rich Man 100G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 1 ทอง
9981	RichMan 200G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 2 ทอง
9982	RichMan 300G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 3 ทอง
9983	RichMan 400G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 4 ทอง
9984	RichMan 500G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 5 ทอง
9985	RichMan 600G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 6 ทอง
9986	RichMan 700G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 7 ทอง
9987	RichMan 800G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 8 ทอง
9988	RichMan 900G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 9 ทอง
9989	RichMan 1000G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 10 ทอง
9990	RichMan 1100G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 11 ทอง
9991	RichMan 1200G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 12 ทอง
9992	RichMan 1300G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 13 ทอง
9993	RichMan 1400G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 14 ทอง
9994	RichMan 1500G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 15 ทอง
9995	RichMan 1600G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 16 ทอง
9996	RichMan 1700G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 17 ทอง
9997	RichMan 1800G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 18 ทอง
9998	RichMan 1900G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 19 ทอง
9999	RichMan 2000G	ได้รับทองที่ไม่ใช่ได้มาจากการแลกเปลี่ยนระหว่างผู้เล่น 20 ทอง
