n_ID	s_MODLE_ID	s_SCENE_NAME	s_IMAGENAME	n_SCENE_WEATHER	n_SCENE_DAYANDNIGHT	n_SCENE_TYPE	n_SCENE_SUBTYPE	n_CLINE_TYPE	s_SCENE_ICON	s_MUSIC_FILE	n_CANGLIDE	n_CANRIDE	n_LIMIT_HEIGHT	n_SAVE	n_MARKER	n_CAMERA_TYPE	n_COLLECT_MAP	n_SCENE_LV	n_VIDEO_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
155	Bg1024	小型島嶼-款式10	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
156	Bg1025	小型島嶼-款式11	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
157	Bg1026	小型島嶼-款式12	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
158	Bg1027	小型島嶼-款式13	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
159	Bg1028	小型島嶼-款式14	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
160	Bg1029	小型島嶼-款式15	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
161	Bg1030	小型島嶼-款式16	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
162	Bg1031	小型島嶼-款式17	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
163	Bg1032	小型空島-款式1	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
164	Bg1033	小型空島-款式2	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
165	Bg1034	小型空島-款式3	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
166	Bg1035	小型空島-款式4	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
167	Bg1036	小型空島-款式5	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
168	Bg1037	小型空島-款式6	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
169	Bg1063	小型島嶼-款式7_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
170	Bg1064	小型島嶼-款式8_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
171	Bg1065	小型島嶼-款式9_變形	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
172	Bg1066	小型島嶼-款式10_變形	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
173	Bg1067	小型島嶼-款式11_變形	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
174	Bg1068	小型島嶼-款式12_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
175	Bg1069	小型島嶼-款式13_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
176	Bg1070	小型島嶼-款式14_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
177	Bg1071	小型島嶼-款式15_變形	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
178	Bg1072	小型島嶼-款式16_變形	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
179	Bg1073	小型島嶼-款式17_變形	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
180	Bg1074	小型空島-款式1_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
181	Bg1075	小型空島-款式2_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
182	Bg1076	小型空島-款式3_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
183	Bg1077	小型空島-款式4_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
184	Bg1078	小型空島-款式5_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
185	Bg1079	小型空島-款式6_變形	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
186	Bg1001	海上一艘船	BgNull	6	8	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
187	Bg1002	海上二艘船-款式1	BgNull	6	8	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
188	Bg1007	海上三艘船-款式3	BgNull	6	8	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
189	Bg1008	空中一艘船	BgNull	5	8	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
190	Bg1046	海上二艘船-款式1_變形	BgNull	6	8	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
191	Bg1051	海上三艘船-款式3_變形	BgNull	6	8	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
192	Bg1096	海上一艘船_任務用	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	Scn0016a	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
193	Bg1097	小型島嶼_任務用1	BgNull	5	15	4	0	4294967295	Bg_MapName_Background	God_scn_9	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
194	Bg1098	海上二艘船_任務用1	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	God_scn_76	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
195	Bg1099	小型島嶼_任務用2	BgNull	5	15	4	0	4294967295	Bg_MapName_Background	God_scn_75	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
196	Bg1100	海上二艘船_任務用2	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	God_scn_77	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
197	Bg1101	海上二艘船_任務用3	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
198	Bg1102	海上二艘船_任務用4	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	Fight9	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
199	Bg1103	海上三艘船_任務用1	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	scn_48	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
200	Bg1104	海上一艘船_任務用2	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	Fight4	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
201	Bg1105	迷宮房間單間_任務用	BgNull	5	15	4	0	4294967295	Bg_MapName_Background	scn_47	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
202	Bg1106	小型島嶼_任務用3	BgNull	5	15	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
203	Bg1107	海上一艘船_任務用3	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	scn_49	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
204	Bg1108	海上一艘船_任務用4	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	scn_50	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
205	Bg1109	海上二艘船_任務用5	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	zg01403	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
206	Bg1110	空中一艘船_任務用	BgNull	5	15	4	0	4294967295	Bg_MapName_Background	God_scn_21	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
207	Bg1111	小型空島_任務用1	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	God_scn_24	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
208	Bg1112	海上二艘船_任務用6	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	God_scn_60	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
209	Bg1113	海皇殿一角_任務用	BgNull	5	15	4	0	4294967295	Bg_MapName_Background	God_scn_67	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
210	Bg1114	海上二艘船_任務用7	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	God_scn_69	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
211	Bg1115	小型空島_任務用2	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
212	Bg1116	Bg1112另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
213	Bg1117	Bg1112另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
214	Bg1118	Bg1001另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
215	Bg1119	Bg1109另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
216	Bg1120	Bg1022另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
217	Bg1121	Bg1020另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
218	Bg1122	Bg1021另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
220	Bg1124	Bg1018另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
221	Bg1125	Bg1060另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
222	Bg1126	Bg1016另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
223	Bg1127	Bg1059另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
224	Bg1128	Bg1058另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
225	Bg1129	Bg1064另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
226	Bg1130	Bg1043另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
227	Bg1131	Bg1066另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
228	Bg1132	Bg1089另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
229	Bg1133	Bg1114另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
230	Bg1134	Bg1022另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
231	Bg1135	Bg1023另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
232	Bg1136	Bg1065另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
233	Bg1137	Bg1025另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
234	Bg1138	Bg1024另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
235	Bg1139	Bg1024另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
236	Bg1140	Bg1018另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
237	Bg1141	Bg1021另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
238	Bg1142	Bg1023另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
239	Bg1143	Bg1067另存	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
240	Bg1144	Bg1071另存	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
241	Bg1145	Bg1031另存	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
242	Bg1146	Bg1028另存	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
243	Bg1147	Bg1072另存	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
244	Bg1148	Bg1070另存	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
245	Bg1149	Bg1036另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
246	Bg1150	Bg1032另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
247	Bg1151	Bg1074另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
248	Bg1152	Bg1034另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
249	Bg1153	Bg1037另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
250	Bg1154	Bg1035另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
251	Bg1155	Bg1075另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
252	Bg1156	Bg1033另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
253	Bg1157	Bg1076另存	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
254	Bg1158	義之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_77	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
255	Bg1159	勇之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_78	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
256	Bg1160	仁之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight9	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
257	Bg1161	狩之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_74	0	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
258	Bg1162	獵之巢	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
259	Bg1163	爭之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight4	0	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
260	Bg1164	禮之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	scn_47	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
261	Bg1165	鬥之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	scn_48	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
262	Bg1166	誠之境	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	scn_49	0	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
263	Bg1167	狂之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	scn_50	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
264	Bg1168	名之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	zg01403	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
265	Bg1169	亂之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	zg31105	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
266	Bg1170	忠之島	BgNull	2	2	4	0	4294967295	Bg_MapName_Background	fight12	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
267	Bg1171	凶之窟	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_21	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
268	Bg1172	克之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_24	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
269	Bg1173	惡之谷	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_59	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
270	Bg1174	暴之島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_60	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
271	Bg1175	戾之迴廊	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_67	0	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
272	Bg1176	自由大廳	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_69	1	0	0	0	0	1	0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
278	Bg1177	沙灘足球場(TEST)	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_21	0	0	0	0	0	0	0	0	0	1.03.0000	1.07.0000	1.07.0000	1.07.0000
279	Bg1178	3VS3沙灘足球	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_21	0	0	0	0	0	0	0	0	0	1.03.0000	1.07.0000	1.07.0000	1.07.0000
289	Bg1179	旅伴任務場景-真情縱谷	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016a	1	0	30000	0	0	1	0	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
290	Bg1180	幽魂洞窟	BgNull	5	8	4	0	4294967295	Bg_MapName_Background	Fight9	1	0	30000	0	0	1	0	0	0	1.06.0000	1.07.0000	1.07.0000	1.07.0000
291	Bg1181	3V3競技場	BgNull	5	2	256	2	4294967295	Bg_MapName_Background	Fight4	0	0	0	0	0	1	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
292	Bg1182	重返海神島	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0012	1	0	30000	0	0	1	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
293	Bg1183	旅伴任務場景-熱情山峰	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight9	1	0	30000	0	0	1	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
294	Bg1184	旅伴任務場景-羈絆遺跡	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight4	0	0	0	0	0	1	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
297	Bg1185	旅伴任務場景	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	1	1	30000	0	0	1	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
298	Bg1186	霸鷹島	BgNull	6	15	4	0	4294967295	Bg_MapName_Background	Scn0002	0	0	0	0	0	1	0	0	0	1.06.0000	1.07.0000	1.07.0000	1.07.0000
299	Bg1187	威熊島	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0002	0	0	0	0	0	1	0	0	0	1.06.0000	1.07.0000	1.07.0000	1.07.0000
300	Bg1188	毒蛇礦坑	BgNull	6	8	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
301	Bg1189	被占據的工會島	BgNull	6	4	4	0	4294967295	Bg_MapName_Background	God_scn_77	0	0	0	0	0	1	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
302	Bg2032	還沒墜落的太陽	Bg2001_air	5	15	2	0	4294967295	Bg_MapName_Background	Scn0003	0	0	0	0	0	0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
303	Bg1190	姆帝國遺跡	BgNull	5	15	4	0	4294967295	Bg_MapName_Background	Theme_Fight	1	0	30000	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0000
304	Bg3007	暗霧之海	Bg3007_air	5	10	8	14	3007	Bg_MapName_Background	Theme_Light	0	0	0	0	0	1	0	30	0	OUT	1.09.0000	1.09.0000	1.09.0100
305	Bg3008	蒼銀之海	Bg3008_air	5	10	8	14	3008	Bg_MapName_Background	Scn3002	0	0	0	0	0	1	0	80	0	OUT	1.09.0000	1.09.0000	1.09.0100
307	Bg1191	骯髒的船艙	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Theme_Light	0	0	0	0	0	1	0	0	0	OUT	1.20.0000	1.10.0000	1.20.0000
328	Bg2033	GM活動景	BgNull	6	4	2	0	4294967295	Bg_MapName_Background	Scn0001	1	1	30000	0	0	1	0	0	0	OUT	1.20.0000	1.10.0000	1.20.0000
997	FilmScene	純色拍攝景	BgNull	5	10	2	0	4294967295	Bg_MapName_Background	Theme	1	1	30000	0	0	1	0	0	0	0.00.0000	0.00.0000	0.00.0000	0.00.0000
