api	namespace	method	call_count	file_count	arity_min	arity_max	arity_mode	arg_shape_top	arg_shape_top_count	distinct_arg_shapes	example_files	binding_status	delegate_va	delegate_body6	registration_va	binding_note
Player.GetGuildRank	Player	GetGuildRank	2	2	0	0	0		2	1	Quest/q_guild_kill1.lua;Quest/q_sea_chooseside.lua	AMBIGUOUS	0x0045FCD0	83ec085733ff	0x00461EBE	AMBIGUOUS: method name registered 2 times with different delegates (0x0045FCD0 0x006714C0) - namespace cannot be told apart by name alone
Player.RemoveBuff	Player	RemoveBuff	2	2	1	1	1	var	2	1	t_getm&himdlfx_buf&t1.lua;t_remvbuf.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Scene.CamaraShake	Scene	CamaraShake	2	2	2	2	2	var|var	2	1	t_indani_l_shkcam_t1.lua;t_shkcam.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Trigger.SetStatus	Trigger	SetStatus	2	2	1	1	1	var	2	1	t_indani_l_cat_pt_rat.lua;t_opnplc_rat_setoth.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Guild.GiveDailySalary	Guild	GiveDailySalary	1	1	0	0	0		1	1	Quest/q_guildpay.lua	IMPLEMENTED	0x00671B30	6aff6856abba	0x00671F19	
Guild.OpenGuildStorage	Guild	OpenGuildStorage	1	1	0	0	0		1	1	Quest/q_guildstorage.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Guild.SetPVPFaction	Guild	SetPVPFaction	1	1	1	1	1	var	1	1	Quest/q_sea_chooseside.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00672004	
Instance.AddBonusReward	Instance	AddBonusReward	1	1	0	0	0		1	1	t_insbosev_himdfx.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F79F1	
Instance.GetInstanceId	Instance	GetInstanceId	1	1	0	0	0		1	1	t_indanix2_colct_ins.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Instance.SetLastingTime	Instance	SetLastingTime	1	1	1	1	1	var	1	1	t_setinstime.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Mob.CheckMobAlive	Mob	CheckMobAlive	1	1	1	1	1	var	1	1	t_inskyev_danifx_mod1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Party.CheckSoulmate	Party	CheckSoulmate	1	1	0	0	0		1	1	Quest/q_enter_instance8.lua	AMBIGUOUS	0x004605C0	6aff68f394b8	0x00462411	AMBIGUOUS: method name registered 2 times with different delegates (0x004605C0 0x0062A7C0) - namespace cannot be told apart by name alone
Party.PartySoul	Party	PartySoul	1	1	0	0	0		1	1	Quest/q_trafrd0.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0062ABB9	
Party.ShowMessage	Party	ShowMessage	1	1	1	1	1	var	1	1	t_opnplc_rat_setoth.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004627BD	
Player.AddHP	Player	AddHP	1	1	1	1	1	var	1	1	t_recovhp_ful.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.AddST	Player	AddST	1	1	1	1	1	var	1	1	t_recovst_ful.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.AppraiseCollectPiece	Player	AppraiseCollectPiece	1	1	0	0	0		1	1	Quest/q_collectpiece.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004626A3	
Player.AppraiseItem	Player	AppraiseItem	1	1	0	0	0		1	1	Quest/q_equipment.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461E60	
Player.BoatHealth	Player	BoatHealth	1	1	1	1	1	var	1	1	Quest/q_boat_health.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0046284A	
Player.BookBattleField	Player	BookBattleField	1	1	1	1	1	var	1	1	Quest/q_sea_join.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462935	
Player.ChangeShip	Player	ChangeShip	1	1	1	1	1	var	1	1	Quest/q_ship.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004624FC	
Player.CheckAllCollectItemSynthesisBuff	Player	CheckAllCollectItemSynthesisBuff	1	1	0	0	0		1	1	Quest/q_avatar_refund.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.EnableGlide	Player	EnableGlide	1	1	0	0	0		1	1	t_enablglide.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.GetBoatHealth	Player	GetBoatHealth	1	1	0	0	0		1	1	Quest/q_boat_health.lua	IMPLEMENTED	0x00460A80	a1c42e030183	0x00462906	
Player.GetCurrentHP	Player	GetCurrentHP	1	1	0	0	0		1	1	t_recovhp_ful.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.GetCurrentST	Player	GetCurrentST	1	1	0	0	0		1	1	t_recovst_ful.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.GetMaxHP	Player	GetMaxHP	1	1	0	0	0		1	1	t_recovhp_ful.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.GetMaxST	Player	GetMaxST	1	1	0	0	0		1	1	t_recovst_ful.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.GetPpClass	Player	GetPpClass	1	1	0	0	0		1	1	Quest/q_class2.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.GiveLvCriteriaPercentageEXP	Player	GiveLvCriteriaPercentageEXP	1	1	0	0	0		1	1	Quest/q_guild_kill1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.HasAnySailorBeenSummoned	Player	HasAnySailorBeenSummoned	1	1	0	0	0		1	1	Quest/q_tele_4.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.LoadConditionStore	Player	LoadConditionStore	1	1	1	1	1	var	1	1	Quest/q_store2.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0046220C	
Player.LoadItemExchangeStore	Player	LoadItemExchangeStore	1	1	1	1	1	var	1	1	Quest/q_store4.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.LoadSmithStore	Player	LoadSmithStore	1	1	1	1	1	var	1	1	Quest/q_snithstore.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.OpenStorage	Player	OpenStorage	1	1	0	0	0		1	1	Quest/q_warehouse.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462299	
Player.SuveryOwner	Player	SuveryOwner	1	1	0	0	0		1	1	t_getm_himdlfx_sp1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.TeleportCheck	Player	TeleportCheck	1	1	1	1	1	var	1	1	t_telchk_lv.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004624CD	
Player.WarpNearestMarker	Player	WarpNearestMarker	1	1	0	0	0		1	1	t_wapnearmarker.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004627EC	
Quest.CheckGuildOfflineQuest	Quest	CheckGuildOfflineQuest	1	1	0	0	0		1	1	Quest/q_guildskill3.lua	IMPLEMENTED	0x00608650	83ec08568bf1	0x00609AD0	
Quest.CheckWishQuest	Quest	CheckWishQuest	1	1	0	0	0		1	1	Quest/q_wish.lua	IMPLEMENTED	0x00608720	6aff688895b8	0x00609AFF	
Quest.ReportGuildOfflineQuest	Quest	ReportGuildOfflineQuest	1	1	0	0	0		1	1	Quest/q_guildskill3.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Quest.StartGuildOfflineQuest	Quest	StartGuildOfflineQuest	1	1	0	0	0		1	1	Quest/q_guildskill3.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Scene.CheckPlacementCombat	Scene	CheckPlacementCombat	1	1	1	1	1	var	1	1	t_msg_modc.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Trigger.GetContactMode	Trigger	GetContactMode	1	1	1	1	1	num	1	1	t_popmo_ui1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Trigger.GetTeiggerStatus	Trigger	GetTeiggerStatus	1	1	1	1	1	var	1	1	t_getm_t1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
